gene_del,pval,ab
acs,0.0092757882231566,NIT
clpX,0.0118263574878084,NIT
fdnH,0.0118263574878084,NIT
ytfM,0.0118263574878084,NIT
tig,0.0118263574878084,NIT
tolB,0.0118263574878084,NIT
rng,0.0118263574878084,NIT
yfgA,0.0118263574878084,NIT
ybaS,0.0118263574878084,NIT
topB,0.0153305569827005,NIT
phoE,0.0153305569827005,NIT
hisI,0.0153305569827005,NIT
atpA,0.0185866455889339,NIT
rfaG,0.0185866455889339,NIT
rob,0.0185866455889339,NIT
xdhB,0.0185866455889339,NIT
yegS,0.0185866455889339,NIT
azoR,0.0185866455889339,NIT
potH,0.0185866455889339,NIT
agaR,0.0185866455889339,NIT
ydfJ,0.0185866455889339,NIT
acrA,0.0185866455889339,NIT
pyrB,0.022652146194535,NIT
rna,0.022652146194535,NIT
alaS,0.022652146194535,NIT
kefC,0.022652146194535,NIT
amn,0.022652146194535,NIT
pepN,0.022652146194535,NIT
ygbT,0.0272458693511325,NIT
hslU,0.0272458693511325,NIT
ilvA,0.0272458693511325,NIT
acrR,0.0272458693511325,NIT
chbB,0.0272458693511325,NIT
hupA,0.0332893329546813,NIT
hepA,0.0394587631429736,NIT
marA,0.0394587631429736,NIT
secB,0.0394587631429736,NIT
evgS,0.046891604429517,NIT
recA,0.0062734799576904,TMP
dnaK,0.0062734799576904,TMP
lpxM,0.0062734799576904,TMP
mutT,0.0062734799576904,TMP
uvrD,0.0062734799576904,TMP
acrA,0.0062734799576904,TMP
sdhB,0.0062734799576904,TMP
rfaH,0.0062734799576904,TMP
tolC,0.0062734799576904,TMP
hns,0.0086863568644945,TMP
ycbC,0.0086863568644945,TMP
fis,0.0086863568644945,TMP
mutL,0.0086863568644945,TMP
kefC,0.0118865936040451,TMP
yciS,0.0118865936040451,TMP
minC,0.0118865936040451,TMP
yedV,0.0118865936040451,TMP
htpG,0.0118865936040451,TMP
pepT,0.0118865936040451,TMP
rfaG,0.0171838798841087,TMP
yfiQ,0.0171838798841087,TMP
oppF,0.0171838798841087,TMP
yobH,0.0171838798841087,TMP
yjfF,0.0238874813773599,TMP
ycjU,0.0238874813773599,TMP
proQ,0.0238874813773599,TMP
tig,0.0291413262550783,TMP
fiu,0.0291413262550783,TMP
acrB,0.0291413262550783,TMP
hfq,0.0291413262550783,TMP
ybdK,0.0291413262550783,TMP
bolA,0.0381944220953508,TMP
spr,0.0381944220953508,TMP
ybaD,0.0381944220953508,TMP
