campaign,model,interval,parameter_count,training_rmse,optimizer_converged,optimizer_iterations,optimizer_evaluations,boundary_hits,observed_power_ratio,rmse,correlation,power_ratio_100k_41k,power_ratio_log_error,termination_timing_mae_kyr,residual_lag1_autocorrelation,effective_sample_size,sample_size,bic_naive,bic_effective,aic_naive,aic_effective
budget_livre,M0,calibration,3,0.967960296271191,True,21,732,aucun,0.18821942775416292,0.967960296271191,0.2518760715671891,0.03209986800688282,1.7687565329305845,13.413793103448276,0.9727083424598213,19.382293566069368,1401,-69.5100884060333,7.6307417303246305,-85.24491304504433,4.737661890756944
budget_livre,M0,prediction,3,0.967960296271191,True,21,732,aucun,2.6036246418251188,2.094494218166004,0.08605007236509489,0.017472565961221407,5.004027854666726,11.761904761904763,0.9710643326638387,17.61626966100422,1200,1795.6192727081745,34.65431132958059,1780.3490422008463,32.04784266679556
budget_livre,M1,calibration,6,0.9679602057301611,False,30,2215,regolith_scale=borne_basse,0.18821942775416292,0.9679602057301611,0.25187063616896566,0.03212001046688354,1.7681292361763727,13.413793103448276,0.9727119791146707,19.37967511988435,1401,-47.77552586039399,16.523177856396362,-79.24517513841603,10.73782880054286
budget_livre,M1,prediction,6,0.9679602057301611,False,30,2215,regolith_scale=borne_basse,2.6036246418251188,2.09430035638601,0.08599025703632217,0.017442015123708195,5.005777888283685,11.761904761904763,0.9710630273743438,17.617075998347868,1200,1816.6673542110398,43.25898554326863,1786.1268931963832,38.045773590127894
budget_livre,M2,calibration,9,0.9023049966734262,False,30,2404,tau_memory_gain_kyr=borne_basse;regolith_scale=borne_haute;tau_regolith_kyr=borne_haute;carbon_feedback_gain=borne_basse,0.18821942775416292,0.9023049966734262,0.4423784781250544,0.062348497200923746,1.1048688819189494,13.413793103448276,0.9688096696434797,22.19496048970437,1401,-222.84864185834675,23.33538437995856,-270.0531157753798,13.436597056694652
budget_livre,M2,prediction,9,0.9023049966734262,False,30,2404,tau_memory_gain_kyr=borne_basse;regolith_scale=borne_haute;tau_regolith_kyr=borne_haute;carbon_feedback_gain=borne_basse,2.6036246418251188,1.9689716267038886,0.09348256139092365,0.018622818684758142,4.940272206363826,11.714285714285714,0.9708865405812519,17.726109841003016,1200,1689.838026442128,49.89463078349921,1644.0273349201432,42.019282619389884
budget_maximal_bornes_reference,M0,calibration,3,0.9679602962742517,True,44,2884,aucun,0.18821942775416292,0.9679602962742517,0.2518761869817359,0.03209958634780598,1.7687653074312302,13.413793103448276,0.9727083275377901,19.382304310176117,1401,-69.5100883971732,7.630742693677684,-85.24491303618423,4.737661191132849
budget_maximal_bornes_reference,M0,prediction,3,0.9679602962742517,True,44,2884,aucun,2.6036246418251188,2.0944921903528977,0.08604974771876953,0.017472498666235223,5.004031706139711,11.761904761904763,0.9710643291109724,17.616271855771682,1200,1795.616949114359,34.65428083769581,1780.3467186070307,32.04781180114823
budget_maximal_bornes_reference,M1,calibration,6,0.9679406340615226,True,206,26503,tau_fast_kyr=borne_basse;regolith_scale=borne_basse,0.18821942775416292,0.9679406340615226,0.2519644863493576,0.032458870638871797,1.7576346820363944,13.413793103448276,0.9726932051745172,19.393192742871022,1401,-47.83218146423426,16.525696857181725,-79.3018307422563,10.736164167479256
budget_maximal_bornes_reference,M1,prediction,6,0.9679406340615226,True,206,26503,tau_fast_kyr=borne_basse;regolith_scale=borne_basse,2.6036246418251188,2.0955099964498394,0.08374946554464606,0.016430082495682792,5.065545893097466,11.80952380952381,0.970974934038413,17.671497771176448,1200,1818.0531621542978,43.3783588948848,1787.5127011396412,38.146640617403875
budget_maximal_bornes_reference,M2,calibration,9,0.9023011776624722,True,293,75274,tau_memory_gain_kyr=borne_basse;regolith_scale=borne_basse;tau_regolith_kyr=borne_haute;carbon_feedback_gain=borne_basse,0.18821942775416292,0.9023011776624722,0.4423895433738485,0.062331386222172776,1.1051433605018388,13.413793103448276,0.9688096280696931,22.194990542180133,1401,-222.8605013641441,23.33520250596126,-270.06497528117717,13.436402996503155
budget_maximal_bornes_reference,M2,prediction,9,0.9023011776624722,True,293,75274,tau_memory_gain_kyr=borne_basse;regolith_scale=borne_basse;tau_regolith_kyr=borne_haute;carbon_feedback_gain=borne_basse,2.6036246418251188,1.9689639330719348,0.0934906247265145,0.018625225025704528,4.9401430000641104,11.714285714285714,0.9708869376456146,17.72586451204348,1200,1689.828648575777,49.89403527085517,1644.017957053792,42.01881166740438
budget_maximal_bornes_reference,M1P,calibration,9,0.8787849488075333,True,417,107038,tau_memory_gain_kyr=borne_basse;regolith_scale=borne_basse;tau_regolith_kyr=borne_haute;slow_forcing_gain=borne_basse,0.18821942775416292,0.8787849488075333,0.47728610907853297,0.0753021547085782,0.9160997017387806,13.448275862068966,0.9677780450060021,22.941082741094114,1401,-296.85613989733304,22.267696762027775,-344.0606138143661,12.071332977297148
budget_maximal_bornes_reference,M1P,prediction,9,0.8787849488075333,True,417,107038,tau_memory_gain_kyr=borne_basse;regolith_scale=borne_basse;tau_regolith_kyr=borne_haute;slow_forcing_gain=borne_basse,2.6036246418251188,1.663160542159957,0.13903821746654213,0.01789446007911206,4.9801686740168725,11.714285714285714,0.970174237006313,18.166370730138482,1200,1284.7380512744564,44.57933164825235,1238.9273597524716,36.48318254319379
budget_maximal_bornes_wide,M0,calibration,3,0.9679602962761411,True,42,2756,aucun,0.18821942775416292,0.9679602962761411,0.251876160406356,0.032099575597572684,1.7687656423338354,13.413793103448276,0.972708311912257,19.38231556081594,1401,-69.51008839170385,7.630743702394538,-85.24491303071487,4.737660458472147
budget_maximal_bornes_wide,M0,prediction,3,0.9679602962761411,True,42,2756,aucun,2.6036246418251188,2.094494389018193,0.08604961885777919,0.017472471955291415,5.00403323488295,11.761904761904763,0.971064321852752,17.616276339505227,1200,1795.6194684810887,34.654325215894545,1780.3492379737604,32.047855415780234
budget_maximal_bornes_wide,M1,calibration,6,0.9601901220739597,True,165,21339,tau_fast_kyr=borne_basse;tau_regolith_kyr=borne_basse,0.18821942775416292,0.9601901220739597,0.28121659022541334,0.020482345043632832,2.218045153423137,14.448275862068966,0.9721694077978764,19.770441383487483,1401,-70.35871550623096,16.298820129921808,-101.82836478425301,10.393692352787077
budget_maximal_bornes_wide,M1,prediction,6,0.9601901220739597,True,165,21339,tau_fast_kyr=borne_basse;tau_regolith_kyr=borne_basse,2.6036246418251188,2.117793300937508,0.08569053940375333,0.020633543190290538,4.837741784429681,13.19047619047619,0.9711318438662535,17.574566342831773,1200,1843.4396229142371,43.573734741016025,1812.8991618995806,38.3750181646286
budget_maximal_bornes_wide,M2,calibration,9,0.8545451556165633,True,924,236810,tau_fast_kyr=borne_basse;regolith_scale=borne_basse;carbon_feedback_gain=borne_basse;tau_carbon_kyr=borne_basse,0.18821942775416292,0.8545451556165633,0.5200639262814805,0.003776065116636254,3.9089259581165336,8.551724137931034,0.9675061680605893,23.13784794483677,1401,-375.23051128169135,20.999338994242546,-422.4349851987244,10.726111550953235
budget_maximal_bornes_wide,M2,prediction,9,0.8545451556165633,True,924,236810,tau_fast_kyr=borne_basse;regolith_scale=borne_basse;carbon_feedback_gain=borne_basse;tau_carbon_kyr=borne_basse,2.6036246418251188,2.042100484892356,0.2595458575630887,0.004694662409914815,6.31823364027027,9.761904761904763,0.970261864164815,18.11219292789239,1200,1777.3601177325845,51.932716350952134,1731.5494262105997,43.86344816583807
budget_maximal_bornes_wide,M1P,calibration,9,0.868578664125615,False,1200,307636,tau_fast_kyr=borne_basse;regolith_scale=borne_basse;tau_regolith_kyr=borne_basse,0.18821942775416292,0.868578664125615,0.49575148436829347,0.08408055466774506,0.8058331276713749,14.448275862068966,0.9672150624546739,23.348589779344543,1401,-329.58926390000903,21.77533104840102,-376.7937378170421,11.420501761781429
budget_maximal_bornes_wide,M1P,prediction,9,0.868578664125615,False,1200,307636,tau_fast_kyr=borne_basse;regolith_scale=borne_basse;tau_regolith_kyr=borne_basse,2.6036246418251188,1.5521221664507765,0.17498562502816983,0.021959142361667298,4.775476284863974,12.80952380952381,0.9695595423191218,18.5465574572283,1200,1118.9062135054069,42.5895491445354,1073.095521983422,34.306991434441514
