null_kind,draw,rmse_M1,rmse_M1P,rmse_M2,gain_M2_vs_M1,gain_M2_vs_M1P
cible,0,1.7417829669170144,1.6428515304389057,1.7923962805390248,-0.029058335385835576,-0.0910275501646618
cible,1,1.7848521776259714,1.7687018617309125,2.7268758366603967,-0.527788054855842,-0.5417385460270745
cible,2,1.8021054505665357,1.7982273572376595,1.8601715554250393,-0.03222125810687104,-0.03444736725757269
cible,3,1.8790990368928517,1.7004431063725454,1.8246057927442214,0.028999665839186783,-0.07301784217676355
cible,4,1.7959334608946724,1.8057495987163357,1.631760317390099,0.09141382299474954,0.09635293921699972
cible,5,1.6084634467986827,5.047715619466316,1.5506180339842692,0.035963150377798736,0.6928079648535721
cible,6,1.934057420741193,1.930095744981816,2.0244938694879293,-0.0467599605765987,-0.04890851904707083
cible,7,1.7187158904099953,2.582455143830226,2.6684570210386047,-0.5525876242419863,-0.033302370193668995
cible,8,1.4324501347306056,1.555362332285809,1.545544811002126,-0.07895191150426295,0.006312047733118886
cible,9,1.7629891462887621,2.1779546134675956,2.5597718941219,-0.45194988835321626,-0.17531002633998893
cible,10,1.4397526273442929,3.352370536625169,2.3459241950927203,-0.6293939323590008,0.3002193016961776
cible,11,1.5964635870774473,1.8460992305217385,3.32761891994893,-1.084368817982631,-0.8025135729071775
cible,12,1.8800542253920374,1.8668869708338056,6.5065314121257245,-2.4608211424162265,-2.4852305007087385
cible,13,1.5827931243683133,1.535236999627909,1.8213293483162354,-0.15070587575563366,-0.18635060824984406
cible,14,1.828042768262977,1.409256584218557,1.8827876876176912,-0.02994728586505313,-0.3360148242001728
cible,15,1.523437814456054,1.7258099703840677,1.6069990140805828,-0.0548504171496913,0.06884359132369844
cible,16,1.7197339999170818,1.3221042488550085,1.805874442688599,-0.05008939916037636,-0.36590926491050424
cible,17,1.94097092869938,1.914879161304411,1.97800402015833,-0.01907967343115513,-0.032965452927545824
cible,18,1.9355696367662591,1.9928640978267076,2.0016397792577343,-0.03413472769796999,-0.00440355237499479
cible,19,1.8276329875767225,1.8761060711753226,1.4638831801473282,0.19902781898880806,0.2197225931739294
cible,20,2.1046487265045997,2.2011880648635516,2.010814506713482,0.044584266537892714,0.08648673013855834
cible,21,1.6599296723728032,1.8663608393295388,1.6031159379823903,0.03422659124419403,0.1410471629064587
cible,22,2.0203837432115845,1.7801393433138781,2.22573201492615,-0.1016382518442489,-0.2503133663585928
cible,23,1.7327874553750864,1.7792215141838876,2.1736348522545117,-0.2544151595234152,-0.22167747800168547
cible,24,1.608413074993644,3.161308027861888,1.4500195596548118,0.09847813214242751,0.5413229122644164
cible,25,2.163945158286727,3.0529629904473494,5.3057964326504194,-1.4519089184548508,-0.7379170495194778
cible,26,1.7752199925280099,2.3672083293336743,2.1870695576556884,-0.231999170165486,0.07609755738257795
cible,27,1.6203949409300131,2.784141892667258,1.6048862966409418,0.009570903918133866,0.4235616004817082
cible,28,1.7576031230427986,2.9994556262608745,2.098024934386598,-0.19368525629065458,0.30053143109771596
cible,29,1.7638158366464476,1.4791125838115695,1.4018710265465775,0.2052055563737526,0.05222155372780746
cible,30,2.148036741942103,2.170882169891231,3.603671510150157,-0.6776582261307,-0.6600032743051705
cible,31,1.8324420608117193,1.8615559180325003,1.7684192126340783,0.034938538874883074,0.05003164530070048
cible,32,1.3963234748161286,2.0765497142051603,1.4112192598270636,-0.010667861193765615,0.3204018906105336
cible,33,1.8205227942265412,2.7264104369311144,2.2257825858968525,-0.22260627164654,0.1836216015948705
cible,34,1.8492216051224946,1.6858679295558885,1.663696319478155,0.10032615081416918,0.013151451361658073
cible,35,1.5586978855922513,1.5437970141756048,3.083908881540334,-0.978516112741473,-0.9976129330624186
cible,36,1.4181107022411787,2.8628206017372935,1.3570765934783893,0.043039029792477645,0.5259651992671661
cible,37,1.7874315684257636,1.8051516475466283,1.7324291622352292,0.030771754937156226,0.04028608090086827
