split_age_kyr,calibration_points,prediction_points,rmse_M0,rmse_M1,rmse_M2,rmse_M1P,gain_M2_vs_M1,gain_M2_vs_M1P,gain_M2_vs_M0,delta_bic_effective_M2_vs_M1,correlation_M2,power_ratio_M2,power_ratio_observed
800,1801,800,1.8919296434580948,1.903453301559434,1.72611833955938,1.4570994028788016,0.09316486086355236,-0.18462634474290218,0.08764136894416574,5.273365747039755,0.13161345102488053,0.019819000017187425,6.856500002551185
900,1701,900,2.0189218155003252,2.032723247338266,1.8018296651169234,1.5264822042313435,0.11358830205916348,-0.1803803936412285,0.10752875555490615,4.626505680647583,0.13304375042119926,0.005625382844517159,1.9115947012099077
1000,1601,1000,2.0472063219863053,2.055103375369494,1.7954991528879582,1.5341124009090272,0.12632173427035542,-0.17038305134881138,0.12295153956643101,4.329675321287326,0.11418717232728852,0.01980089380901347,4.671610590424896
1100,1501,1100,2.075995485322917,2.080685568511709,1.7947069619926728,1.5336622888806628,0.13744441296028864,-0.17021000972941214,0.13549572979273128,4.11594087048136,0.11824691883530516,0.02061251778393534,1.8308564212951584
1200,1401,1200,2.094492827988389,2.1177903406960645,2.0412651194080795,1.5595278366541059,0.036134465162794616,-0.3088994447111111,0.025413172997794886,8.335392500678282,0.26001935325280656,0.00474847553805795,2.6036246418251188
1300,1301,1300,2.1305032939720974,2.1496720558336566,2.0683115119979454,1.6076306250393744,0.03784788643222092,-0.2865589145810705,0.029191122187003038,8.531766280677253,0.2707873137638992,0.0013906141025930541,2.3504019164963426
1400,1201,1400,2.1196174857495214,2.1244433673001053,2.05204135468561,1.6234272086839965,0.03408046254794206,-0.26401808698836726,0.03188128590098671,8.447204736111551,0.28410160979007065,0.0010410495633183712,1.7965760707407592
1500,1101,1500,2.1457716213287825,2.1575457975404126,2.07191636450331,1.541711766083275,0.039688350131301786,-0.343906435745134,0.03441897361832813,8.486943505751569,0.2927179100904402,0.0010862925115150653,1.8789200002554085
1600,1001,1600,2.24187998132077,2.2587305493376935,2.162823381190902,1.5534457142415878,0.04246065037501423,-0.3922748386781061,0.03526352917576481,8.537419216769571,0.2981142522976491,0.00035864519358647865,1.3323383087240872
