bounds,budget,max_iterations,population_size,train_rmse_M0,pred_rmse_M0,converged_M0,train_rmse_M1,pred_rmse_M1,converged_M1,train_rmse_M2,pred_rmse_M2,converged_M2,train_rmse_M1P,pred_rmse_M1P,converged_M1P,gain_M2_vs_M1,gain_M2_vs_M1P,gain_M2_vs_M0,seconds
reference,livre,30,6,0.967960296271191,2.094494218166004,4,0.9679598579883479,2.09457097180713,2,0.902301213114047,1.9689292891134855,0,0.8787849503606885,1.6631585942008982,0,0.05998444759560695,-0.18384939113969567,0.05995000032154141,2.6634303999890108
reference,faible,80,8,0.9679602963864476,2.0944985464171366,4,0.967959409731943,2.094549501391929,4,0.9023020318541007,1.9689817752581305,0,0.8787865508683712,1.663160821115001,0,0.05994975341969855,-0.1838793640762315,0.05992688387094658,8.673801099997945
reference,moyen,250,12,0.9679602962991313,2.094493917959877,4,0.9679406362591276,2.095505841706159,4,0.9023011812051891,1.9689734804437335,4,0.8787849615842145,1.6631641384182818,3,0.0603827289545531,-0.1838720153720279,0.059928766772646136,26.128000800003065
reference,eleve,700,18,0.9679602962840281,2.0944951446178717,4,0.9679406341119728,2.0955069656735676,4,0.9023011788049748,1.9689734838321482,4,0.8787849505720179,1.6631630816096665,4,0.0603832313202296,-0.18387276966640442,0.05992931571518356,65.45143690000987
reference,maximal,1500,26,0.9679602962769355,2.0944935518904924,4,0.9679406340775893,2.0955069520600658,4,0.9023011776624722,1.9689639330719348,4,0.8787849488625514,1.6631611708411833,4,0.0603877829485262,-0.1838683872568312,0.05993316078975475,92.58857999998145
wide,livre,30,6,0.9679602962762686,2.094491425635135,4,0.960190122382332,2.117792054491191,1,0.8545985278724912,2.0415646377353354,0,0.8775168240077754,1.5509982445323554,0,0.03599381563180404,-0.31629074689951797,0.025269517579309175,3.286939199984772
wide,faible,80,8,0.967960296275193,2.094492698891486,4,0.9601901228979323,2.1177821799224517,0,0.8545985359654061,2.0415632989593337,0,0.871990102057947,1.5660574538503624,0,0.03598995292608842,-0.30363243949950647,0.025270749313265672,10.805680299992673
wide,moyen,250,12,0.967960296506368,2.094493796338965,4,0.9601901370750903,2.11782885006008,4,0.8545985019278586,2.0415659038223115,3,0.8719843505856487,1.5588246212389987,0,0.036009966638996804,-0.3096828700329459,0.02527001636823556,32.846217000012984
wide,eleve,700,18,0.9679602962841887,2.094492827988389,4,0.9601901229049702,2.1177903406960645,4,0.8545535259154192,2.042034645930602,2,0.8685790847419377,1.5530175159157822,0,0.035771102223727924,-0.3148819153700637,0.025045768291395598,143.83104340001591
wide,maximal,1500,26,0.9679602962739152,2.0944948164897235,4,0.9601901221542274,2.1177912369702363,4,0.8545451558653052,2.0421079138510407,4,0.8685786591002647,1.5521747700621158,3,0.03573691391200107,-0.3156430276014077,0.025011712717666557,218.96182990001398
