edge_id,reachable_after_ablation,lost_vs_baseline,lost_nodes,all_unreachable
H042,8,38,N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N033|N034|N044|N045|N046|N047|N048|N050|N051|N052,N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N029|N030|N031|N032|N033|N034|N035|N044|N045|N046|N047|N048|N050|N051|N052|N053|N054
H043,10,36,N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N033|N034|N045|N047|N048|N050|N051|N052,N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N029|N030|N031|N032|N033|N034|N035|N045|N047|N048|N050|N051|N052|N053|N054
H044,10,36,N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N033|N034|N046|N047|N048|N050|N051|N052,N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N029|N030|N031|N032|N033|N034|N035|N046|N047|N048|N050|N051|N052|N053|N054
H045,11,35,N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N033|N034|N047|N048|N050|N051|N052,N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N029|N030|N031|N032|N033|N034|N035|N047|N048|N050|N051|N052|N053|N054
H046,12,34,N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N033|N034|N048|N050|N051|N052,N001|N002|N003|N004|N005|N006|N007|N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N029|N030|N031|N032|N033|N034|N035|N048|N050|N051|N052|N053|N054
H047,20,26,N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N033|N034|N050|N051|N052,N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N029|N030|N031|N032|N033|N034|N035|N050|N051|N052|N053|N054
H048,19,27,N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N033|N034|N048|N050|N051|N052,N008|N009|N010|N011|N012|N013|N014|N015|N016|N017|N018|N019|N020|N021|N022|N023|N024|N025|N026|N027|N028|N029|N030|N031|N032|N033|N034|N035|N048|N050|N051|N052|N053|N054
H049,44,2,N050|N051,N029|N030|N031|N032|N035|N050|N051|N053|N054
H050,45,1,N051,N029|N030|N031|N032|N035|N051|N053|N054
H051,45,1,N052,N029|N030|N031|N032|N035|N052|N053|N054
H052,46,0,,N029|N030|N031|N032|N035|N053|N054
H053,46,0,,N029|N030|N031|N032|N035|N053|N054
