Amino Acid,Bennu (CI) (Glavin+25),ALHA 77257 (U) (Burton+12),EET 83309 (U) (Burton+12),LEW 85328 (U) (Burton+12),GRA 95205 (U) (Burton+12),LAR 04315 (U) (Burton+12),ALH 84028 (CV3) (Burton+12),EET 96026 (CV3) (Burton+12),LAP 02206 (CV3) (Burton+12),LAR 06317 (CV3) (Burton+12),ALHA 77307 (CO3) (Burton+12),MIL 05013 (CO3) (Burton+12),DOM 08006 (CO3) (Burton+12),MAC 02675 (CBb) (Burton+13),Murchison (CM2) (Glavin+25),Tarda (C2-ung) (Glavin+25),Orgueil (CI1) (Glavin+25),Ryugu (CI) (Glavin+25),EET 92042 (CR2) (Martins+07),GRA 95229 (CR2) (Martins+07),Kebukawa UPLC (SYN) (Kebukawa+17),Enceladus Abiotic (SYN) (Klenner+20),Asuka (CM2.9) (Glavin+20),Paris (CM2.7) (Glavin+20),ALH 85085 (CH3) (Burton+13),PCA 91467 (CH3) (Burton+13),PAT 91546 (CH3) (Burton+13),MIL 05082 (CB) (Burton+13),MIL 07411 (CB) (Burton+13),Ivuna (CI) (Burton+14),GRA 06101 (CV3) (Burton+12),Allende (CV3) (Burton+12),UA 2741 (CM2) (Glavin+21),UA 2746 (CM2) (Glavin+21),Nakhla (Glavin+99),GRO 95577 (CR1) (Martins+07),Logat Diff. (MIX) (Klevenz+10),WA/CC Diff. (MIX) (Klevenz+10),SM2 (CM2) (Burton+14),SM12 (CM2) (Burton+14),SM51 (CM2) (Burton+14),Izena Cauldron (MIX) (Fuchida+14),LB Strom. (MIC) (Ballarini+94),Burmese Amber (EUK) (McCoy+19),Baltic Amber (EUK) (McCoy+19),M. megad. A; OF (EUK) (Saitta+24),M. megad. B (EUK) (Saitta+24),Logat Hot (MIC) (Klevenz+10),TP Hot (MIC) (Klevenz+10),RL Hot (MIC) (Klevenz+10),Bitter Springs Chert (MIC) (Schopf+67),Gunflint Chert (MIC) (Schopf+67),Fig Tree Chert (MIC) (Schopf+67),Enceladus Biotic (SYN) (Klenner+20),V21-16 GDe (EUK) (King+72),V21-16 GA (EUK) (King+72),GDu Recent (EUK) (King+72),Changjiang Est. B6 (MIX) (Wei+22),Changjiang Est. A5-6 (MIX) (Wei+22),Nile Delta (MIX) (Glavin+99),E. Coli (MIC) (Simensen+22),M. thermophila (MIC) (Jiang+24),Geobacillus LC300 (MIC) (Cordova+17),Thermus thermophilus HB8 (MIC) (Cordova+17),Rhodothermus marinus DSM 4252 (MIC) (Cordova+17),Methanococcus maripaludis (MIC) (Wang+24),Synechococcus 7002 (MIC) (Beck+18),A. acidocaldarius (MIC) (Beck+18),Kara Sea Surf. (MIX)
Sample Class,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Stat Model,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,logn,logn,n,n,n,t,t,logt,logt,t,t,logn,logn,logn,logn,logn,logn,n,logn,logn,logn,t,t,n,n,n,logn,logn,logn,n,n,n,t
Stat Model DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,3,3,,,,,,,,,,,7,18,,,,,,,,,,8
Glycine,1.0,10.0,2.4,3.0,2.0,1.0,4.0,2.0,16.0,5.0,0.7,5.0,3.0,6.0,2.0,0.5,6.0,0.05,1176,358,11,0,3.0,5.0,429.0,718.0,838.0,96.0,5.0,0.8,1.0,87.0,9.0,6.5,1.0,14,32.951176,2.598076211,0.27,0.76,3.1,0.7,7.46,5.02,12.87,6.09,6.4,0.318433667,0.45033321,7.8,0.644,0.224,0.32,,4.65,4.92,8.19,1.16,0.37,73.0,0.003,0.021,0,0.049,0.041,0.64,2.9,0.3,0.3577700137183793
Alanine,0.848528137,5.015974481593781,0.14142135623730953,0.7615773105863908,1.118033988749895,0.9219544457292888,1.4866068747318506,1.6763054614240211,1.3453624047073711,2.3259406699226015,0.8062257748298549,0.8062257748298549,2.7294688127912363,3.2310988842807022,1.920937271,0.072111026,0.355105618,0.006,689.8238906,2914.278127,17.42297334,0,1.414213562,0.6403124237432849,68.59300255857006,45.34313619501854,101.86265262597475,19.4164878389476,1.0,1.8681541692269406,63.08636936771683,53.36665625650534,0.54,0.52,16.2788206,29.73213749,76.50895372,2.078460969,0.19697715603592209,0.15297058540778355,1.7441330224498361,0.24,2.68,1.22,3.17,3.565,13.45,0.387835876,5.658032638,5.2,0.462,0.216,0.095,,6.9,7.95,6.45,0.98,0.53,62.96824597,0.004,0.005,0,0.051,0.045,0.4,1.4,0.9,0.26448952113481433
beta-Alanine,0.5,4.0,11.0,14.0,13.0,6.0,7.0,8.0,32.0,17.0,30.0,1.0,3.0,1.0,3.8,0.2,7.6,0.1,95,277,6.3,0,0.6,2.0,67.0,342.0,290.0,32.0,1.0,8.1,2.7,23.0,0.15,0.14,15.0,6,0,0,0.18,0.04,0.33,0,,,,0,0,0,0,0,0.07,0.064,0.073,,0,0,0,,,142.0,,,,0.05,0.05,,,,0.0308983298921391
Serine,0.03,7.0,0.9,1.6031219541881399,0.6,0.4,1.1,0.2,0.3,3.9,1.0,1.4,2.0024984394500787,8.050465825031493,0.605309838,0.031622777,0.0,0.031622777,42,84,0.3,0,0.086023253,,31.016124838541646,14.317821063276353,41.10960958218893,9.055385138137417,1.5132745950421556,0.03162277660168379,5.0,69.6419413859206,0.42,0.49,37.33630941,11,154.8563851,2.419097628,0.11045361017187261,0.022360679774997897,1.670748335327616,0.16,1.6,2.64,7.31,0.575,0.35,0,1.120059522,9.9,0.168,0.12,0.12,,0.54,0.45,4.98,0.92,0.19,149.6028075,0.004,0.02,0,0.0245,0.0235,0.39,1.6,0.6,0.20225140967629707
Isoserine,0.005656854,,,,,,,,,,,,,,0.028284271,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,0.0,0.0,0.0,0,0,0,,,,0,,,,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,0.05,0.05,,,,
Aspartic Acid,0.184390889,0.0,0.0,1.252996408614167,3.228002478313795,0.0,0.0,3.5902646142032486,0.0,0.0,1.077032961426901,0.14142135623730953,0.6082762530298219,5.000999900019995,0.670820393,0.031622777,0.31144823,0.01,104.0048076,11.40175425,0,0,0.223606798,0.0565685424949238,41.23105625617661,41.677331968349414,61.29437168288782,6.708203932499369,1.118033988749895,0.05,3.0,237.6930794112441,0.19,0.23,13.89244399,4.472135955,19.3747258,0.98726896,0.0565685424949238,0.12083045973594572,1.0890362712049586,0.39,3.9,1.83,7.5,0.29,1.05,0.804249132,0.952627944,0.1,0.385,0.136,0.014,,8.19,11.94,14.01,3.28,0.7,73.81734214,0.009,0.017,0,0.0305,0.0355,0.3,3.3,1,0.16522314690019949
Threonine,0.0,,,,,,,,,,,,,,4.019950248,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,0.35,0.33,,0,386.7874093,0.577350269,0.0,0.08,0.81,0.16,0.82,1.56,3.91,0.65,0,0.122474487,0,0,0.161,0.08,0.05,,0.33,0.33,5.16,0.77,0.16,,0.001,0.018,0,0.0255,0.027,0.5,0.7,0.5,0.14682992807250764
"D,L-a-ABA",0.02,0.0,0.0,0.2,0.3,0.2,0.5,0.3,0.1,0.0,0.0,0.4,0.2,0.0,0.08,0.01,0.48,,0,0,3.2,0,1.0,0.07,32.0,59.0,52.0,6.0,1.0,0.02,0.1,3.0,0.25,0.27,,0,0,0,0.0,0.01,0.16,0,,,,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
 beta-ABA,0.113137085,0.223606797749979,0.223606797749979,0.28284271247461906,0.223606797749979,0.14142135623730953,0.2,0.1,0.1,0.0,0.0,0.5385164807134505,0.28284271247461906,0.0,0.640312424,0.028284271,1.252996409,0.014142136,149,83,0.3,0,0.122065556,0.0,14.142135623730951,94.76286192385707,61.554853586049575,6.4031242374328485,3.8275318418009276,0.223606797749979,0.14142135623730953,2.6907248094147422,0.25,0.27,,5,0,0,0.0,0.01414213562373095,0.01414213562373095,0,,,,0,0,0,0,0,0.063,0,0.009,,0,0,0,,,,,,,,,,,,
gamma-ABA,0.13,25.0,53.0,142.0,68.0,91.0,5.0,211.0,250.0,72.0,140.0,0.8,15.0,6.0,0.7,0.1,1.3,0.2,176,146,9.9,0,0.1,,407.0,57.0,72.0,13.0,3.0,1.0,2.0,6.0,0.0,0.0,11.0,6,0,0,0.03,0.3,1.74,0,,,,0,0,0,0,0,0.028,0,0,,0,0,0,,,10.0,,,,,,,,,0.07980879929208586
alpha-AIB,0.05,0.1,1.0,0.1,0.1,0.0,1.0,0.1,0.0,0.1,0.0,0.1,1.1,0.0,1.2,0.03,1.4,0.02,2030,1113,0.1,0,0.2,0.1,4.0,20.0,26.0,8.0,1.0,0.3,0.1,1.6,0.8,0.9,,3,0,0,0.0,0.0,0.0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
 beta-AIB,0.014142136,0.0,0.0,0.0,0.0,0.0,1.0,,,,,3.0,1.3,0.0,0.092195445,0.0,0.0,0.02236068,88,61,0,0,,,28.0,58.0,81.0,9.0,1.0,0.2,,0.0,0.3,0.3,,2,0,0,,,,0,,,,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Glutamic Acid,0.06,0.0,0.0,5.554277630799527,6.809552114493288,3.6,1.9235384061671343,2.5,1.5811388300841898,0.36055512754639896,0.1,0.6708203932499369,1.6643316977093237,2.23606797749979,1.140175425,0.145602198,0.186010752,0.0,352.6045944,330.3891645,3.4525353,0,0.122065556,0.6403124237432849,133.00375934536586,82.46211251235322,75.69015788066504,6.4031242374328485,2.23606797749979,0.03162277660168379,4.0,431.4255439818092,0.28,0.4,11.40175425,6.708203932,32.88046533,1.420281662,0.05385164807134505,0.16278820596099708,5.721022635858033,0.22,1.45,2.52,8.5,9.75,31.5,1.551343504,1.633901262,1.5,0.4,0.152,0.054,,5.04,5.79,7.56,1.143,0.3,143.0139853,0.007,0.013,0.057,0.0495,0.0545,0.12,2.6,0.8,0.1508266828900144
Valine,0.060827625,1.886796226411321,1.0,0.1,0.0,1.5,1.104536101718726,0.7615773105863908,1.6278820596099708,0.5,1.1704699910719625,0.806225774829855,0.5385164807134505,1.3038404810405297,0.203960781,0.014142136,0.053851648,0.0,128.7012043,254.0177159,0,0,0.223606798,0.223606797749979,48.507731342539614,49.49747468305833,9.219544457292887,2.23606797749979,0.5385164807134505,0.01414213562373095,0.9848857801796105,16.55294535724685,0.35,0.4,,5,83.93357493,0.554256258,0.09,0.09433981132056604,1.4322360140703068,0.33,1.79,0.65,2.31,7.53,23.7,0.204124145,0.444559707,2.4,0.171,0.096,0.079,,2.97,3.87,4.08,2.66,0.6,,0.003,0.014,0.032,0.0325,0.031,0.06,1,0.5,0.15104037355768302
Isovaline,0.009219544,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3341664064126335,0.0,1.063014581,0.014142136,0.036055513,0.0,0,0,0,0,0.360555128,,7.280109889280518,7.810249675906654,14.212670403551895,1.4142135623730951,0.36055512754639896,0.044721359549995794,0.0,0.0,0.16,0.2,,0,0,0,0.0,0.0,0.0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Norvaline,0.006403124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008485281,0.0,0.014142136,0.0,0,0,0,0,0.070710678,,15.0,3.0,1.0,1.0,0.2,0.01,0.0,0.1,0.03,0.04,,0,0,0,,,,0,,,,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
(R)-3-APA,0.0036055512754639895,1.2020815280171306,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.05,0.01414213562373095,0.1,0.0,0.0,0.0,0.0,0,0.0,,3.1622776601683795,8.06225774829855,6.4031242374328485,1.4142135623730951,0.28284271247461906,0.022360679774997897,0.0,0.07071067811865477,0.0,0.0,0.0,0.0,0,0,,,,0,,,,0,0,0,0,0,0.0,0,0,,0,0,0,,,0.0,,,,,,,,,
(S)-3-APA,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,0,,,,0,,,,0,0,0,0,0,,0,0,,0,0,0,,,,,,,,,,,,
"D,L- and D,L-allo-3-A-2-MBA",0.01,0.2,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,,0,0,0,0,0.04,,10.0,9.0,3.0,1.0,0.3,0.04,0.0,0.0,0.0,0.0,,0,0,0,,,,0,,,,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
3-A-3-MBA,0.1,,,,,,,,,,,,,,0.05,0.05,,,0,0,0,0,0.04,,,,,,,0.0,,,0.0,0.0,,0,0,0,,,,0,,,,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
"3-A-2,2-DMPA",0.002,0.6,0.0,0.1,0.2,0.4,0.0,0.7,0.0,0.0,0.0,0.2,2.0,0.0,0.01,0.01,0.03,0.002,0,0,0,0,0.05,,4.0,6.0,6.0,1.0,0.2,0.01,0.0,1.0,0.02,0.03,,0,0,0,0.0,0.0,0.0,0,,,,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
"D,L-3-A-2-EPA",0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,0.1,,0,0,0,0,,,2.0,4.0,6.0,3.0,0.8,0.01,0.0,0.0,0.0,0.0,,0,0,0,,,,0,,,,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
"D,L-4-APA",0.003,0.1,0.0,0.2,0.0,0.7,0.2,0.3,0.2,0.0,0.1,0.0,0.0,0.0,0.02,0.01,0.2,,0,0,0,0,0.07,,9.219544457292887,6.4031242374328485,2.8284271247461903,2.23606797749979,0.223606797749979,0.03,0.0,0.0,0.06,0.07,,0,0,0,,,,0,,,,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
"D,L-4-A-2-MBA",0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.1,,0,0,0,0,,,114.0,1.0,7.0,3.0,0.2,0.03,0.0,0.0,0.26,0.25,,0,0,0,,,,0,,,,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
"D,L-4-A-3-MBA",0.001,0.1,0.0,0.8,0.2,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.003,0.01,0.1,,0,0,0,0,0.01,,101.0,30.0,14.0,7.0,0.6,0.08,0.0,0.1,0.01,0.02,,0,0,0,,,,0,,,,0,0,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
5-APA,0.04,1.0,0.3,1.0,6.0,2.0,11.0,5.0,1.0,0.4,2.0,0.9,4.0,1.2,0.3,0.02,0.2,0.1,0,0,0,0,0.04,,45.0,9.0,21.0,5.0,0.7,,1.1,1.0,0.07,0.08,,0,0,0,,0.03,0.05,0,,,,0,0,0,0,0,0,0,0,,,0,0,,,,,,,,,,,,
Leucine,0.01,,,,,,,,,,,,,,0.538516481,0.0,0.0,0.0,0,0,0,0,,0.0,,,,,,,,,0.0,0.0,,0,111.0157646,0.369504172,,,,0.08,1.75,0.57,4.05,7.63,2.5,0.70218706,0.271354627,1.8,0.182,0.072,0.087,,1.47,1.95,2.85,0.88,0.12,,0.007,0.033,0.036,0.046,0.04,0.25,2,0.2,0.1601648456365434
Isoleucine,0.005,,,,,,,,,,,,,,0.223606798,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,0.0,0.0,,0,0,0,,,,0.11,1.93,0.9,3.42,4.375,1.75,0,0,0,0.105,0.048,0.056,,1.05,1.29,2.43,,0.08,,0.002,0.012,0.0235,0.013,0.0205,0.05,3,0.5,0.08607750240192308
epsi-Amino- n-caproic acid,0.07,23.0,130.0,227.0,70.0,234.0,262.0,338.0,429.0,81.0,281.0,34.0,213.0,86.0,0.1,,0.79,2.6,0,0,0,0,0.05,0.0,203.0,896.0,2478.0,915.0,22.0,,68.0,9.0,0.4,0.42,,0,0,0,0.2,0.65,0.55,0,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Phenylalanine,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0,0,0,0,,,,,,,,,,,0.0,0.0,,0,0,0,,,,0.4,1.94,1.14,2.22,5.43,0,0,0,0,0.063,0.028,0.044,,,,,,0.158,,0.002,0.014,0.0145,0.0165,0.0155,0.21,0.7,1,0.0722361097758978
