model,trajectory,time_myr,temperature_k,ice_fraction,co2_ppm,regolith_fraction,carbon_memory,productivity
classic,A,-10.0,0.5940561532904646,0.16865214561127248,312.00900379830955,0.63406645185862,0.42692554204314437,0.9190206963021779
classic,A,-9.98,0.9971293840581084,0.1499130183211419,310.84435217442996,0.63406645185862,0.42692554204314437,0.9438081745383495
classic,A,-9.96,1.2650633661470738,0.1332560162854702,309.47241471411655,0.63406645185862,0.42692554204314437,0.9376395178953536
classic,A,-9.940000000000001,1.4483114532321397,0.11844979225376201,307.98231135378353,0.63406645185862,0.42692554204314437,0.9245897607158289
classic,A,-9.920000000000002,1.5776767362841881,0.1052887042255769,306.4272827288675,0.63406645185862,0.42692554204314437,0.9121681493393426
classic,A,-9.900000000000002,1.6720611606198943,0.09358995931163455,304.8400046857194,0.63406645185862,0.42692554204314437,0.902047923141458
classic,A,-9.880000000000003,1.7431501234379367,0.08319107494368577,303.2410359706181,0.63406645185862,0.42692554204314437,0.8941457185913704
classic,A,-9.860000000000003,1.7982439963134569,0.07394762217217572,301.6436354683643,0.63406645185862,0.42692554204314437,0.8879890056571611
classic,A,-9.840000000000003,1.8419700918241768,0.06573121970861122,300.0565739158561,0.63406645185862,0.42692554204314437,0.8831226473932922
classic,A,-9.820000000000004,1.877318508710899,0.05842775085210941,298.4858037656923,0.63406645185862,0.42692554204314437,0.8791987675686705
classic,A,-9.800000000000004,1.9062696868846651,0.0519357785352189,296.9354653500964,0.63406645185862,0.42692554204314437,0.8759724361121438
classic,A,-9.780000000000005,1.9301753620663282,0.04616513647576065,295.4085016064769,0.63406645185862,0.42692554204314437,0.8732764182464496
classic,A,-9.760000000000005,1.949990509733416,0.04103567686735331,293.9070393766012,0.63406645185862,0.42692554204314437,0.8709969342836553
classic,A,-9.740000000000006,1.9664151769885096,0.03647615721543566,292.4326301888964,0.63406645185862,0.42692554204314437,0.8690553809703898
classic,A,-9.720000000000006,1.9799817536189062,0.03242325085817551,290.98640566390725,0.63406645185862,0.42692554204314437,0.8673958111241881
classic,A,-9.700000000000006,1.991109147113601,0.028820667429499815,289.5691805034235,0.63406645185862,0.42692554204314437,0.8659767784130153
classic,A,-9.680000000000007,2.000136827645162,0.025618371048454745,288.18152288972755,0.63406645185862,0.42692554204314437,0.864766184601956
classic,A,-9.660000000000007,2.0073465811606948,0.022771885376414676,286.8238042963313,0.63406645185862,0.42692554204314437,0.8637380874050749
classic,A,-9.640000000000008,2.0129767142244166,0.02024167589015683,285.4962360269269,0.63406645185862,0.42692554204314437,0.8628707469999887
classic,A,-9.620000000000008,2.0172315862710977,0.01799260079126096,284.19889698257674,0.63406645185862,0.42692554204314437,0.8621454365076642
classic,A,-9.600000000000009,2.020288216807147,0.015993422925575738,282.93175545613025,0.63406645185862,0.42692554204314437,0.8615457145436796
classic,A,-9.580000000000009,2.022301033318253,0.014216375933855536,281.69468672042615,0.63406645185862,0.42692554204314437,0.8610569724810843
classic,A,-9.56000000000001,2.023405413185173,0.012636778607882019,280.4874875463402,0.63406645185862,0.42692554204314437,0.8606661424956239
classic,A,-9.54000000000001,2.023720423004168,0.011232692095905555,279.30988839864415,0.63406645185862,0.42692554204314437,0.8603614984314882
classic,A,-9.52000000000001,2.0233510069566765,0.009984615196370917,278.16156381625825,0.63406645185862,0.42692554204314437,0.8601325097468653
classic,A,-9.50000000000001,2.022389783426384,0.00887521350789568,277.0421413312979,0.63406645185862,0.42692554204314437,0.8599697258177705
classic,A,-9.480000000000011,2.0209185524824287,0.007889078673695468,275.9512091836652,0.63406645185862,0.42692554204314437,0.8598646779557398
classic,A,-9.460000000000012,2.019009581989749,0.00701251437662861,274.888323023881,0.63406645185862,0.42692554204314437,0.8598097923390847
classic,A,-9.440000000000012,2.0167267184314195,0.006233346112569179,273.8530117536896,0.63406645185862,0.42692554204314437,0.8597983103608972
classic,A,-9.420000000000012,2.0141263548739947,0.005540752100071904,272.8447826239685,0.63406645185862,0.42692554204314437,0.8598242147016049
classic,A,-9.400000000000013,2.011258279756095,0.004925112977852103,271.8631256879089,0.63406645185862,0.42692554204314437,0.8598821603719884
classic,A,-9.380000000000013,2.0081664244442665,0.004377878202545611,270.90751769137984,0.63406645185862,0.42692554204314437,0.8599674104226759
classic,A,-9.360000000000014,2.004889523633259,0.003891447291162062,269.97742547003685,0.63406645185862,0.42692554204314437,0.8600757762012468
classic,A,-9.340000000000014,2.0014616999738357,0.003459064258821128,269.0723089129414,0.63406645185862,0.42692554204314437,0.8602035620870582
classic,A,-9.320000000000014,1.9979129823649466,0.003074723785629186,268.19162354448724,0.63406645185862,0.42692554204314437,0.8603475146194111
classic,A,-9.300000000000015,1.9942697658876263,0.00273308780945857,267.3348227698083,0.63406645185862,0.42692554204314437,0.8605047758961927
classic,A,-9.280000000000015,1.9905552202239816,0.0024294113861957995,266.5013598232502,0.63406645185862,0.42692554204314437,0.8606728410779899
classic,A,-9.260000000000016,1.9867896524951563,0.0021594767877400026,265.6906894547022,0.63406645185862,0.42692554204314437,0.8608495197963799
classic,A,-9.240000000000016,1.982990829703251,0.0019195349224459604,264.90226938445517,0.63406645185862,0.42692554204314437,0.8610329012382006
classic,A,-9.220000000000017,1.9791742653323634,0.0017062532644068111,264.13556155365904,0.63406645185862,0.42692554204314437,0.8612213226606111
classic,A,-9.200000000000017,1.9753534741257666,0.0015166695683720114,263.3900331943122,0.63406645185862,0.42692554204314437,0.8614133410836645
classic,A,-9.180000000000017,1.9715401985909542,0.0013481507274521888,262.6651577399588,0.63406645185862,0.42692554204314437,0.8616077079064223
classic,A,-9.160000000000018,1.967744610378578,0.0011983562021901238,261.9604155958461,0.63406645185862,0.42692554204314437,0.861803346197657
classic,A,-9.140000000000018,1.9639754893254235,0.001065205513068288,261.2752947851539,0.63406645185862,0.42692554204314437,0.8619993304214362
classic,A,-9.120000000000019,1.9602403826380814,0.0009468493449599892,260.60929148601844,0.63406645185862,0.42692554204314437,0.8621948683700145
classic,A,-9.10000000000002,1.9565457464170146,0.0008416438621970567,259.9619104724032,0.63406645185862,0.42692554204314437,0.862389285090445
classic,A,-9.08000000000002,1.9528970714755551,0.0007481278775188942,259.33266547038875,0.63406645185862,0.42692554204314437,0.8625820086063036
classic,A,-9.06000000000002,1.9492989951910225,0.0006650025578049717,258.7210794401429,0.63406645185862,0.42692554204314437,0.8627725572512632
classic,A,-9.04000000000002,1.9457554009323117,0.0005911133847259294,258.1266847926705,0.63406645185862,0.42692554204314437,0.862960528446506
classic,A,-9.020000000000021,1.9422695064370576,0.0005254341197667804,257.54902354941163,0.63406645185862,0.42692554204314437,0.8631455887687519
