model,replicate,variable,absolute_delta_A_B
M2,0,carbon_memory,0.0016110471566420648
M2,0,co2_ppm,0.39447310773050503
M2,0,ice_fraction,3.061746007260169e-05
M2,0,productivity,0.00020888331655977144
M2,0,regolith_fraction,0.04715013141450142
M2,0,temperature_k,0.00140781266051615
M2,1,carbon_memory,0.001901625815854846
M2,1,co2_ppm,0.46504020769060617
M2,1,ice_fraction,3.18242193104723e-05
M2,1,productivity,0.0002490984282830233
M2,1,regolith_fraction,0.04903022640079552
M2,1,temperature_k,0.0016761836902943195
M2,2,carbon_memory,0.001933270862351566
M2,2,co2_ppm,0.4727240063361364
M2,2,ice_fraction,3.195163364755338e-05
M2,2,productivity,0.00025348012380715934
M2,2,regolith_fraction,0.049228927175817366
M2,2,temperature_k,0.0017054235981754928
M2,3,carbon_memory,0.004682105369248624
M2,3,co2_ppm,1.1395553408181058
M2,3,ice_fraction,4.287630727983771e-05
M2,3,productivity,0.0006339755714582784
M2,3,regolith_fraction,0.0659616818659097
M2,3,temperature_k,0.004245770380249425
M2,4,carbon_memory,0.002379581216636062
M2,4,co2_ppm,0.5810606733711552
M2,4,ice_fraction,3.3579362465507856e-05
M2,4,productivity,0.00031537403371584283
M2,4,regolith_fraction,0.05178801189421836
M2,4,temperature_k,0.002118378213701977
M2,5,carbon_memory,0.0019825222071763737
M2,5,co2_ppm,0.4846713898218695
M2,5,ice_fraction,3.203386593741975e-05
M2,5,productivity,0.00026036927683381617
M2,5,regolith_fraction,0.04937680376965295
M2,5,temperature_k,0.0017513202491405977
M2,6,carbon_memory,0.003794484030068157
M2,6,co2_ppm,0.9243547841964528
M2,6,ice_fraction,3.929981979888808e-05
M2,6,productivity,0.0005111835953319765
M2,6,regolith_fraction,0.06056187932386503
M2,6,temperature_k,0.0034256445876952313
M2,7,carbon_memory,0.002199318546801665
M2,7,co2_ppm,0.5373063404838376
M2,7,ice_fraction,3.290825658586183e-05
M2,7,productivity,0.0002903848248654861
M2,7,regolith_fraction,0.05073722855315643
M2,7,temperature_k,0.0019516338310618941
M2,8,carbon_memory,0.00418426200327271
M2,8,co2_ppm,1.0188739188681097
M2,8,ice_fraction,4.093007491201561e-05
M2,8,productivity,0.0005650733964386312
M2,8,regolith_fraction,0.06302111890764248
M2,8,temperature_k,0.0037855845589014336
M2,9,carbon_memory,0.0016642712990828645
M2,9,co2_ppm,0.4074106591663167
M2,9,ice_fraction,3.094872395503767e-05
M2,9,productivity,0.00021618364268793933
M2,9,regolith_fraction,0.047648955564783574
M2,9,temperature_k,0.0014566001754969804
M2,10,carbon_memory,0.003083939299555305
M2,10,co2_ppm,0.7520017393621288
M2,10,ice_fraction,3.648747206708158e-05
M2,10,productivity,0.00041282757415972426
M2,10,regolith_fraction,0.05626009994709277
M2,10,temperature_k,0.002768954142341684
M2,11,carbon_memory,0.002821287978605147
M2,11,co2_ppm,0.688261692630249
M2,11,ice_fraction,3.5325767065219615e-05
M2,11,productivity,0.0003765375952757277
M2,11,regolith_fraction,0.05449206692077918
M2,11,temperature_k,0.0025266174006293163
M2,12,carbon_memory,0.002314708106377239
M2,12,co2_ppm,0.5653259081953479
M2,12,ice_fraction,3.345928940956533e-05
M2,12,productivity,0.0003063079278775027
M2,12,regolith_fraction,0.051577826892949596
M2,12,temperature_k,0.0020579634882360587
M2,13,carbon_memory,0.0019150430742357893
M2,13,co2_ppm,0.4682910169053116
M2,13,ice_fraction,3.1804793246825724e-05
M2,13,productivity,0.00025100034884206757
M2,13,regolith_fraction,0.049012384847098966
M2,13,temperature_k,0.0016888270972779118
M2,14,carbon_memory,0.004231937908323158
M2,14,co2_ppm,1.03042961553831
M2,14,ice_fraction,4.107132268005298e-05
M2,14,productivity,0.0005716999080569996
M2,14,regolith_fraction,0.06324322507587521
M2,14,temperature_k,0.0038298054839267515
M2,15,carbon_memory,0.0046608530456792585
M2,15,co2_ppm,1.1344061800636496
M2,15,ice_fraction,4.282325377646945e-05
M2,15,productivity,0.000631016097284276
M2,15,regolith_fraction,0.06587641267093086
M2,15,temperature_k,0.004226025084336449
M2,16,carbon_memory,0.004266338337717557
M2,16,co2_ppm,1.038770670908491
M2,16,ice_fraction,4.122263729278153e-05
M2,16,productivity,0.000576451033346137
M2,16,regolith_fraction,0.0634694443884013
M2,16,temperature_k,0.0038615475159984314
M2,17,carbon_memory,0.0022936000683582147
M2,17,co2_ppm,0.5602006043607162
M2,17,ice_fraction,3.335943672844177e-05
M2,17,productivity,0.00030339463131096034
M2,17,regolith_fraction,0.05142549689112941
M2,17,temperature_k,0.0020385096072925712
M2,18,carbon_memory,0.002325702894125592
M2,18,co2_ppm,0.5679829465390185
M2,18,ice_fraction,3.337161706318259e-05
M2,18,productivity,0.00030790956561327354
M2,18,regolith_fraction,0.051464335429910246
M2,18,temperature_k,0.0020685643598006287
M2,19,carbon_memory,0.003233472195607434
M2,19,co2_ppm,0.7882772240991471
M2,19,ice_fraction,3.7048483596979764e-05
M2,19,productivity,0.00043354733237938037
M2,19,regolith_fraction,0.05712696097448983
M2,19,temperature_k,0.002907257272975805
M2,20,carbon_memory,0.0038938519189218868
M2,20,co2_ppm,0.9484449575171539
M2,20,ice_fraction,3.9593839775586837e-05
M2,20,productivity,0.0005249968727799037
M2,20,regolith_fraction,0.06102668251963686
M2,20,temperature_k,0.003517813148695037
M2,21,carbon_memory,0.0028884945317034227
M2,21,co2_ppm,0.7045711970034745
M2,21,ice_fraction,3.560796928503418e-05
M2,21,productivity,0.0003858328633903896
M2,21,regolith_fraction,0.054924581854571275
M2,21,temperature_k,0.002588676395354206
M2,22,carbon_memory,0.0038741084157151717
M2,22,co2_ppm,0.9436650942072333
M2,22,ice_fraction,3.963044653521042e-05
M2,22,productivity,0.000522194411905097
M2,22,regolith_fraction,0.061062160865072906
M2,22,temperature_k,0.0034991818229563876
M2,23,carbon_memory,0.003984212086689143
M2,23,co2_ppm,0.9703572717728548
M2,23,ice_fraction,3.9966824219250796e-05
M2,23,productivity,0.0005374931404270589
M2,23,regolith_fraction,0.06159079423819275
M2,23,temperature_k,0.0036012727584799897
M2,24,carbon_memory,0.00400763148086869
M2,24,co2_ppm,0.9760480606892088
M2,24,ice_fraction,4.023740312253388e-05
M2,24,productivity,0.0005406257764766775
M2,24,regolith_fraction,0.06197025454401964
M2,24,temperature_k,0.0036223211829082835
M2,25,carbon_memory,0.002582113951011822
M2,25,co2_ppm,0.6302238616660247
M2,25,ice_fraction,3.444011030218075e-05
M2,25,productivity,0.00034338402880501606
M2,25,regolith_fraction,0.053112418922275195
M2,25,temperature_k,0.002305364737022142
M2,26,carbon_memory,0.0016075238644155943
M2,26,co2_ppm,0.39362817571714004
M2,26,ice_fraction,3.071006642174634e-05
M2,26,productivity,0.0002083314210354903
M2,26,regolith_fraction,0.04727710477531116
M2,26,temperature_k,0.0014041996165903292
M2,27,carbon_memory,0.003469115870678552
M2,27,co2_ppm,0.8454426118362903
M2,27,ice_fraction,3.8024867836994325e-05
M2,27,productivity,0.0004661404923805845
M2,27,regolith_fraction,0.058614638501702815
M2,27,temperature_k,0.0031248947006021766
M2,28,carbon_memory,0.003579225170025957
M2,28,co2_ppm,0.8721453065282958
M2,28,ice_fraction,3.8399334346239655e-05
M2,28,productivity,0.00048141901427306566
M2,28,regolith_fraction,0.05919754921682563
M2,28,temperature_k,0.003226863843404537
M2,29,carbon_memory,0.0033172686376533034
M2,29,co2_ppm,0.8086076666001532
M2,29,ice_fraction,3.7409114738373717e-05
M2,29,productivity,0.000445129874305783
M2,29,regolith_fraction,0.057674794483366626
M2,29,temperature_k,0.0029846056999565107
M2,30,carbon_memory,0.0018206978898419601
M2,30,co2_ppm,0.4453821111434877
M2,30,ice_fraction,3.1425031612242194e-05
M2,30,productivity,0.0002379366258176696
M2,30,regolith_fraction,0.048419592030079506
M2,30,temperature_k,0.001601652080243987
M2,31,carbon_memory,0.00396424772316073
M2,31,co2_ppm,0.9655240026375509
M2,31,ice_fraction,4.000185299235515e-05
