time_myr,obliquity_A_deg,eccentricity_A,obliquity_B_deg,eccentricity_B
-7.800000000000047,70.0,0.3,10.0,0.01
-7.780000000000047,70.0,0.3,10.0,0.01
-7.760000000000048,70.0,0.3,10.0,0.01
-7.740000000000048,70.0,0.3,10.0,0.01
-7.720000000000049,70.0,0.3,10.0,0.01
-7.700000000000049,70.0,0.3,10.0,0.01
-7.6800000000000495,70.0,0.3,10.0,0.01
-7.66000000000005,70.0,0.3,10.0,0.01
-7.64000000000005,70.0,0.3,10.0,0.01
-7.620000000000051,70.0,0.3,10.0,0.01
-7.600000000000051,70.0,0.3,10.0,0.01
-7.580000000000052,70.0,0.3,10.0,0.01
-7.560000000000052,70.0,0.3,10.0,0.01
-7.540000000000052,70.0,0.3,10.0,0.01
-7.520000000000053,70.0,0.3,10.0,0.01
-7.500000000000053,70.0,0.3,10.0,0.01
-7.480000000000054,70.0,0.3,10.0,0.01
-7.460000000000054,70.0,0.3,10.0,0.01
-7.440000000000055,70.0,0.3,10.0,0.01
-7.420000000000055,70.0,0.3,10.0,0.01
-7.400000000000055,70.0,0.3,10.0,0.01
-7.380000000000056,70.0,0.3,10.0,0.01
-7.360000000000056,70.0,0.3,10.0,0.01
-7.340000000000057,70.0,0.3,10.0,0.01
-7.320000000000057,70.0,0.3,10.0,0.01
-7.3000000000000576,70.0,0.3,10.0,0.01
-7.280000000000058,70.0,0.3,10.0,0.01
-7.260000000000058,70.0,0.3,10.0,0.01
-7.240000000000059,70.0,0.3,10.0,0.01
-7.220000000000059,70.0,0.3,10.0,0.01
-7.20000000000006,70.0,0.3,10.0,0.01
-7.18000000000006,70.0,0.3,10.0,0.01
-7.1600000000000605,70.0,0.3,10.0,0.01
-7.140000000000061,70.0,0.3,10.0,0.01
-7.120000000000061,70.0,0.3,10.0,0.01
-7.100000000000062,70.0,0.3,10.0,0.01
-7.080000000000062,70.0,0.3,10.0,0.01
-7.060000000000063,70.0,0.3,10.0,0.01
-7.040000000000063,70.0,0.3,10.0,0.01
-7.0200000000000635,70.0,0.3,10.0,0.01
-7.000000000000064,70.0,0.3,10.0,0.01
-6.980000000000064,70.0,0.3,10.0,0.01
-6.960000000000065,70.0,0.3,10.0,0.01
-6.940000000000065,70.0,0.3,10.0,0.01
-6.920000000000066,70.0,0.3,10.0,0.01
-6.900000000000066,70.0,0.3,10.0,0.01
-6.8800000000000665,70.0,0.3,10.0,0.01
-6.860000000000067,70.0,0.3,10.0,0.01
-6.840000000000067,70.0,0.3,10.0,0.01
-6.820000000000068,70.0,0.3,10.0,0.01
-6.800000000000068,70.0,0.3,10.0,0.01
-6.780000000000069,70.0,0.3,10.0,0.01
-6.760000000000069,70.0,0.3,10.0,0.01
-6.7400000000000695,70.0,0.3,10.0,0.01
-6.72000000000007,70.0,0.3,10.0,0.01
-6.70000000000007,70.0,0.3,10.0,0.01
-6.680000000000071,70.0,0.3,10.0,0.01
-6.660000000000071,70.0,0.3,10.0,0.01
-6.640000000000072,70.0,0.3,10.0,0.01
-6.620000000000072,70.0,0.3,10.0,0.01
-6.6000000000000725,70.0,0.3,10.0,0.01
-6.580000000000073,70.0,0.3,10.0,0.01
-6.560000000000073,70.0,0.3,10.0,0.01
-6.540000000000074,70.0,0.3,10.0,0.01
-6.520000000000074,70.0,0.3,10.0,0.01
-6.500000000000075,70.0,0.3,10.0,0.01
-6.480000000000075,70.0,0.3,10.0,0.01
-6.4600000000000755,70.0,0.3,10.0,0.01
-6.440000000000076,70.0,0.3,10.0,0.01
-6.420000000000076,70.0,0.3,10.0,0.01
-6.400000000000077,70.0,0.3,10.0,0.01
-6.380000000000077,70.0,0.3,10.0,0.01
-6.360000000000078,70.0,0.3,10.0,0.01
-6.340000000000078,70.0,0.3,10.0,0.01
-6.320000000000078,70.0,0.3,10.0,0.01
-6.300000000000079,70.0,0.3,10.0,0.01
-6.280000000000079,70.0,0.3,10.0,0.01
-6.26000000000008,70.0,0.3,10.0,0.01
-6.24000000000008,70.0,0.3,10.0,0.01
-6.220000000000081,70.0,0.3,10.0,0.01
-6.200000000000081,70.0,0.3,10.0,0.01
-6.180000000000081,70.0,0.3,10.0,0.01
-6.160000000000082,70.0,0.3,10.0,0.01
-6.140000000000082,70.0,0.3,10.0,0.01
-6.120000000000083,70.0,0.3,10.0,0.01
-6.100000000000083,70.0,0.3,10.0,0.01
-6.080000000000084,70.0,0.3,10.0,0.01
-6.060000000000084,70.0,0.3,10.0,0.01
-6.040000000000084,70.0,0.3,10.0,0.01
-6.020000000000085,70.0,0.3,10.0,0.01
-6.000000000000085,70.0,0.3,10.0,0.01
-5.980000000000086,70.0,0.3,10.0,0.01
-5.960000000000086,70.0,0.3,10.0,0.01
-5.9400000000000865,70.0,0.3,10.0,0.01
-5.920000000000087,70.0,0.3,10.0,0.01
-5.900000000000087,70.0,0.3,10.0,0.01
-5.880000000000088,70.0,0.3,10.0,0.01
-5.860000000000088,70.0,0.3,10.0,0.01
-5.840000000000089,70.0,0.3,10.0,0.01
-5.820000000000089,70.0,0.3,10.0,0.01
-5.8000000000000895,70.0,0.3,10.0,0.01
-5.78000000000009,70.0,0.3,10.0,0.01
-5.76000000000009,70.0,0.3,10.0,0.01
-5.740000000000091,70.0,0.3,10.0,0.01
-5.720000000000091,70.0,0.3,10.0,0.01
-5.700000000000092,70.0,0.3,10.0,0.01
-5.680000000000092,70.0,0.3,10.0,0.01
-5.6600000000000925,70.0,0.3,10.0,0.01
-5.640000000000093,70.0,0.3,10.0,0.01
-5.620000000000093,70.0,0.3,10.0,0.01
-5.600000000000094,70.0,0.3,10.0,0.01
-5.580000000000094,70.0,0.3,10.0,0.01
-5.560000000000095,70.0,0.3,10.0,0.01
-5.540000000000095,70.0,0.3,10.0,0.01
-5.5200000000000955,70.0,0.3,10.0,0.01
-5.500000000000096,70.0,0.3,10.0,0.01
-5.480000000000096,70.0,0.3,10.0,0.01
-5.460000000000097,70.0,0.3,10.0,0.01
-5.440000000000097,70.0,0.3,10.0,0.01
-5.420000000000098,70.0,0.3,10.0,0.01
-5.400000000000098,70.0,0.3,10.0,0.01
-5.3800000000000985,70.0,0.3,10.0,0.01
-5.360000000000099,70.0,0.3,10.0,0.01
-5.340000000000099,70.0,0.3,10.0,0.01
-5.3200000000001,70.0,0.3,10.0,0.01
-5.3000000000001,70.0,0.3,10.0,0.01
-5.280000000000101,70.0,0.3,10.0,0.01
