source,materiau,temperature_vieillissement_C,duree_jours,repetition,masse_mg,temperature_apparition_C,points_de_courbe,data_kind
recuit_thermique_polymere,LDPE-SPB-681,110.0,20.0,1,10.72,122.038,274,mesure_experimentale
recuit_thermique_polymere,LDPE-SPB-681,110.0,2.0,1,10.4,208.048,275,mesure_experimentale
recuit_thermique_polymere,LDPE-SPB-681,110.0,5.0,1,10.85,196.03614,275,mesure_experimentale
recuit_thermique_polymere,LDPE-SPB-681,110.0,8.0,1,10.77,120.36865,276,mesure_experimentale
recuit_thermique_polymere,LDPE-SPB-681,90.0,12.0,1,10.26,211.38,273,mesure_experimentale
recuit_thermique_polymere,LDPE-SPB-681,90.0,16.0,1,10.95,210.89515,271,mesure_experimentale
recuit_thermique_polymere,LDPE-SPB-681,90.0,1.0,1,10.23,215.63329,275,mesure_experimentale
recuit_thermique_polymere,LDPE-SPB-681,90.0,20.0,1,10.55,210.83312,271,mesure_experimentale
recuit_thermique_polymere,LDPE-SPB-681,90.0,2.0,1,10.56,214.985,276,mesure_experimentale
recuit_thermique_polymere,LDPE-SPB-681,90.0,5.0,1,10.26,191.271,276,mesure_experimentale
recuit_thermique_polymere,LDPE-SPB-681,90.0,8.0,1,10.48,214.14248,271,mesure_experimentale
