obliquite_finale,excentricite_finale,mode,sondes,duree_myr,glace_min,glace_max,glace_etendue,temperature_etendue,multistable
30.0,0.1,classic,150,400.0,0.007687937142143742,0.007687937142143909,1.6740081543176188e-16,1.1823875212257917e-14,False
30.0,0.1,ablated,150,400.0,0.03436966474422534,0.0343696647442262,8.604228440844963e-16,1.2725931419765857e-14,False
30.0,0.1,M2,150,400.0,0.02177709936180501,0.9461245322188762,0.9243474328570711,2.563579650631743,True
30.0,0.1,M2P,150,400.0,0.981089584908023,0.981089584908028,4.9960036108132044e-15,6.483702463810914e-14,False
23.5,0.18,classic,150,400.0,0.00660424584539759,0.006604245845397748,1.5785983631388945e-16,1.2323475573339238e-14,False
23.5,0.18,ablated,150,400.0,0.02888179786811807,0.028881797868118814,7.424616477180734e-16,1.3489209749195652e-14,False
23.5,0.18,M2,150,400.0,0.01808136990888375,0.9406348426630923,0.9225534727542085,2.5840557108887072,True
23.5,0.18,M2P,150,400.0,0.9762418037795721,0.9762418037795779,5.773159728050814e-15,6.838973831690964e-14,False
12.0,0.3,classic,150,400.0,0.003905724671697013,0.0039057246716970684,5.551115123125783e-17,7.327471962526033e-15,False
12.0,0.3,ablated,150,400.0,0.01625121904399197,0.016251219043992262,2.914335439641036e-16,7.771561172376096e-15,False
12.0,0.3,M2,150,400.0,0.008118862370504585,0.9034595146053868,0.8953406522348821,2.664479721483956,True
12.0,0.3,M2P,150,400.0,0.08240959615992055,0.9414923049667874,0.8590827088068669,2.8535964103724876,True
40.0,0.0,classic,150,400.0,0.004704167759529566,0.004704167759529664,9.80118763926896e-17,1.1352030426792226e-14,False
40.0,0.0,ablated,150,400.0,0.01985041464211415,0.019850414642114622,4.718447854656915e-16,1.2032042029375134e-14,False
40.0,0.0,M2,150,400.0,0.010789857875780608,0.8798208544649627,0.8690309965891821,2.3998122273494205,True
40.0,0.0,M2P,150,400.0,0.9694699189478294,0.9694699189478364,6.994405055138486e-15,7.194245199571014e-14,False
