temps_ka,excentricite
0.000000000000000000e+00,1.673578929346961411e-02
9.998631074606433022e-02,2.047925523698683470e-02
1.999726214921286604e-01,2.526407224744148250e-02
2.999589322381930323e-01,2.551543262168600237e-02
3.999452429842573209e-01,2.110222025902890389e-02
4.999315537303217205e-01,1.669314901527127123e-02
5.999178644763860646e-01,2.083392424619523453e-02
6.999041752224504087e-01,2.540169963045096208e-02
7.998904859685146418e-01,2.538327374884640289e-02
8.998767967145790969e-01,2.065171636765133351e-02
9.998631074606434410e-01,1.667844227835265161e-02
1.099849418206707785e+00,2.127469754860111459e-02
1.199835728952772129e+00,2.563853606159004553e-02
1.299822039698836251e+00,2.521189775327086283e-02
1.399808350444900817e+00,2.025068888678189030e-02
1.499794661190965162e+00,1.675063515090621791e-02
1.599780971937029284e+00,2.166643291925143475e-02
1.699767282683093850e+00,2.574719183118224716e-02
1.799753593429158194e+00,2.498289213261770808e-02
1.899739904175222316e+00,1.980410199058012591e-02
1.999726214921286882e+00,1.688263487315586064e-02
2.099712525667351226e+00,2.213313655660268872e-02
2.199698836413415570e+00,2.586729305832349488e-02
2.299685147159479470e+00,2.474104295564242065e-02
2.399671457905544258e+00,1.941184186925440022e-02
2.499657768651608603e+00,1.709188229938867973e-02
2.599644079397672503e+00,2.245906023307424337e-02
2.699630390143737291e+00,2.588440146292088004e-02
2.799616700889801635e+00,2.450201194263023144e-02
2.899603011635865535e+00,1.907963764748477759e-02
2.999589322381930323e+00,1.732565406797382385e-02
3.099575633127994667e+00,2.279983149744998008e-02
3.199561943874058567e+00,2.599919887488265011e-02
3.299548254620123355e+00,2.427679449719650009e-02
3.399534565366187699e+00,1.869626331126430369e-02
3.499520876112251599e+00,1.749199903887983451e-02
3.599507186858316388e+00,2.316406058968730960e-02
3.699493497604380732e+00,2.605464551201474785e-02
3.799479808350444632e+00,2.400683981332675521e-02
3.899466119096509420e+00,1.834233782828394513e-02
3.999452429842573764e+00,1.783908575907566796e-02
4.099438740588638552e+00,2.353565749147958422e-02
4.199425051334702452e+00,2.607777437338391555e-02
4.299411362080766352e+00,2.371602643110695338e-02
4.399397672826831140e+00,1.796839916122910594e-02
4.499383983572895040e+00,1.814509535380304586e-02
4.599370294318958940e+00,2.383199328498311273e-02
4.699356605065024617e+00,2.610900283540256231e-02
4.799342915811088517e+00,2.332882090135253439e-02
4.899329226557152417e+00,1.768891363902531585e-02
4.999315537303217205e+00,1.851866411894676628e-02
5.099301848049281105e+00,2.416050727160962489e-02
5.199288158795345005e+00,2.597398698376143789e-02
5.299274469541410681e+00,2.299630003277598408e-02
5.399260780287474581e+00,1.742823441207635993e-02
5.499247091033538481e+00,1.887596373213320730e-02
5.599233401779603270e+00,2.436938080215368674e-02
5.699219712525667170e+00,2.594970631924839455e-02
5.799206023271731070e+00,2.271374356575864631e-02
5.899192334017796746e+00,1.720102848712318569e-02
5.999178644763860646e+00,1.920801268264770573e-02
6.099164955509924546e+00,2.460078663432507112e-02
6.199151266255989334e+00,2.591827197911362318e-02
6.299137577002053234e+00,2.227274717608724794e-02
6.399123887748117134e+00,1.695402503706255198e-02
6.499110198494182811e+00,1.960108065872662522e-02
6.599096509240246711e+00,2.491129560803959087e-02
6.699082819986310611e+00,2.581459961576791987e-02
6.799069130732375399e+00,2.193557383758626758e-02
6.899055441478439299e+00,1.680643374223215677e-02
6.999041752224503199e+00,2.001454750452251810e-02
7.099028062970568875e+00,2.509923997273993609e-02
7.199014373716632775e+00,2.567590613125478663e-02
7.299000684462696675e+00,2.145292622749046113e-02
7.398986995208761464e+00,1.666826225212903953e-02
7.498973305954825364e+00,2.046685273343728378e-02
7.598959616700889264e+00,2.529905003209938219e-02
7.698945927446954940e+00,2.551736824876608273e-02
7.798932238193018840e+00,2.105240472316418504e-02
7.898918548939082740e+00,1.670210504092969200e-02
7.998904859685147528e+00,2.085480781807599535e-02
8.098891170431210540e+00,2.541081399571121918e-02
8.198877481177277105e+00,2.533307708613774870e-02
8.298863791923340116e+00,2.068407903522151425e-02
8.398850102669404905e+00,1.670670925054366929e-02
8.498836413415469693e+00,2.123745037255040866e-02
8.598822724161532705e+00,2.560416477299466698e-02
8.698809034907597493e+00,2.520986109668181888e-02
8.798795345653662281e+00,2.028554761204085302e-02
8.898781656399725293e+00,1.671618689018282422e-02
8.998767967145790081e+00,2.164417217555366507e-02
9.098754277891854869e+00,2.572536697038503226e-02
9.198740588637917881e+00,2.501512888768510010e-02
9.298726899383984446e+00,1.986727631572485567e-02
9.398713210130049234e+00,1.689326251642779900e-02
9.498699520876112246e+00,2.208867168261621078e-02
9.598685831622177034e+00,2.587882137748529626e-02
9.698672142368241822e+00,2.482725976266546633e-02
9.798658453114304834e+00,1.942514844063967031e-02
9.898644763860369622e+00,1.702119649570304344e-02
9.998631074606434410e+00,2.244995176143624663e-02
1.009861738535249742e+01,2.597812218826349440e-02
1.019860369609856221e+01,2.449626978726358525e-02
1.029859000684462700e+01,1.904870345173321003e-02
1.039857631759069001e+01,1.730829044724954344e-02
1.049856262833675657e+01,2.288907726178377247e-02
1.059854893908282136e+01,2.596544226116524398e-02
1.069853524982888437e+01,2.427579759999268921e-02
1.079852156057494916e+01,1.870353926683238077e-02
1.089850787132101395e+01,1.755285518204591916e-02
1.099849418206707696e+01,2.314357480047988386e-02
1.109848049281314175e+01,2.601288728409845152e-02
1.119846680355920654e+01,2.403701831807293632e-02
1.129845311430526955e+01,1.835059728067667956e-02
1.139843942505133434e+01,1.782446904224312817e-02
1.149842573579739913e+01,2.348365848420371979e-02
1.159841204654346214e+01,2.609766695536237802e-02
1.169839835728952870e+01,2.368483558969315325e-02
1.179838466803559349e+01,1.800611532984684390e-02
1.189837097878165650e+01,1.812293469312239308e-02
1.199835728952772129e+01,2.384650619843269037e-02
1.209834360027378608e+01,2.606172503441149535e-02
1.219832991101984909e+01,2.341810148674646971e-02
1.229831622176591388e+01,1.768624882535324919e-02
1.239830253251197867e+01,1.847426378880673292e-02
1.249828884325804168e+01,2.412178197203126637e-02
1.259827515400410647e+01,2.603977416711348095e-02
1.269826146475017126e+01,2.299698991472051701e-02
1.279824777549623427e+01,1.733878585857351329e-02
1.289823408624230083e+01,1.886954035892822804e-02
1.299822039698836562e+01,2.440131382160173543e-02
1.309820670773442863e+01,2.597550800739595322e-02
1.319819301848049342e+01,2.262477195303148544e-02
1.329817932922655821e+01,1.720800926256943475e-02
1.339816563997262122e+01,1.924306440748311045e-02
1.349815195071868601e+01,2.461548691523736399e-02
1.359813826146475080e+01,2.584738174817644354e-02
1.369812457221081381e+01,2.227979486750789398e-02
1.379811088295687860e+01,1.697337716730778698e-02
1.389809719370294339e+01,1.959876166251652702e-02
1.399808350444900640e+01,2.485711984371104591e-02
1.409806981519507119e+01,2.580586370821796524e-02
1.419805612594113775e+01,2.192257692337965663e-02
1.429804243668720076e+01,1.681277929481361788e-02
1.439802874743326555e+01,2.001236925414733719e-02
1.449801505817933034e+01,2.506004595864047904e-02
1.459800136892539335e+01,2.567747581156771056e-02
1.469798767967145814e+01,2.147597625596709553e-02
1.479797399041752293e+01,1.672984866548390612e-02
1.489796030116358594e+01,2.043188978353613003e-02
1.499794661190965073e+01,2.530074319843661837e-02
1.509793292265571552e+01,2.557606955291237549e-02
1.519791923340177853e+01,2.106862077541887465e-02
1.529790554414784332e+01,1.664322610704702110e-02
1.539789185489390988e+01,2.083807739826331121e-02
1.549787816563997289e+01,2.548735539204869185e-02
1.559786447638603768e+01,2.531794808250167200e-02
1.569785078713210247e+01,2.064191107148469553e-02
1.579783709787816548e+01,1.671847250035215018e-02
1.589782340862423027e+01,2.132454153622827253e-02
1.599780971937029506e+01,2.558598561172879121e-02
1.609779603011635984e+01,2.518933898991236597e-02
1.619778234086242108e+01,2.027295567206405247e-02
1.629776865160848587e+01,1.679167033138755788e-02
1.639775496235455421e+01,2.164459812194777927e-02
1.649774127310061544e+01,2.570865621959720834e-02
1.659772758384668023e+01,2.500616574120664848e-02
1.669771389459274502e+01,1.986332720519256786e-02
1.679770020533880981e+01,1.691546740710414901e-02
1.689768651608487104e+01,2.206332244104950227e-02
1.699767282683093939e+01,2.589993518002888309e-02
1.709765913757700062e+01,2.475932709024570438e-02
1.719764544832306541e+01,1.949802991413770309e-02
1.729763175906913375e+01,1.705264597142012312e-02
1.739761806981519499e+01,2.246435486803769963e-02
1.749760438056125977e+01,2.591239531855060382e-02
1.759759069130732456e+01,2.458160988354099810e-02
1.769757700205338935e+01,1.909652519662909456e-02
1.779756331279945059e+01,1.727290721393950554e-02
1.789754962354551893e+01,2.283766695744280512e-02
1.799753593429158016e+01,2.603753389251099726e-02
1.809752224503764495e+01,2.427632387926342492e-02
1.819750855578370974e+01,1.864255053212103552e-02
1.829749486652977453e+01,1.754796432468483727e-02
1.839748117727583576e+01,2.319406785165714288e-02
1.849746748802190410e+01,2.604449272892200157e-02
