temps_ka,excentricite
1.859745379876796889e+01,2.395942110374516335e-02
1.869744010951403013e+01,1.838845667760333202e-02
1.879742642026009847e+01,1.785385414227084327e-02
1.889741273100615970e+01,2.351517225558532112e-02
1.899739904175222449e+01,2.601422276359759145e-02
1.909738535249828928e+01,2.369725294560455497e-02
1.919737166324435407e+01,1.801485010379337212e-02
1.929735797399041530e+01,1.812203448210165588e-02
1.939734428473648364e+01,2.380603782021163337e-02
1.949733059548254488e+01,2.604053870340543309e-02
1.959731690622860967e+01,2.340552081330329187e-02
1.969730321697467801e+01,1.769692952183277157e-02
1.979728952772073924e+01,1.849014500182559820e-02
1.989727583846680403e+01,2.408829625783895367e-02
1.999726214921286882e+01,2.600549999263995077e-02
