age_ka_bp,temp_anomaly_C,sea_level_m,ice_volume_eurasia_sle,ice_volume_na_sle,ice_volume_total_sle,insolation_65N_jul_Wm2,eccentricity,obliquity_deg,precession,isotope_total
47.0,-11.018,-79.415,-32.114,-36.896,-69.00999999999999,442.75,0.014337,24.405,0.0143,1.1865
48.0,-11.984,-79.647,-32.205,-37.071,-69.276,444.95,0.014498,24.433,0.01385,1.1882
49.0,-12.363,-79.327,-32.004,-37.039,-69.043,447.35,0.014697,24.437,0.01266,1.1705
50.0,-11.995,-78.787,-31.702,-36.845,-68.547,449.88,0.014931,24.416,0.01075,1.1439
51.0,-11.347,-78.806,-31.536,-36.98,-68.51599999999999,452.43,0.015198,24.371,0.00818,1.1324
52.0,-11.105,-79.149,-31.563,-37.232,-68.795,454.87,0.015495,24.305,0.00503,1.1336
53.0,-11.032,-79.791,-31.641,-37.661,-69.30199999999999,457.06,0.015819,24.218,0.00143,1.1333
54.0,-10.826,-80.901,-31.847,-38.418,-70.265,458.83,0.016168,24.113,-0.00244,1.1389
55.0,-11.144,-81.706,-31.929,-39.091,-71.02,460.0,0.01654,23.992,-0.00639,1.1371
56.0,-10.573,-83.291,-32.177,-40.069,-72.24600000000001,460.41,0.016931,23.859,-0.01017,1.1585
57.0,-10.465,-85.823,-32.747,-41.648,-74.39500000000001,459.91,0.017339,23.715,-0.01353,1.1918
58.0,-11.012,-88.121,-33.695,-42.842,-76.537,458.39,0.017762,23.565,-0.0162,1.2416
59.0,-11.24,-89.903,-34.336,-43.667,-78.003,455.8,0.018198,23.411,-0.01795,1.282
60.0,-11.916,-92.309,-34.828,-45.325,-80.153,452.14,0.018646,23.258,-0.01857,1.31
61.0,-12.927,-93.8,-35.078,-46.451,-81.529,447.51,0.019103,23.108,-0.01793,1.3214
62.0,-12.454,-93.639,-35.016,-46.45,-81.46600000000001,442.09,0.019569,22.965,-0.01597,1.2979
63.0,-11.973,-93.946,-35.269,-46.467,-81.73599999999999,436.12,0.020043,22.831,-0.01274,1.2758
64.0,-12.535,-93.149,-35.314,-45.861,-81.175,429.91,0.020522,22.71,-0.00839,1.2508
65.0,-11.042,-92.028,-35.228,-44.886,-80.114,423.84,0.021008,22.603,-0.00318,1.2437
66.0,-10.383,-92.169,-35.353,-44.885,-80.238,418.27,0.021498,22.514,0.00256,1.2613
67.0,-12.027,-90.664,-35.134,-43.98,-79.114,413.57,0.021993,22.442,0.0084,1.2476
68.0,-12.146,-87.066,-34.336,-41.745,-76.08099999999999,410.07,0.022493,22.391,0.01389,1.1974
69.0,-10.889,-83.152,-33.12,-39.595,-72.715,408.05,0.022997,22.36,0.01857,1.153
70.0,-11.073,-78.564,-31.798,-37.012,-68.81,407.69,0.023505,22.35,0.02204,1.0989
71.0,-11.27,-72.84,-29.978,-33.922,-63.9,409.08,0.024017,22.36,0.02394,1.0331
72.0,-10.13,-66.63,-27.545,-30.955,-58.5,412.19,0.024534,22.39,0.02406,0.9726
73.0,-9.7584,-60.456,-24.87,-28.216,-53.086,416.9,0.025055,22.44,0.02229,0.9074
74.0,-10.262,-54.865,-22.722,-25.495,-48.217,422.94,0.025581,22.507,0.01871,0.8466
75.0,-9.587,-49.562,-21.096,-22.349,-43.445,429.97,0.026111,22.59,0.01351,0.811
76.0,-8.3648,-46.635,-20.229,-20.522,-40.751,437.53,0.026646,22.687,0.00705,0.8246
77.0,-9.6594,-44.496,-19.617,-19.272,-38.888999999999996,445.14,0.027186,22.797,-0.00023,0.8414
