body,rows,all_bound,a_min_au,a_max_au,eccentricity_min,eccentricity_max,inclination_min_rad,inclination_max_rad
Mercury,201,True,0.38709697060863757,0.38710067940570619,0.20248450129470741,0.20563029337449767,0.12226056374145156,0.13739019462270632
Venus,201,True,0.72332369828348009,0.72334634164820277,0.0067557862487038585,0.018491799005527828,0.040034989890378847,0.059347223251692713
Earth,201,True,0.99997488663553358,1.0000244462336241,0.016702362219234237,0.019720737527754616,1.8057477740052654e-06,0.046549027945530362
Mars,201,True,1.5235749835185497,1.5238114381583325,0.07658353361127164,0.093315101555940347,0.03228643490643917,0.047620647037955752
Jupiter,201,True,5.2013818087839825,5.2047638417346862,0.02693644317755875,0.048990306091830277,0.022770008259919112,0.034554699281597247
Saturn,201,True,9.5153457582508238,9.5914070803763973,0.051187856594971569,0.087707760574067331,0.013518581629629699,0.043375802931809128
Uranus,201,True,19.107195979165191,19.32568837073207,0.040530292970664378,0.057550062073237686,0.013483847029211252,0.019405620567795254
Neptune,201,True,29.920858751539928,30.297910572576622,0.0027824367500492424,0.014934843025280649,0.030166662584547463,0.030882115255298576
