limitation,population_origin,evolved_strain_id,ancestor_id,replicate,fitness_ancestor,fitness_evolved,change_in_fitness,source_file
Nitrogen,A-6,CBTn274,11389,2,0.651482194,1.196891563,0.545409369,Figure_2_N-limited_Fitness.csv
Nitrogen,REL 606,CBTn276,606,2,0.974106816,1.313491758,0.339384942,Figure_2_N-limited_Fitness.csv
Nitrogen,A-1,CBTn278,11330,2,0.620718196,1.445403275,0.824685079,Figure_2_N-limited_Fitness.csv
Nitrogen,A-2,CBTn280,11333,2,,,,Figure_2_N-limited_Fitness.csv
Nitrogen,A-4,CBTn282,11336,2,1.43475888,1.884042726,0.449283846,Figure_2_N-limited_Fitness.csv
Nitrogen,A-5,CBTn284,11339,2,1.266460792,1.567429351,0.300968559,Figure_2_N-limited_Fitness.csv
Nitrogen,A-6,CBTn286,11389,2,0.793853591,1.246354402,0.452500812,Figure_2_N-limited_Fitness.csv
Nitrogen,REL 606,CBTn312,606,3,0.955083553,1.671977133,0.716893581,Figure_2_N-limited_Fitness.csv
Nitrogen,A-1,CBTn266,11330,3,1.249681461,1.873997026,0.624315566,Figure_2_N-limited_Fitness.csv
Nitrogen,A-2,CBTn268,11333,3,,,,Figure_2_N-limited_Fitness.csv
Nitrogen,A-4,CBTn270,11336,3,1.460838114,1.69969108,0.238852966,Figure_2_N-limited_Fitness.csv
Nitrogen,A-5,CBTn272,11339,3,1.098662334,1.563924423,0.465262089,Figure_2_N-limited_Fitness.csv
Nitrogen,A-6,CBTn274,11389,3,0.759200442,1.16547862,0.406278178,Figure_2_N-limited_Fitness.csv
Nitrogen,REL 606,CBTn276,606,3,0.974920644,1.490907735,0.515987091,Figure_2_N-limited_Fitness.csv
Nitrogen,A-1,CBTn278,11330,3,0.994951225,1.525818017,0.530866792,Figure_2_N-limited_Fitness.csv
Nitrogen,A-2,CBTn280,11333,3,,,,Figure_2_N-limited_Fitness.csv
Nitrogen,A-4,CBTn282,11336,3,1.233950435,1.76440987,0.530459435,Figure_2_N-limited_Fitness.csv
Nitrogen,A-5,CBTn284,11339,3,0.873326163,1.594777804,0.72145164,Figure_2_N-limited_Fitness.csv
Nitrogen,A-6,CBTn286,11389,3,0.668049999,1.105599793,0.437549794,Figure_2_N-limited_Fitness.csv
