This study_H_core,This_study_C_core,Tagawa_H_core,Blanchard_C_core,Tagawa_H_core.1,Fischer_C_core,Unnamed: 6,This study_H2O_bulk,This study_C_bulk,Tagawa__H2O_bulk,Blanchard_C_bulk,Tagawa__H2O_bulk.1,Fischer_C_bulk,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Fischer_Tagawa,C/H_core,Unnamed: 22,Unnamed: 23,C/H_bulk_25,H_bulk_26,Unnamed: 26,Unnamed: 27,BSE_29,Unnamed: 29,Unnamed: 30,Unnamed: 31
0.683455712,0.753225575,0.553998786,3.230875677,0.572166183,0.008786258,,2.078092186,0.259075192,1.697418828,1.084958559,1.751422883,0.010928753,,,,,,,,,,,,,0.19598132,,1.0,1.52,2,3,4
0.445720006,1.151311955,0.397285209,4.060776466,0.41381523,0.007269894,,1.381891711,0.391770652,1.230554107,1.361592155,1.279712138,0.010423298,,,,,,,,,,,,,0.143197669,,,,2,3,4
0.349760203,1.291503245,0.319565475,4.55657034,0.334583489,0.001494827,,1.098747298,0.438501082,0.999019592,1.52685678,1.043689162,0.008498276,,,,,,,,,,,,,0.116787089,,,,2,3,4
