lineage_id,cycle,mic,lag_time,growth_rate,survival,persister_fraction,fitness
W_AMK12p5_N0p5_P07,5,,,,0.0922,,
W_AMK12p5_N0p5_P08,5,,,,0.005,,
W_AMK12p5_N0p5_P10,5,,,,0.00636,,
W_AMK12p5_N0p5_P12,5,,,,0.0636,,
W_AMK12p5_N0p5_P17,5,,,,0.00421,,
W_AMK12p5_N0p5_P19,5,,,,0.0684,,
W_AMK12p5_N0p5_P01,8,,,,0.824,,
W_AMK12p5_N0p5_P02,8,,,,1.12,,
W_AMK12p5_N0p5_P03,8,,,,0.267,,
W_AMK12p5_N0p5_P04,8,,,,0.144,,
W_AMK12p5_N0p5_P05,8,,,,1.1,,
W_AMK12p5_N0p5_P06,8,,,,0.000257,,
W_AMK12p5_N0p5_P07,8,,,,0.016,,
W_AMK12p5_N0p5_P08,8,,,,0.0133,,
W_AMK12p5_N0p5_P09,8,,,,1.17,,
W_AMK12p5_N0p5_P10,8,,,,1.38,,
W_AMK12p5_N0p5_P11,8,,,,0.7,,
W_AMK12p5_N0p5_P12,8,,,,0.222,,
W_AMK12p5_N0p5_P13,8,,,,0.3,,
W_AMK12p5_N0p5_P14,8,,,,0.0717,,
W_AMK12p5_N0p5_P15,8,,,,0.235,,
W_AMK12p5_N0p5_P16,8,,,,0.5,,
W_AMK12p5_N0p5_P17,8,,,,0.462,,
W_AMK12p5_N0p5_P18,8,,,,0.769,,
W_AMK12p5_N0p5_P19,8,,,,0.909,,
W_AMK12p5_N0p5_P01,11,,,,1.17,,
W_AMK12p5_N0p5_P02,11,,,,0.348,,
W_AMK12p5_N0p5_P03,11,,,,1.2,,
W_AMK12p5_N0p5_P04,11,,,,0.0867,,
W_AMK12p5_N0p5_P05,11,,,,0.03,,
W_AMK12p5_N0p5_P06,11,,,,0.0145,,
W_AMK12p5_N0p5_P07,11,,,,0.556,,
W_AMK12p5_N0p5_P08,11,,,,0.0829,,
W_AMK12p5_N0p5_P09,11,,,,0.632,,
W_AMK12p5_N0p5_P11,11,,,,0.025,,
W_AMK12p5_N0p5_P12,11,,,,0.0725,,
W_AMK12p5_N0p5_P13,11,,,,1.04,,
W_AMK12p5_N0p5_P14,11,,,,0.235,,
W_AMK12p5_N0p5_P15,11,,,,0.16,,
W_AMK12p5_N0p5_P16,11,,,,0.963,,
W_AMK12p5_N0p5_P17,11,,,,0.5,,
W_AMK12p5_N0p5_P18,11,,,,0.769,,
W_AMK12p5_N0p5_P19,11,,,,0.015,,
W_AMK12p5_N0p8_P01,1,,,,0.000323,,
W_AMK12p5_N0p8_P02,1,,,,0.000289,,
W_AMK12p5_N0p8_P03,1,,,,0.000211,,
W_AMK12p5_N0p8_P01,2,,,,0.000135,,
W_AMK12p5_N0p8_P02,2,,,,9.72e-05,,
W_AMK12p5_N0p8_P03,2,,,,8.06e-05,,
W_AMK12p5_N0p8_P04,2,,,,0.000603,,
W_AMK12p5_N0p8_P05,2,,,,2.94e-05,,
W_AMK12p5_N0p8_P06,2,,,,7.69e-05,,
W_AMK12p5_N0p8_P07,2,,,,7.69e-05,,
W_AMK12p5_N0p8_P08,2,,,,0.000107,,
W_AMK12p5_N0p8_P09,2,,,,6e-05,,
W_AMK12p5_N0p8_P10,2,,,,4.76e-05,,
W_AMK12p5_N0p8_P11,2,,,,5.77e-05,,
W_AMK12p5_N0p8_P12,2,,,,9e-05,,
W_AMK12p5_N0p8_P13,2,,,,8.06e-05,,
W_AMK12p5_N0p8_P14,2,,,,6.94e-05,,
W_AMK12p5_N0p8_P15,2,,,,7.35e-05,,
W_AMK12p5_N0p8_P16,2,,,,0.000231,,
W_AMK12p5_N0p8_P20,2,,,,0.000821,,
W_AMK12p5_N0p8_P21,2,,,,0.000115,,
W_AMK12p5_N0p8_P23,2,,,,0.000139,,
W_AMK12p5_N0p8_P24,2,,,,8e-05,,
W_AMK12p5_N0p8_P01,5,,,,0.000188,,
W_AMK12p5_N0p8_P02,5,,,,0.000219,,
W_AMK12p5_N0p8_P03,5,,,,0.000243,,
W_AMK12p5_N0p8_P04,5,,,,0.000472,,
W_AMK12p5_N0p8_P06,5,,,,0.625,,
W_AMK12p5_N0p8_P10,5,,,,0.479,,
W_AMK12p5_N0p8_P12,5,,,,0.00676,,
W_AMK12p5_N0p8_P13,5,,,,2.45,,
W_AMK12p5_N0p8_P14,5,,,,0.000256,,
W_AMK12p5_N0p8_P15,5,,,,0.00101,,
W_AMK12p5_N0p8_P17,5,,,,2.63,,
W_AMK12p5_N0p8_P18,5,,,,0.96,,
W_AMK12p5_N0p8_P20,5,,,,0.001,,
W_AMK12p5_N0p8_P21,5,,,,0.0231,,
W_AMK12p5_N0p8_P22,5,,,,2.63,,
W_AMK12p5_N0p8_P23,5,,,,2.1,,
W_AMK12p5_N0p8_P01,8,,,,0.00031,,
W_AMK12p5_N0p8_P02,8,,,,2.98,,
W_AMK12p5_N0p8_P03,8,,,,0.000257,,
W_AMK12p5_N0p8_P04,8,,,,0.875,,
W_AMK12p5_N0p8_P06,8,,,,1.97,,
W_AMK12p5_N0p8_P07,8,,,,2.05,,
W_AMK12p5_N0p8_P08,8,,,,3.84,,
W_AMK12p5_N0p8_P10,8,,,,0.4,,
W_AMK12p5_N0p8_P11,8,,,,1.96,,
W_AMK12p5_N0p8_P12,8,,,,0.0182,,
W_AMK12p5_N0p8_P13,8,,,,4.04,,
W_AMK12p5_N0p8_P14,8,,,,1.64,,
W_AMK12p5_N0p8_P15,8,,,,2.66,,
W_AMK12p5_N0p8_P16,8,,,,4.12,,
W_AMK12p5_N0p8_P17,8,,,,0.833,,
W_AMK12p5_N0p8_P18,8,,,,2.0,,
W_AMK12p5_N0p8_P19,8,,,,2.84,,
W_AMK12p5_N0p8_P20,8,,,,5.45,,
W_AMK12p5_N0p8_P21,8,,,,0.575,,
W_AMK12p5_N0p8_P22,8,,,,3.75,,
W_AMK12p5_N0p8_P23,8,,,,3.11,,
W_AMK12p5_N0p8_P24,8,,,,2.26,,
W_AMK12p5_N0p8_P01,11,,,,5.0,,
W_AMK12p5_N0p8_P02,11,,,,3.1,,
W_AMK12p5_N0p8_P03,11,,,,0.000435,,
W_AMK12p5_N0p8_P04,11,,,,2.5,,
W_AMK12p5_N0p8_P06,11,,,,2.24,,
W_AMK12p5_N0p8_P07,11,,,,3.11,,
W_AMK12p5_N0p8_P08,11,,,,3.11,,
W_AMK12p5_N0p8_P10,11,,,,0.272,,
W_AMK12p5_N0p8_P11,11,,,,3.27,,
W_AMK12p5_N0p8_P12,11,,,,0.0146,,
W_AMK12p5_N0p8_P13,11,,,,2.88,,
W_AMK12p5_N0p8_P14,11,,,,1.38,,
W_AMK12p5_N0p8_P15,11,,,,2.81,,
W_AMK12p5_N0p8_P16,11,,,,0.0185,,
W_AMK12p5_N0p8_P17,11,,,,3.33,,
W_AMK12p5_N0p8_P18,11,,,,2.14,,
W_AMK12p5_N0p8_P19,11,,,,3.98,,
W_AMK12p5_N0p8_P20,11,,,,2.1,,
W_AMK12p5_N0p8_P21,11,,,,0.47,,
W_AMK12p5_N0p8_P22,11,,,,2.22,,
W_AMK12p5_N0p8_P23,11,,,,3.25,,
W_AMK12p5_N0p8_P24,11,,,,2.87,,
W_AMK25p0_N0p25_P01,1,,,,0.0174,,
W_AMK25p0_N0p25_P02,1,,,,0.0104,,
W_AMK25p0_N0p25_P03,1,,,,0.00742,,
W_AMK25p0_N0p25_P04,1,,,,0.00567,,
W_AMK25p0_N0p25_P05,1,,,,0.00571,,
W_AMK25p0_N0p25_P06,1,,,,0.00483,,
W_AMK25p0_N0p25_P07,1,,,,0.00172,,
W_AMK25p0_N0p25_P08,1,,,,0.00943,,
W_AMK25p0_N0p25_P09,1,,,,0.00647,,
W_AMK25p0_N0p25_P10,1,,,,0.0103,,
W_AMK25p0_N0p25_P11,1,,,,0.0075,,
W_AMK25p0_N0p25_P12,1,,,,0.00289,,
W_AMK25p0_N0p25_P13,1,,,,0.000667,,
W_AMK25p0_N0p25_P14,1,,,,0.00182,,
W_AMK25p0_N0p25_P15,1,,,,0.00321,,
W_AMK25p0_N0p25_P16,1,,,,0.0213,,
W_AMK25p0_N0p25_P17,1,,,,0.0177,,
W_AMK25p0_N0p25_P18,1,,,,0.00355,,
W_AMK25p0_N0p25_P19,1,,,,0.0075,,
W_AMK25p0_N0p25_P20,1,,,,0.00222,,
W_AMK25p0_N0p25_P21,1,,,,0.00118,,
W_AMK25p0_N0p25_P22,1,,,,0.00136,,
W_AMK25p0_N0p25_P01,3,,,,0.0256,,
W_AMK25p0_N0p25_P02,3,,,,0.292,,
W_AMK25p0_N0p25_P03,3,,,,0.579,,
W_AMK25p0_N0p25_P04,3,,,,0.214,,
W_AMK25p0_N0p25_P05,3,,,,0.167,,
W_AMK25p0_N0p25_P06,3,,,,0.0938,,
W_AMK25p0_N0p25_P07,3,,,,0.16,,
