planet_name,host_name,discovery_method,discovery_year,orbital_period_days,radius_earth,mass_earth,density_g_cm3,equilibrium_temperature_k,stellar_teff_k,stellar_radius_solar,stellar_mass_solar,system_planet_count,parameter_reference,discovery_reference,archive_row_update
Kepler-128 c,Kepler-128,Transit,2013,22.8,1.521,3.38,5.237935,,6072.0,1.659,1.184,2,<a refstr=LELEU_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A.117L/abstract target=ref>Leleu et al. 2023</a>,<a refstr=XIE_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJS..210...25X/abstract target=ref>Xie 2014</a>,2024-06-10
Kepler-288 b,Kepler-288,Transit,2014,6.097326,1.67,,,,5918.0,1.091,,3,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2014-05-14
Kepler-58 c,Kepler-58,Transit,2012,15.5741568,2.86,53.0,,,5843.0,1.03,0.95,4,<a refstr=STEFFEN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.1077S/abstract target=ref> Steffen et al. 2013 </a>,<a refstr=STEFFEN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.1077S/abstract target=ref> Steffen et al. 2013 </a>,2021-09-22
Kepler-449 b,Kepler-449,Transit,2015,12.58242,2.056,,,,5649.18,,,2,<a refstr=VAN_EYLEN___ALBRECHT_2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...808..126V/abstract target=ref>Van Eylen & Albrecht 2015</a>,<a refstr=VAN_EYLEN___ALBRECHT_2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...808..126V/abstract target=ref>Van Eylen & Albrecht 2015</a>,2015-05-21
Kepler-825 c,Kepler-825,Transit,2016,8.1818246,1.84,,,,5976.0,1.08,1.03,2,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,2016-05-06
Kepler-289 b,Kepler-289,Transit,2014,34.5383,2.49,3.7,1.45,,5990.0,1.0,1.08,4,<a refstr=GREKLEK_MCKEON_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165...48G/abstract target=ref>Greklek-McKeon et al. 2023</a>,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2024-09-13
Kepler-1987 e,Kepler-1987,Transit,2023,8.74292005,1.92,,,643.0,4769.0,0.714,0.799,4,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,<a refstr=VALIZADEGAN_ET_AL_2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...28V/abstract target=ref>Valizadegan et al. 2023</a>,2017-05-08
Kepler-291 c,Kepler-291,Transit,2014,5.700786,1.88,,,,6002.0,1.016,,2,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2014-05-14
Kepler-292 e,Kepler-292,Transit,2014,11.97901,2.67,,,,5299.0,0.826,,5,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2014-05-14
Kepler-293 c,Kepler-293,Transit,2014,54.155743,3.83,,,,5804.0,0.957,,2,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,2014-05-14
