gene_family,host_code,gene_count
RlpA1-like,Phso,0
RlpA2/5-like,Phso,0
i-lys,Phso,2
c-lys,Phso,0
ch-lys,Phso,0
PGRP,Phso,0
LdcA,Beta,0
AmiD,Beta,0
RlpA,Beta,0
RlpA4-like,Beta,0
RlpA3-like,Beta,0
RlpA1-like,Beta,0
RlpA2/5-like,Beta,0
i-lys,Beta,3
c-lys,Beta,2
ch-lys,Beta,0
PGRP,Beta,1
LdcA,Dici,0
AmiD,Dici,1
RlpA,Dici,0
RlpA4-like,Dici,0
RlpA3-like,Dici,0
RlpA1-like,Dici,0
RlpA2/5-like,Dici,0
i-lys,Dici,3
c-lys,Dici,2
ch-lys,Dici,0
PGRP,Dici,1
LdcA,Pave,0
AmiD,Pave,0
RlpA,Pave,0
RlpA4-like,Pave,0
RlpA3-like,Pave,0
RlpA1-like,Pave,0
RlpA2/5-like,Pave,0
i-lys,Pave,3
c-lys,Pave,2
ch-lys,Pave,0
PGRP,Pave,1
