environment_id,species,abundance,uncertainty,environment_class,inventory_kind
UMIST_RATE22_CtoO_0.44_initial_conditions,e-,0.0,,astrochemical_model_initial_condition,conserved
UMIST_RATE22_CtoO_0.44_initial_conditions,H2,1.0,,astrochemical_model_initial_condition,conserved
UMIST_RATE22_CtoO_0.44_initial_conditions,H,0.0001,,astrochemical_model_initial_condition,parents
UMIST_RATE22_CtoO_0.44_initial_conditions,He,0.18,,astrochemical_model_initial_condition,parents
UMIST_RATE22_CtoO_0.44_initial_conditions,C,0.00028,,astrochemical_model_initial_condition,parents
UMIST_RATE22_CtoO_0.44_initial_conditions,N,0.00015,,astrochemical_model_initial_condition,parents
UMIST_RATE22_CtoO_0.44_initial_conditions,O,0.00064,,astrochemical_model_initial_condition,parents
UMIST_RATE22_CtoO_0.44_initial_conditions,F,4e-08,,astrochemical_model_initial_condition,parents
UMIST_RATE22_CtoO_0.44_initial_conditions,Na,4e-09,,astrochemical_model_initial_condition,parents
UMIST_RATE22_CtoO_0.44_initial_conditions,Mg,1.4e-08,,astrochemical_model_initial_condition,parents
UMIST_RATE22_CtoO_0.44_initial_conditions,Al,1e-09,,astrochemical_model_initial_condition,parents
UMIST_RATE22_CtoO_0.44_initial_conditions,Si,1.6e-08,,astrochemical_model_initial_condition,parents
UMIST_RATE22_CtoO_0.44_initial_conditions,P,6e-09,,astrochemical_model_initial_condition,parents
UMIST_RATE22_CtoO_0.44_initial_conditions,S,1.5e-06,,astrochemical_model_initial_condition,parents
UMIST_RATE22_CtoO_0.44_initial_conditions,Cl,8e-09,,astrochemical_model_initial_condition,parents
UMIST_RATE22_CtoO_0.44_initial_conditions,Ar,1e-08,,astrochemical_model_initial_condition,parents
UMIST_RATE22_CtoO_0.44_initial_conditions,Ca,1e-09,,astrochemical_model_initial_condition,parents
UMIST_RATE22_CtoO_0.44_initial_conditions,Ti,1e-09,,astrochemical_model_initial_condition,parents
UMIST_RATE22_CtoO_0.44_initial_conditions,Fe,6e-09,,astrochemical_model_initial_condition,parents
