body,position_absolute_error_au,velocity_absolute_error_au_per_year,position_relative_error,velocity_relative_error,combined_relative_state_error
Mercury,8.019833811922821e-06,0.00017738822072581111,1.7192549290222205e-05,2.1626928704527759e-05,2.7628025558976285e-05
Venus,1.9652790968652546e-07,2.0156852870574866e-06,2.7287473347906055e-07,2.7167404351421898e-07,3.8505506890655796e-07
Earth,2.2250710385338911e-06,1.422038923334e-05,2.2628378546938086e-06,2.225824148074853e-06,3.1740712491669786e-06
Mars,5.3707644709030114e-07,1.9726946711566295e-06,3.8605052078401536e-07,3.5520656365476826e-07,5.2460147489407459e-07
Jupiter,1.2107219840394974e-07,6.7290112882904023e-08,2.4383264538345073e-08,2.3324007691160363e-08,3.3742449886222309e-08
Saturn,9.794206754652278e-08,2.1857875960560905e-08,1.066460078185416e-08,1.0328700634362606e-08,1.4846405848911947e-08
Uranus,1.0139984876277544e-08,7.1944528083256773e-10,5.0893254441478107e-10,5.2058802306462706e-10,7.2802762620853878e-10
Neptune,8.8970575078197661e-08,3.4501896273034457e-09,2.9538135047780769e-09,3.0144910907402651e-09,4.2204467485281438e-09
