body,rows,all_bound,a_min_au,a_max_au,eccentricity_min,eccentricity_max,inclination_min_rad,inclination_max_rad
Mercury,2001,True,0.38709638179052419,0.38710122683587256,0.14928603239968322,0.23404637582191945,0.041444722834446689,0.18293886250682004
Venus,2001,True,0.72331892409908549,0.72335274919607362,0.0021340604954092814,0.073786231799499516,0.00089576573513905475,0.084440347047874467
Earth,2001,True,0.99997255387588502,1.0000316381671479,0.0010456406423988705,0.062237389430729838,1.8057477740052654e-06,0.069659563128852062
Mars,2001,True,1.5235569566111444,1.5238216099883086,0.0041856926107104245,0.12303842258068241,0.006324074999504577,0.13064811263508527
Jupiter,2001,True,5.2275829269270879,5.2311728936727144,0.024475271640107054,0.0612886099067022,0.019215309110945277,0.035988622828433611
Saturn,2001,True,9.5136367054303665,9.588855499761463,0.007297284257445147,0.087673715357656543,0.010016562548111854,0.045126251118474486
Uranus,2001,True,19.102662130079022,19.331690203916818,0.0057719475209762963,0.076766647286661244,0.0077740185473234892,0.047430859935347958
Neptune,2001,True,29.919470346247895,30.319518100595047,0.00056760832336045879,0.021405066527370394,0.015529254409079587,0.040920136806002927
