study,stratum,independent_unit,X,H_or_m,Theta,future_R,n_independent_units,effect,effect_unit,uncertainty_low,uncertainty_high,uncertainty_type,permutation_p,verdict
D'Onofrio,all,strain/lineage group,present limitation,ancestral limitation history,antibiotic assay,MIC,24.0,28.88576287953,RMSE gain percent X vs X+H,,,not reported in legacy artifact,0.004975124378109,positive_real_retrospective
Card 2019,Ara+5 tetracycline,held-out strain block,present parent MIC,temporal strain identity,tetracycline assay,daughter MIC,4.0,-139.39035366084877,RMSE gain percent X vs X+H,0.5177068716933617,1.791826333894151,95% group-bootstrap CI for history-minus-state RMSE,,negative_history_model_worse
Wong & Seguin 2015,ciprofloxacin,evolved population,progenitor MIC and target gene,founding resistance mutation,ciprofloxacin evolution,endpoint MIC,46.0,-5.6940804035254535,RMSE gain percent X vs X+m,-16.815866603912518,2.7804676784915023,95% population-bootstrap CI,0.5782843431313738,negative_no_incremental_information
Lamrabet 2019,15 antibiotics,LTEE lineage,MIC profile at generation 2000,lineage realized history,antibiotic-specific MIC assay,MIC profile at generation 50000,12.0,0.564521958476899,Spearman persistence,0.43840680660422326,0.6595292665168692,95% lineage-bootstrap CI,0.07649235076492351,divergence_real_persistence_not_significant_at_0.05
Petrungaro 2026,MEC,evolved plate-well population,initial IC50,initial gene-deletion background,MEC,endpoint IC50,809.0,3.7864208684879777,RMSE gain percent X vs X+m,-0.24852818359835566,7.630383808667216,95% population-bootstrap CI,0.002,not_robust_bootstrap_crosses_zero
Petrungaro 2026,NIT,evolved plate-well population,initial IC50,initial gene-deletion background,NIT,endpoint IC50,803.0,31.762332649091753,RMSE gain percent X vs X+m,27.533685652766394,36.050870776650775,95% population-bootstrap CI,0.002,positive_robust_real_retrospective
Petrungaro 2026,TMP,evolved plate-well population,initial IC50,initial gene-deletion background,TMP,endpoint IC50,809.0,0.9801181996860394,RMSE gain percent X vs X+m,-2.760815128783299,4.654966596938336,95% population-bootstrap CI,0.002,not_robust_bootstrap_crosses_zero
Nader AVT,2:1 decanoic acid:decanol,independent batch unavailable; particles are nested,physical formulation,not manipulated,aerosol-to-landing transformation,chromatography and particle size,,374.24,observed median particle size nm,204.98,1135.5912500000002,empirical 2.5%-97.5% particle-size interval,,physical_characterisation_not_history_test
