test_id,wp,technical_outcome,scientific_verdict,criterion_id,metric,threshold,message,duration_s
V5-002,V5,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",4.973000613972545e-06
V5-003,V5,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",4.685000021709129e-06
V5-004,V5,pass,undetermined,,80.0,,Évolution expérimentale de l'ARN catalytique analysée,4.852001438848674e-06
V5-005,V5,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",4.413999704411253e-06
V5-006,V5,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",4.110999725526199e-06
V5-007,V5,pass,undetermined,,80.0,,Évolution expérimentale de l'ARN catalytique analysée,3.7050012906547636e-06
V5-008,V5,pass,undetermined,,80.0,,Évolution expérimentale de l'ARN catalytique analysée,4.450001142686233e-06
V5-009,V5,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",4.469002305995673e-06
V5-010,V5,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",4.704997991211712e-06
V6-001,V6,pass,undetermined,,80.0,,Évolution expérimentale de l'ARN catalytique analysée,3.828001354122534e-06
V6-002,V6,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",4.068999260198325e-06
V6-003,V6,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",4.576002538669854e-06
V6-004,V6,pass,undetermined,,,,Lignées et mesures réelles de vésicules analysées,0.6511023459970602
V6-005,V6,pass,undetermined,,,,Lignées et mesures réelles de vésicules analysées,0.00011760000052163377
V6-006,V6,pass,undetermined,,,,Lignées et mesures réelles de vésicules analysées,7.5459975050762296e-06
V6-007,V6,pass,undetermined,,,,Lignées et mesures réelles de vésicules analysées,5.532998329726979e-06
V6-008,V6,pass,undetermined,,,,Lignées et mesures réelles de vésicules analysées,5.376998160500079e-06
V6-009,V6,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",1.2906002666568384e-05
V6-010,V6,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",7.195001671789214e-06
B1-001,B1,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",5.941001290921122e-06
B1-002,B1,pass,undetermined,,13.0,,Architecture cellulaire analysée,0.006091185998229776
B1-003,B1,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",7.534003088949248e-06
B1-004,B1,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",9.497998689766973e-06
B1-005,B1,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",4.377001459943131e-06
B1-006,B1,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",4.322002496337518e-06
B1-007,B1,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",3.0570008675567806e-06
B1-008,B1,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",2.8700014809146523e-06
B1-009,B1,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",2.592998498585075e-06
B1-010,B1,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",2.5950030249077827e-06
B2-001,B2,blocked,undetermined,,,,Jeu de données absent: plateforme/campagne_maximale_reelle/data/endosymbiosis_events.csv,0.00011843300308100879
B2-002,B2,blocked,undetermined,,,,Jeu de données absent: plateforme/campagne_maximale_reelle/data/endosymbiosis_events.csv,5.893998604733497e-06
B2-003,B2,blocked,undetermined,,,,Jeu de données absent: plateforme/campagne_maximale_reelle/data/endosymbiosis_events.csv,3.872999513987452e-06
B2-004,B2,blocked,undetermined,,,,Jeu de données absent: plateforme/campagne_maximale_reelle/data/endosymbiosis_events.csv,3.239001671317965e-06
B2-005,B2,blocked,undetermined,,,,Jeu de données absent: plateforme/campagne_maximale_reelle/data/endosymbiosis_events.csv,3.279001248301938e-06
B2-006,B2,blocked,undetermined,,,,Jeu de données absent: plateforme/campagne_maximale_reelle/data/endosymbiosis_events.csv,2.906999725382775e-06
B2-007,B2,blocked,undetermined,,,,Jeu de données absent: plateforme/campagne_maximale_reelle/data/endosymbiosis_events.csv,2.9860020731575787e-06
B2-008,B2,blocked,undetermined,,,,Jeu de données absent: plateforme/campagne_maximale_reelle/data/endosymbiosis_events.csv,2.9959992389194667e-06
B2-009,B2,blocked,undetermined,,,,Jeu de données absent: plateforme/campagne_maximale_reelle/data/endosymbiosis_events.csv,3.0890005291439593e-06
B2-010,B2,blocked,undetermined,,,,Jeu de données absent: plateforme/campagne_maximale_reelle/data/endosymbiosis_events.csv,3.7179997889325023e-06
B2-011,B2,blocked,undetermined,,,,Jeu de données absent: plateforme/campagne_maximale_reelle/data/endosymbiosis_events.csv,3.5900011425837874e-06
B2-012,B2,blocked,undetermined,,,,Jeu de données absent: plateforme/campagne_maximale_reelle/data/endosymbiosis_events.csv,3.178000042680651e-06
B3-001,B3,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",5.393001629272476e-06
B3-002,B3,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",3.1130002753343433e-06
B3-003,B3,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",2.7139976737089455e-06
B3-004,B3,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",2.793000021483749e-06
B3-005,B3,pass,undetermined,,0.05504660339941103,,Valeur prédictive exploratoire de l'histoire en biologie estimée,2.151813928001502
B3-006,B3,pass,undetermined,,0.05504660339941103,,Valeur prédictive exploratoire de l'histoire en biologie estimée,1.569300002302043e-05
B3-007,B3,pass,undetermined,,0.05504660339941103,,Valeur prédictive exploratoire de l'histoire en biologie estimée,6.084002961870283e-06
B3-008,B3,blocked,undetermined,,,,"Donnée réelle présente, mais le protocole demandé n'est pas couvert par ses mesures.",8.725000952836126e-06
B3-009,B3,not_run,not_applicable,,,,"Protocole enregistré. Exécution humaine, expérimentale ou externe requise. Aucun résultat n'est simulé ni inventé.",5.001998943043873e-06
