/* DATA DESCRIPTION:
Citation:	Lambert, Fabrice; Delmonte, Barbara; Petit, Jean Robert; Bigler, Matthias; Kaufmann, Patrik R; Hutterli, Manuel A; Stocker, Thomas F; Ruth, Urs; Steffensen, Jørgen Peder; Maggi, Valter (2008): Fine particle percentage measured with a laser particle counter of ice core EDC [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.695987, 
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	788 data points
*/
Age model [ka]	FPP
44.431	0.8832
45.517	1.2362
46.466	0.7937
47.522	1.1953
48.510	0.3361
49.526	0.7685
50.602	0.7757
51.671	1.6535
52.668	0.6023
53.714	1.3056
54.843	1.5324
55.813	1.5232
56.903	1.2801
57.904	0.6602
58.936	0.9276
60.020	1.6504
61.094	1.4433
62.144	1.1595
63.326	1.2344
64.340	1.1747
65.415	1.0344
66.541	0.6607
67.666	0.2068
68.751	0.7094
69.854	0.9282
70.873	0.1034
71.910	0.2149
73.066	0.5809
74.090	-0.1876
75.114	0.4378
76.202	0.5061
77.179	0.5065
78.252	0.5432
79.374	0.1307
80.440	0.1755
81.499	-0.0990
82.469	-0.6396
83.545	-2.0768
84.589	-2.0817
85.710	-1.7408
86.735	-0.8533
87.891	-0.2070
88.899	-1.8579
89.963	-1.3166
91.046	-0.9611
92.040	-1.4168
93.104	-1.1488
94.133	-1.3550
95.132	-1.0567
96.182	-0.3390
97.218	-0.1244
98.251	0.3150
99.318	-0.1563
100.374	-1.3328
101.410	-0.6788
102.479	0.4864
103.433	0.9307
104.572	0.4182
105.608	0.1095
106.601	-2.9099
107.653	-1.2040
108.776	-0.2634
109.756	-0.9666
110.811	-3.0453
111.865	-0.3879
112.907	-0.9530
114.004	-1.8378
115.010	-0.7293
116.085	-0.9288
117.197	-1.0453
118.224	-0.1629
119.227	-0.7640
120.279	-0.5276
121.370	0.4289
122.435	0.8115
123.486	0.8705
124.501	1.3116
125.506	1.2902
126.626	1.2025
127.622	0.4019
128.631	0.2438
129.696	-0.5836
130.738	-0.6602
131.742	-0.6557
132.871	1.4390
133.941	1.9341
135.036	1.8712
136.147	1.7655
137.347	1.9119
138.554	1.3565
139.627	1.3056
140.701	1.2071
141.787	0.7973
142.843	0.6840
143.903	1.5189
144.959	0.9843
146.043	1.1324
147.060	1.4479
148.123	1.4770
149.164	1.9423
150.167	1.9129
151.362	1.7911
152.389	1.7733
153.423	1.4152
154.527	0.8100
155.697	1.1786
156.915	1.4075
158.092	1.6979
159.105	1.4741
160.323	1.6997
161.443	1.0569
162.476	1.3266
163.506	0.8946
164.692	1.0374
165.887	1.2858
167.050	1.5042
168.117	1.5144
169.139	1.9195
170.226	1.7806
171.395	1.3530
172.415	1.7405
173.565	1.4605
174.761	1.4908
175.712	1.6340
176.958	1.1649
177.994	0.6888
179.060	1.4191
180.063	1.1613
181.086	1.3293
182.133	1.4093
183.195	0.8613
184.276	1.0576
185.353	1.2679
186.634	1.1992
187.733	0.7769
188.757	1.0171
189.911	1.2423
190.936	1.1567
192.127	1.3087
193.264	1.5452
194.515	0.6769
195.642	0.7553
196.686	1.0802
197.656	1.1845
198.715	1.0698
199.762	0.5818
200.795	0.1243
201.854	0.3654
203.089	0.7257
204.211	0.3656
205.264	0.4847
206.266	0.5861
207.441	0.0648
208.566	-0.7160
209.642	-1.0274
210.658	0.1470
211.701	0.5367
212.779	-0.3185
213.864	-0.6968
214.924	-0.4155
215.956	-0.6347
217.147	0.0871
218.292	0.4911
219.515	0.5134
220.589	-0.9124
221.809	-0.0010
223.119	0.6120
224.155	0.1245
225.165	-0.1354
226.342	-0.1106
227.526	0.2246
228.923	0.1672
229.872	0.3162
231.220	0.4076
232.182	0.4931
233.401	-0.7994
234.528	0.2534
235.814	0.0497
236.981	0.0308
238.122	0.5132
239.225	-0.0935
240.262	-0.1351
241.379	0.1944
242.425	-0.3380
243.495	-1.4118
244.609	-0.7083
245.552	-0.8323
246.688	0.2275
247.992	0.3283
249.235	0.2047
250.637	0.2529
251.719	0.6026
252.883	0.3766
254.035	0.2604
255.152	0.5548
256.298	-1.3323
257.375	-0.0235
258.448	-0.0698
259.532	0.6565
260.679	-0.8275
261.792	0.6143
262.939	0.1071
263.994	0.8095
265.077	0.3942
266.240	0.6185
267.500	0.1726
268.785	0.2444
270.107	0.1984
271.463	-0.6409
272.866	-0.5483
274.268	-0.0885
275.644	0.0688
276.971	-0.1731
278.310	0.2536
279.660	0.0135
280.831	-1.3434
282.033	-1.6644
