split_age_kyr,seed,training_rmse,forcing_gain,forcing_offset,tau_fast_kyr,tau_memory_gain_kyr,regolith_scale,tau_regolith_kyr,carbon_feedback_gain,tau_carbon_kyr,carbon_offset
1000,729,0.8783395507238959,-0.8136607410548207,-0.422604752045118,4.481592220814509,8.997587112587597,0.0067469182697801385,20.000000336739785,-19.999995562616256,10845.378132803495,-0.4774511599058051
1000,766,0.8783395512595741,-0.8136551385598161,2.9087655100965994,4.480477674904082,8.997285571798423,0.006745928714820908,20.000003379354023,-19.999997240494302,10846.241042821624,-0.31088502310071603
1000,803,0.8783395518754774,-0.813562793779958,-2.81813241533441,4.480135162838294,8.995330816766392,0.0067497619166193,20.00000041842057,-19.999992336391365,10845.136338046728,-0.5972255837007886
1000,840,0.8783395519302705,-0.8137655280919318,-0.4463146909787758,4.479818202649782,8.999919048638947,0.006745656798052699,20.000002198305033,-19.999996025666263,10845.606524776083,-0.4786381991026581
1100,729,0.8712902131817641,-1.1226180061332556,3.207583381493701,1.2942418404911793,15.205558875753894,0.0036840166876357964,20.00518799937328,-19.995003912977104,11066.735373167578,-0.3572194606198092
1100,766,0.8712533841987014,-1.0777268945299041,-2.3227172844928434,1.006919113969029,15.136849760449952,0.003941959735352336,20.003154480151792,-19.998913514554232,11072.82071523652,-0.633795812104674
1100,803,0.8712493472219348,-1.0812097137935985,0.2740050307436762,1.000438694260525,15.267062217879575,0.003972639204569125,20.00216618478634,-19.990944606193278,11047.86604541603,-0.5037847806751221
1100,840,0.8844637237718657,-2.1334002691681153,3.4631924883384344,42.51435021933509,0.029231558905608215,0.028152668571585257,20.387398833926884,-20.0,25.401973073467218,0.1491479933855271
1200,729,0.8545745523097377,-2.4452730827626246,-2.0378833339865006,27.055539461667426,16.334973293989787,0.04663390359593984,340.22044568370416,-20.0,24.776034060094844,-0.1263901155029988
1200,766,0.854595514498213,-2.442407378655199,0.06719600596842079,42.27240792143974,1.1398752354555506,0.06377977181107813,20.001260548287615,-20.0,24.763296020700825,-0.02140732324963151
1200,803,0.8715921499399055,-1.0342592275272626,2.600128118147696,1.000767224371068,13.27607466659694,0.0035925875371106324,20.00213102640991,-19.998848260725534,11654.849869433963,-0.45360515596249795
1200,840,0.8545955175639838,-2.4439739898709125,-1.3744333267267415,42.224233446453006,1.213962041006038,0.06559010014979304,19.999999999999996,-20.0,24.753816869101936,-0.09342478330551755
1300,729,0.8610378160015777,-2.4965556719174216,0.0836361220451269,41.75905720595896,3.1025021872176017,0.029109306160401062,20.046194034751444,-20.0,23.692399869012114,-0.02888285496944062
1300,766,0.8797450721366252,-1.0068846431525058,-3.978545030359461,1.0554705892784595,13.131634039461744,0.003972569008941866,20.001465987591658,-19.985412794500014,12184.713857356479,-0.8551849231382243
1300,803,0.8610381552017666,-2.4952335861553716,0.617953048695723,42.24126914185579,2.6038096022332287,0.029779942771174912,20.002177669482908,-20.0,23.69962883069715,-0.002181475638381075
1300,840,0.8797437209994351,-1.0071697067359247,1.7589694878316005,1.058928632615238,13.130845977099204,0.00398992779049935,20.004449217959756,-19.985126018668158,12122.39456769409,-0.5679738086302623
1400,729,0.8633453200323072,-2.633287184846431,3.4554526936595686,47.715288968757434,0.019046491351766573,0.016068397198295253,212.47709124868692,-19.999999681818846,22.222801954983833,0.14190389536209444
1400,766,0.8633404950406688,-2.6348061145128714,1.150588080892356,14.511621166766718,33.25480013847494,0.034510761033102424,326.39687597191596,-20.0,22.21541914078623,0.02676316974327894
1400,803,0.8633453159133007,-2.633384090564716,3.5803025777705795,47.694258560711944,0.03919601009846272,0.029729530880084374,285.2198553386094,-19.999999162601945,22.222871959476397,0.14816505011089448
1400,840,0.8861718176816166,-0.9478242908015425,2.346609614327169,1.0277700643657968,12.55862116069813,0.0038829049893701903,20.027709117127117,-19.92192639723257,12648.753534003567,-0.5925128580342992
