forcing,rmse_M0,rmse_M1,rmse_M2,rmse_M1P,gain_M2_vs_M1,gain_M2_vs_M1P,gain_M2_vs_M0,correlation_M2,power_ratio_M2,power_ratio_observed
juin65N_livre,2.094492827988389,2.1177903406960645,2.0418466969566307,1.5530137361135399,0.03585984990113478,-0.31476409350145795,0.025135503129089853,0.2595554040324886,0.004731604205721353,2.6036246418251188
juin45N,2.0931008989920894,2.123710081491059,1.7894997861383832,1.5491090049965062,0.1573709605023048,-0.15518002953085874,0.1450484842846812,0.006236256659214627,0.06538051729128089,2.6036246418251188
juin55N,2.095793979750044,2.11867525450821,1.7870272867998402,1.5550055781322214,0.15653553653523578,-0.1492095667890203,0.14732683457132023,0.05400428812909585,0.0440838414523306,2.6036246418251188
juin75N,2.09210153373547,2.112830026702135,2.0352029750335565,1.5467711294933237,0.03674079347960835,-0.3157751242100235,0.02719684383593013,0.28361129500847915,0.004491942617466827,2.6036246418251188
juin65S,2.013267502846283,2.0138351263554672,1.6646768962590592,1.467231497316782,0.17337974967608005,-0.13457003840454496,0.17314669118455417,0.424144908249746,0.0020729944964236486,2.6036246418251188
decembre65N,2.020264865184503,2.0188406816061732,1.6716842511448147,1.5056989040102895,0.17195830935265466,-0.11023807395518359,0.1725420364660225,0.4103579622111584,0.001886758191146208,2.6036246418251188
equinoxe_mars_65N,2.0793094642486434,2.079309786900703,1.774789874504763,1.5420544239931055,0.14645240180869812,-0.15092557492815062,0.1464522693614143,0.23300675162709922,247.1960082136498,2.6036246418251188
energie_estivale_65N,2.0918440294458622,2.112924592063222,2.040354910522909,1.5421577619324727,0.03434560883663651,-0.3230519995348251,0.024614224673621177,0.26508030608593036,0.005153140709030689,2.6036246418251188
obliquite_seule,2.0143479651847347,2.013252099323116,1.6712460513210723,1.4395467960410413,0.1698774078601637,-0.16095291651319488,0.17032901951088508,0.42194377842046904,0.0022009062195421235,2.6036246418251188
excentricite_seule,2.068639015282983,2.0705195483076992,1.727650545541754,1.5044796952362718,0.16559563663438148,-0.1483375621566192,0.16483710653334216,0.40201049021661983,1246.3763280410494,2.6036246418251188
precession_climatique,2.0716542161195943,2.0731945061197226,1.7621927372730954,1.5194381456779047,0.1500108976406227,-0.15976602422791264,0.14937892455148705,0.2543584653239491,1.0282393226572921,2.6036246418251188
