parameter,fixed_value,training_rmse,excess_over_best,relative_excess,prediction_rmse
forcing_gain,-6.0,0.9164901819678636,0.061945026102558365,0.07248888566904736,1.768333089766906
forcing_gain,-5.0,0.9128340271608277,0.058288871295522515,0.0682104051441257,1.7716976467564138
forcing_gain,-4.0,0.9080118147038982,0.05346665883859303,0.06256738859452446,1.774661228970865
forcing_gain,-3.0,0.8560671314522998,0.0015219755869946283,0.0017810358838831503,2.049033570496952
forcing_gain,-2.0,0.8836432083634925,0.02909805249818731,0.03405092439933483,1.7775951686941411
forcing_gain,-1.0,0.8717445061949782,0.017199350329673013,0.020126906356700478,1.7793363019656216
forcing_gain,0.0,0.9209352310455318,0.06639007518022655,0.07769054066312098,1.782764233990608
forcing_gain,1.0,0.9566835925824961,0.10213843671719092,0.1195237443172519,1.7650621704535205
forcing_gain,2.0,0.9644216259164583,0.10987647005115309,0.12857889287300808,1.856602072627346
forcing_gain,3.0,0.9694647481961504,0.11491959233084514,0.13448042100768628,1.911637931610116
forcing_gain,4.0,0.9635451378591907,0.1089999819938855,0.12755321500069008,1.891664353188087
forcing_gain,5.0,0.9649642658776811,0.11041911001237592,0.12921389730489602,1.9060007583466185
forcing_gain,6.0,0.9761361976943378,0.12159104182903258,0.14228743910660932,1.982911761601305
forcing_offset,-4.0,0.8752605420399291,0.020715386174623873,0.02424141782612722,1.7787740841907012
forcing_offset,-3.3333333333333335,0.8752606609016992,0.020715505036393966,0.024241556919736583,1.7787982598760521
forcing_offset,-2.666666666666667,0.8716983000568974,0.017153144191592196,0.020072835325153842,1.778022866214134
forcing_offset,-2.0,0.854549044832834,3.8889675287867576e-06,4.550921039215092e-06,2.0420297819836764
forcing_offset,-1.3333333333333335,0.8545985336818451,5.337781653991236e-05,6.246342416611376e-05,2.041573521563486
forcing_offset,-0.666666666666667,0.8715980216810297,0.017052865815724516,0.019955488248548935,1.7778536385284482
forcing_offset,0.0,0.854598312004562,5.315613925682694e-05,6.220401448885574e-05,2.041512625543878
