transition_id,dimension,definition_independante,indicateur_observable,unite_echelle,source,codeur_1,codeur_2,codeur_3,accord,decision
,n,,,,,,,,,
,G,,,,,,,,,
,I,,,,,,,,,
,E,,,,,,,,,
,Pi,,,,,,,,,
,H,,,,,,,,,

