step_myr,variable,median_delta_classic,median_delta_ablated,median_delta_M2
0.08,temperature_k,9.763287511788121e-09,3.961532435425852e-09,0.002516083779053213
0.08,ice_fraction,4.0034198178773295e-11,5.610734099548154e-12,3.521224787894628e-05
0.08,co2_ppm,2.1002397261327133e-06,8.621443612355506e-07,0.6854633568986799
0.08,productivity,1.4060668740434323e-09,5.684648585191354e-10,0.0003749769050697682
0.04,temperature_k,9.521530675016265e-09,3.864351505455943e-09,0.00251396587376318
0.04,ice_fraction,3.9042991062387955e-11,5.472622355284784e-12,3.520127322204081e-05
0.04,co2_ppm,2.0482339095906354e-06,8.409946303800098e-07,0.684918590893858
0.04,productivity,1.3712502799911874e-09,5.545197911960287e-10,0.0003746641181748278
0.02,temperature_k,9.806941481116382e-09,3.980173524098518e-09,0.0025204296876411014
0.02,ice_fraction,4.021283306343548e-11,5.637268429836695e-12,3.529192785567403e-05
0.02,co2_ppm,2.1096302020851e-06,8.662000254844315e-07,0.686630060623088
0.02,productivity,1.4123539560095821e-09,5.711391637408525e-10,0.0003756113554703455
0.01,temperature_k,1.1142669453789722e-08,4.476130577302229e-09,0.0025419050833783707
0.01,ice_fraction,4.569122857844832e-11,6.338374269887481e-12,3.541249904365218e-05
0.01,co2_ppm,2.3969666358425457e-06,9.741352755554544e-07,0.6922586848428693
0.01,productivity,1.5811526532516496e-09,6.328887136586303e-10,0.00037828243962056973
0.005,temperature_k,1.1928979581909971e-08,4.767802153082812e-09,0.0025536029295989415
0.005,ice_fraction,4.891398397433022e-11,6.751266212745577e-12,3.548494718602635e-05
0.005,co2_ppm,2.5661138352006674e-06,1.0376120940236433e-06,0.6953258158307847
0.005,productivity,1.680390965264067e-09,6.69223260141294e-10,0.0003797556771685806
0.0025,temperature_k,1.2244543601269697e-08,4.881736348494314e-09,0.002558029212943458
0.0025,ice_fraction,5.020750482032099e-11,6.912248551316225e-12,3.5503052019270065e-05
0.0025,co2_ppm,2.633996814438433e-06,1.0624067385833769e-06,0.6964843546895167
0.0025,productivity,1.7185790013307667e-09,6.827291787470102e-10,0.000380283342030302
