ensemble,variable,median_delta_classic,median_delta_ablated,median_delta_M2,effect_ratio_M2_to_ablated,ablation_reduction_fraction,materiality_threshold,materiality_pass,wilcoxon_p_raw,holm_adjusted_p,structural_pass,memory_ablation_pass,ensemble_size,seed
n20_seed8191,productivity,1.4123539560095821e-09,5.711391637408525e-10,0.00037528218755800147,655928.159338492,0.9999984781074543,0.01,False,9.5367431640625e-07,3.814697265625e-06,True,True,20,8191
n60_seed729,temperature_k,9.806941481116382e-09,3.980173524098518e-09,0.0026112491836456364,655899.3645565644,0.999998475758825,0.1,False,8.147778971559672e-12,3.259111588623869e-11,True,True,60,729
n60_seed729,ice_fraction,4.021283306343548e-11,5.637268429836695e-12,3.5766462046726843e-05,5388732.341447106,0.999999842386747,0.01,False,8.147778971559672e-12,3.259111588623869e-11,True,True,60,729
n60_seed729,co2_ppm,2.1096302020851e-06,8.662000254844315e-07,0.7105561803399212,820313.2522771322,0.9999987809549062,1.0,False,8.147778971559672e-12,3.259111588623869e-11,True,True,60,729
n60_seed729,productivity,1.4123539560095821e-09,5.711391637408525e-10,0.0003892080682188215,680268.1827862273,0.9999985325608322,0.01,False,8.147778971559672e-12,3.259111588623869e-11,True,True,60,729
n60_seed1301,temperature_k,9.806941481116382e-09,3.980173524098518e-09,0.0024556287526535936,616810.2793785249,0.9999983791631696,0.1,False,8.147778971559672e-12,3.259111588623869e-11,True,True,60,1301
n60_seed1301,ice_fraction,4.021283306343548e-11,5.637268429836695e-12,3.506260962382601e-05,5282686.845420942,0.9999998392227935,0.01,False,8.147778971559672e-12,3.259111588623869e-11,True,True,60,1301
n60_seed1301,co2_ppm,2.1096302020851e-06,8.662000254844315e-07,0.6696890025505411,773133.4676924573,0.9999987065637599,1.0,False,8.147778971559672e-12,3.259111588623869e-11,True,True,60,1301
n60_seed1301,productivity,1.4123539560095821e-09,5.711391637408525e-10,0.0003658953400493825,639521.5783814319,0.9999984390641223,0.01,False,8.147778971559672e-12,3.259111588623869e-11,True,True,60,1301
n60_seed2027,temperature_k,9.806941481116382e-09,3.980173524098518e-09,0.0029427601913079027,739169.0350835059,0.9999986474692923,0.1,False,8.147778971559672e-12,3.259111588623869e-11,True,True,60,2027
n60_seed2027,ice_fraction,4.021283306343548e-11,5.637268429836695e-12,3.718956081055769e-05,5603142.648770755,0.9999998484179886,0.01,False,8.147778971559672e-12,3.259111588623869e-11,True,True,60,2027
n60_seed2027,co2_ppm,2.1096302020851e-06,8.662000254844315e-07,0.7975845932795664,920784.6329141775,0.9999989139709659,1.0,False,8.147778971559672e-12,3.259111588623869e-11,True,True,60,2027
n60_seed2027,productivity,1.4123539560095821e-09,5.711391637408525e-10,0.00043886645854299133,767062.4340300774,0.9999986986037492,0.01,False,8.147778971559672e-12,3.259111588623869e-11,True,True,60,2027
n60_seed4099,temperature_k,9.806941481116382e-09,3.980173524098518e-09,0.0026935942669970014,676582.985316353,0.9999985223559565,0.1,False,8.147778971559672e-12,3.259111588623869e-11,True,True,60,4099
n60_seed4099,ice_fraction,4.021283306343548e-11,5.637268429836695e-12,3.612888836851402e-05,5443337.082180199,0.9999998439678417,0.01,False,8.147778971559672e-12,3.259111588623869e-11,True,True,60,4099
n60_seed4099,co2_ppm,2.1096302020851e-06,8.662000254844315e-07,0.7321841181767752,845281.9803212469,0.999998816964198,1.0,False,8.147778971559672e-12,3.259111588623869e-11,True,True,60,4099
n60_seed4099,productivity,1.4123539560095821e-09,5.711391637408525e-10,0.00040154254256333233,701826.7040800041,0.9999985776372284,0.01,False,8.147778971559672e-12,3.259111588623869e-11,True,True,60,4099
n60_seed8191,temperature_k,9.806941481116382e-09,3.980173524098518e-09,0.00261020797242395,655637.8308114554,0.9999984751508055,0.1,False,8.147778971559672e-12,3.259111588623869e-11,True,True,60,8191
n60_seed8191,ice_fraction,4.021283306343548e-11,5.637268429836695e-12,3.575701425512223e-05,5387308.895687079,0.9999998423451022,0.01,False,8.147778971559672e-12,3.259111588623869e-11,True,True,60,8191
n60_seed8191,co2_ppm,2.1096302020851e-06,8.662000254844315e-07,0.710278124275078,819992.2458863955,0.9999987804776806,1.0,False,8.147778971559672e-12,3.259111588623869e-11,True,True,60,8191
n60_seed8191,productivity,1.4123539560095821e-09,5.711391637408525e-10,0.00038905261133861946,679996.4711292493,0.9999985319744757,0.01,False,8.147778971559672e-12,3.259111588623869e-11,True,True,60,8191
n200_seed729,temperature_k,9.806941481116382e-09,3.980173524098518e-09,0.0025204296876411014,633087.122021846,0.9999984208353268,0.1,False,7.180732063806761e-35,2.8722928255227045e-34,True,True,200,729
n200_seed729,ice_fraction,4.021283306343548e-11,5.637268429836695e-12,3.529192785567403e-05,5317236.936964198,0.999999840267484,0.01,False,7.180732063806761e-35,2.8722928255227045e-34,True,True,200,729
n200_seed729,co2_ppm,2.1096302020851e-06,8.662000254844315e-07,0.686630060623088,792691.3504172813,0.9999987384764006,1.0,False,7.180732063806761e-35,2.8722928255227045e-34,True,True,200,729
n200_seed729,productivity,1.4123539560095821e-09,5.711391637408525e-10,0.0003756113554703455,656503.4877431967,0.9999984794411686,0.01,False,7.180732063806761e-35,2.8722928255227045e-34,True,True,200,729
n200_seed1301,temperature_k,9.806941481116382e-09,3.980173524098518e-09,0.0026282979729053135,660181.717274043,0.9999984856460092,0.1,False,7.180732063806761e-35,2.8722928255227045e-34,True,True,200,1301
n200_seed1301,ice_fraction,4.021283306343548e-11,5.637268429836695e-12,3.577887487632436e-05,5390602.512847997,0.9999998424414281,0.01,False,7.180732063806761e-35,2.8722928255227045e-34,True,True,200,1301
n200_seed1301,co2_ppm,2.1096302020851e-06,8.662000254844315e-07,0.7149511869581886,825387.1398493727,0.9999987884487203,1.0,False,7.180732063806761e-35,2.8722928255227045e-34,True,True,200,1301
n200_seed1301,productivity,1.4123539560095821e-09,5.711391637408525e-10,0.00039177079407579085,684747.3829867753,0.9999985421599252,0.01,False,7.180732063806761e-35,2.8722928255227045e-34,True,True,200,1301
n200_seed2027,temperature_k,9.806941481116382e-09,3.980173524098518e-09,0.0027688488178803095,695485.5903969363,0.9999985625168487,0.1,False,7.180732063806761e-35,2.8722928255227045e-34,True,True,200,2027
n200_seed2027,ice_fraction,4.021283306343548e-11,5.637268429836695e-12,3.651676356014599e-05,5501776.061367532,0.9999998456251902,0.01,False,7.180732063806761e-35,2.8722928255227045e-34,True,True,200,2027
n200_seed2027,co2_ppm,2.1096302020851e-06,8.662000254844315e-07,0.7519379125004946,868087.0726064608,0.9999988480431548,1.0,False,7.180732063806761e-35,2.8722928255227045e-34,True,True,200,2027
n200_seed2027,productivity,1.4123539560095821e-09,5.711391637408525e-10,0.00041281572800500044,721530.2764905344,0.9999986164791577,0.01,False,7.180732063806761e-35,2.8722928255227045e-34,True,True,200,2027
n200_seed4099,temperature_k,9.806941481116382e-09,3.980173524098518e-09,0.00268470712318436,674350.6928129375,0.9999985174645347,0.1,False,7.180732063806761e-35,2.8722928255227045e-34,True,True,200,4099
n200_seed4099,ice_fraction,4.021283306343548e-11,5.637268429836695e-12,3.605283641366919e-05,5431878.760786573,0.9999998436386983,0.01,False,7.180732063806761e-35,2.8722928255227045e-34,True,True,200,4099
n200_seed4099,co2_ppm,2.1096302020851e-06,8.662000254844315e-07,0.7298150193926745,842546.9353208374,0.9999988131238705,1.0,False,7.180732063806761e-35,2.8722928255227045e-34,True,True,200,4099
n200_seed4099,productivity,1.4123539560095821e-09,5.711391637408525e-10,0.0004002151452531799,699506.6438669025,0.9999985729196645,0.01,False,7.180732063806761e-35,2.8722928255227045e-34,True,True,200,4099
n200_seed8191,temperature_k,9.806941481116382e-09,3.980173524098518e-09,0.002753196681232195,691554.0519815997,0.9999985543446456,0.1,False,7.180732063806761e-35,2.8722928255227045e-34,True,True,200,8191
n200_seed8191,ice_fraction,4.021283306343548e-11,5.637268429836695e-12,3.6341009482854236e-05,5475296.180502433,0.9999998448785956,0.01,False,7.180732063806761e-35,2.8722928255227045e-34,True,True,200,8191
n200_seed8191,co2_ppm,2.1096302020851e-06,8.662000254844315e-07,0.7477827285821945,863290.052288947,0.9999988416421075,1.0,False,7.180732063806761e-35,2.8722928255227045e-34,True,True,200,8191
n200_seed8191,productivity,1.4123539560095821e-09,5.711391637408525e-10,0.0004104761163995496,717441.0412944091,0.9999986085934335,0.01,False,7.180732063806761e-35,2.8722928255227045e-34,True,True,200,8191
