ensemble,variable,median_delta_classic,median_delta_ablated,median_delta_M2,effect_ratio_M2_to_ablated,ablation_reduction_fraction,materiality_threshold,materiality_pass,wilcoxon_p_raw,holm_adjusted_p,structural_pass,memory_ablation_pass,ensemble_size,seed
n20_seed729,temperature_k,9.806941481116382e-09,3.980173524098518e-09,0.002093471286751303,525842.7634664179,0.9999980987685146,0.1,False,9.5367431640625e-07,3.814697265625e-06,True,True,20,729
n20_seed729,ice_fraction,4.021283306343548e-11,5.637268429836695e-12,3.351932593753659e-05,5050168.950054249,0.9999998318203522,0.01,False,9.5367431640625e-07,3.814697265625e-06,True,True,20,729
n20_seed729,co2_ppm,2.1096302020851e-06,8.662000254844315e-07,0.5745218099550868,663266.1392137925,0.9999984923113266,1.0,False,9.5367431640625e-07,3.814697265625e-06,True,True,20,729
n20_seed729,productivity,1.4123539560095821e-09,5.711391637408525e-10,0.0003116417996645582,544695.8020264362,0.9999981673216997,0.01,False,9.5367431640625e-07,3.814697265625e-06,True,True,20,729
n20_seed1301,temperature_k,9.806941481116382e-09,3.980173524098518e-09,0.0018097995558170599,454589.4686232909,0.9999978007655537,0.1,False,9.5367431640625e-07,3.814697265625e-06,True,True,20,1301
n20_seed1301,ice_fraction,4.021283306343548e-11,5.637268429836695e-12,3.237104663517121e-05,4877164.149283575,0.9999998258546134,0.01,False,9.5367431640625e-07,3.814697265625e-06,True,True,20,1301
n20_seed1301,co2_ppm,2.1096302020851e-06,8.662000254844315e-07,0.5001169534274368,577368.2306006753,0.9999982680050745,1.0,False,9.5367431640625e-07,3.814697265625e-06,True,True,20,1301
n20_seed1301,productivity,1.4123539560095821e-09,5.711391637408525e-10,0.0002691241914343223,470382.39905601135,0.9999978777858627,0.01,False,9.5367431640625e-07,3.814697265625e-06,True,True,20,1301
n20_seed2027,temperature_k,9.806941481116382e-09,3.980173524098518e-09,0.0027664446454414016,694881.705028877,0.9999985612676072,0.1,False,9.5367431640625e-07,3.814697265625e-06,True,True,20,2027
n20_seed2027,ice_fraction,4.021283306343548e-11,5.637268429836695e-12,3.6444022834980494e-05,5490816.624374069,0.9999998453170647,0.01,False,9.5367431640625e-07,3.814697265625e-06,True,True,20,2027
n20_seed2027,co2_ppm,2.1096302020851e-06,8.662000254844315e-07,0.7513116509829842,867364.0747121093,0.9999988470829324,1.0,False,9.5367431640625e-07,3.814697265625e-06,True,True,20,2027
n20_seed2027,productivity,1.4123539560095821e-09,5.711391637408525e-10,0.00041245489785635137,720899.607989728,0.9999986152688046,0.01,False,9.5367431640625e-07,3.814697265625e-06,True,True,20,2027
n20_seed4099,temperature_k,9.806941481116382e-09,3.980173524098518e-09,0.002720091235970168,683238.5527797597,0.9999985367499915,0.1,False,9.5367431640625e-07,3.814697265625e-06,True,True,20,4099
n20_seed4099,ice_fraction,4.021283306343548e-11,5.637268429836695e-12,3.625384372279994e-05,5462163.4044250855,0.9999998445056344,0.01,False,9.5367431640625e-07,3.814697265625e-06,True,True,20,4099
n20_seed4099,co2_ppm,2.1096302020851e-06,8.662000254844315e-07,0.7391485183434838,853322.1464741486,0.99999882811099,1.0,False,9.5367431640625e-07,3.814697265625e-06,True,True,20,4099
n20_seed4099,productivity,1.4123539560095821e-09,5.711391637408525e-10,0.0004055096980086492,708760.6035519057,0.9999985915523931,0.01,False,9.5367431640625e-07,3.814697265625e-06,True,True,20,4099
n20_seed8191,temperature_k,9.806941481116382e-09,3.980173524098518e-09,0.0025182870585434003,632548.9316905953,0.9999984194917293,0.1,False,9.5367431640625e-07,3.814697265625e-06,True,True,20,8191
n20_seed8191,ice_fraction,4.021283306343548e-11,5.637268429836695e-12,3.536150607247324e-05,5327719.896563425,0.9999998405817778,0.01,False,9.5367431640625e-07,3.814697265625e-06,True,True,20,8191
n20_seed8191,co2_ppm,2.1096302020851e-06,8.662000254844315e-07,0.6861417082655521,792127.5640176256,0.9999987375785278,1.0,False,9.5367431640625e-07,3.814697265625e-06,True,True,20,8191
