body,rows,all_bound,a_min_au,a_max_au,eccentricity_min,eccentricity_max,inclination_min_rad,inclination_max_rad
Mercury,2001,True,0.38709636528046087,0.38710206126055308,0.13856509077466908,0.24280669218458117,0.043351268080261178,0.18452924042589738
Venus,2001,True,0.72331964022645334,0.72335268067151837,0.0014012704607549976,0.070061725090916488,0.00077175027042329354,0.084479334261405442
Earth,2001,True,0.99996874804289237,1.0000298298539008,0.00062477847837688453,0.057713194446138601,1.8057477740052654e-06,0.069889444655695979
Mars,2001,True,1.5235592639088733,1.5238392436574888,0.0020438969190070123,0.11788947377377441,0.0032914030378205258,0.13876595023535904
Jupiter,2001,True,5.2013437460822471,5.204908962729867,0.025388015730071187,0.061671113682275375,0.01918401920703329,0.036020268392254903
Saturn,2001,True,9.5133896407161664,9.5919504838083718,0.0083006888247011586,0.088550911354076223,0.010038520795026063,0.045312672777400927
Uranus,2001,True,19.105791220201112,19.326302726685963,0.003308900134137498,0.073370623593729339,0.0085478909286041231,0.047244594276907026
Neptune,2001,True,29.914491152562981,30.314229282156532,0.00049512886082663248,0.022199226118012273,0.01549809184432014,0.040916955240884421
Pluto,2001,True,39.007448402426746,39.973732416451888,0.2331633040402325,0.27912215809330509,0.24535238875909751,0.2995375179848076
Ceres,2001,True,2.7649057263095425,2.7713489462467042,0.065877900182622684,0.16804389724789365,0.12734244775331979,0.20927561795240751
Pallas,2001,True,2.7664713747163403,2.7764366604728701,0.1104286109530631,0.45662601526914715,0.46168206958206137,0.68220017513719722
Vesta,2001,True,2.3604575894494118,2.3632559515305949,0.040299062377933799,0.15889801535722289,0.069235808839249624,0.15498791850427851
Iris,2001,True,2.3840958106959182,2.3894495194614409,0.1506138314146081,0.27418395296872028,0.065296961486105976,0.15847547060230008
Bamberga,2001,True,2.677891164766919,2.689352767340055,0.22312858593707086,0.3725045386693514,0.15340276984671891,0.27541899305924161
