%age(kyr)	%d18O(permille)	%d18O(sigma)
19.66852551	4.458929	0.137583
19.75950138	4.458247	0.136992
19.85047724	4.457636	0.136328
19.96027786	4.457244	0.135743
20.0668745	4.456931	0.135236
20.17347114	4.456622	0.13485
20.28006779	4.45628	0.134467
20.38666443	4.455834	0.133986
20.51550847	4.455162	0.13357
20.64530655	4.45418	0.13321
20.77510464	4.45287	0.132991
20.89446157	4.451207	0.132788
20.98792276	4.44918	0.132519
21.08138395	4.446607	0.132375
21.17484513	4.443315	0.132364
21.26830632	4.439389	0.132466
21.36861239	4.435341	0.1325
21.49841603	4.431042	0.132442
21.62821966	4.426102	0.132433
21.75802329	4.420969	0.132437
21.87959325	4.415106	0.132492
21.99346989	4.408521	0.132596
22.10734654	4.401584	0.132681
22.22122318	4.394275	0.132805
22.33859418	4.386794	0.13286
22.46299289	4.379125	0.132739
22.56242654	4.37127	0.132635
22.65832737	4.363382	0.132561
22.74905569	4.355393	0.132523
22.83463633	4.347222	0.132449
22.92021696	4.33943	0.132221
23.00579759	4.332238	0.131846
23.09109908	4.325364	0.131361
23.17533981	4.31905	0.130936
23.25958054	4.313019	0.130671
23.34382127	4.307654	0.130418
23.428062	4.302635	0.130127
23.51031792	4.297667	0.129733
23.59221584	4.292646	0.129347
23.67411376	4.28805	0.128925
23.75601168	4.283281	0.128572
23.8379096	4.278689	0.12822
23.91980752	4.274465	0.127775
24.00170544	4.270848	0.127289
24.08360337	4.267829	0.126783
24.16550129	4.265256	0.12638
24.2384833	4.262784	0.126002
24.31019613	4.260558	0.12556
24.38190896	4.258794	0.12527
24.45362179	4.25729	0.125116
24.5128399	4.256594	0.125123
24.57423398	4.256222	0.125092
24.64034356	4.255958	0.124976
24.70645315	4.255974	0.124908
24.77280418	4.25587	0.124897
24.84121269	4.255777	0.124969
24.9096212	4.255558	0.125009
24.97802971	4.255372	0.125024
25.04482103	4.255177	0.125143
25.11044246	4.25512	0.125263
25.17606389	4.25477	0.125547
25.24168531	4.254285	0.125777
25.3004042	4.253648	0.125844
25.35840491	4.252719	0.12597
25.41640563	4.251393	0.126164
25.47440634	4.249573	0.12646
25.55117589	4.247579	0.126731
25.63425226	4.245173	0.126909
25.71732862	4.242407	0.127149
25.77856413	4.239248	0.127372
25.83582513	4.236094	0.127608
25.89308614	4.2328	0.127891
25.95034714	4.229441	0.128092
26.03419733	4.225842	0.128268
26.13332686	4.222408	0.128469
26.22345803	4.219421	0.128721
26.3027772	4.216844	0.128792
26.38209637	4.214609	0.12882
26.46287169	4.212906	0.128859
26.54499423	4.211611	0.128882
26.62711678	4.210146	0.128867
26.70867239	4.208535	0.128785
26.79018389	4.206912	0.128714
26.8725192	4.205392	0.128736
26.9566315	4.203917	0.128771
27.0407438	4.202162	0.128977
27.12184081	4.200469	0.129267
27.20211899	4.198871	0.129487
27.28206073	4.197283	0.129722
27.35985179	4.195999	0.129857
27.43764286	4.195254	0.129947
27.51370493	4.194725	0.129916
27.58716644	4.194336	0.129818
27.66162114	4.194021	0.129806
27.74541831	4.193568	0.12993
27.82921548	4.193177	0.130145
27.91301265	4.192916	0.130346
28.02442258	4.192591	0.130426
28.15386032	4.192377	0.130428
28.25652827	4.191854	0.13047
28.34926461	4.191053	0.130588
28.44200095	4.190074	0.13069
28.5347373	4.189055	0.130851
28.62747364	4.187808	0.131127
28.72020998	4.186594	0.131473
28.81294633	4.18543	0.131851
28.90568267	4.183862	0.132164
29.00624749	4.182332	0.132406
29.10792367	4.180734	0.132627
29.20959985	4.179358	0.13293
29.31127603	4.178111	0.133363
29.41120042	4.177098	0.133751
29.51021676	4.176197	0.134019
29.6092331	4.175396	0.134333
29.71263085	4.174527	0.13467
29.81779646	4.173417	0.134946
29.92502567	4.172583	0.135192
30.03463486	4.17168	0.135363
30.14528048	4.170781	0.135577
30.25826098	4.169564	0.135831
30.37137352	4.168741	0.136128
30.48496866	4.167783	0.136408
30.59856381	4.166754	0.136664
30.71215895	4.165988	0.137091
30.82704692	4.165584	0.13753
30.96538326	4.16564	0.138007
31.09828832	4.165794	0.138506
31.22013554	4.165835	0.138913
31.341274	4.165606	0.139359
31.46133031	4.165394	0.139836
31.58060084	4.16436	0.140368
31.69878293	4.163007	0.140887
31.82636189	4.161475	0.141357
31.96738444	4.159715	0.141941
32.09499536	4.157499	0.142587
32.21761471	4.154827	0.143244
32.36195207	4.151877	0.143762
32.51679575	4.148897	0.144251
32.69004267	4.145576	0.14479
32.83380169	4.142189	0.145306
32.97610345	4.138902	0.145774
33.15476775	4.135796	0.146201
33.30443382	4.132716	0.146549
33.44438254	4.130135	0.146913
33.57150906	4.127697	0.147406
33.70178053	4.125148	0.148064
33.84507712	4.122525	0.148744
33.9970458	4.119989	0.1494
34.15613177	4.116951	0.150094
34.29411583	4.113471	0.150807
34.43441818	4.109487	0.151754
34.58543502	4.105511	0.152663
34.72447159	4.101335	0.153513
34.85929644	4.096714	0.15452
34.98161584	4.091635	0.155625
35.10631434	4.086116	0.156878
35.25188607	4.080097	0.158084
35.39381339	4.073368	0.159218
35.53201538	4.065692	0.160422
35.66026336	4.057551	0.161653
35.78603779	4.048873	0.162742
35.9444896	4.039564	0.163649
36.07999856	4.029898	0.164464
36.20375161	4.019516	0.165191
36.32823301	4.008428	0.165788
36.45274008	3.996577	0.16622
36.57337499	3.984441	0.166538
36.7001287	3.972131	0.16671
36.84237214	3.959349	0.166811
36.98461559	3.946244	0.166833
37.11975843	3.933185	0.166618
37.23898352	3.919917	0.166143
37.36128982	3.907024	0.165633
37.47869854	3.895069	0.16508
37.59170611	3.884239	0.164432
37.70546422	3.874512	0.163686
37.81934478	3.865544	0.162994
37.93545389	3.857541	0.16217
38.05521411	3.851308	0.161343
38.17052947	3.846367	0.160588
38.28496558	3.843425	0.159971
38.40464663	3.841453	0.159572
38.54856543	3.840285	0.159279
38.69812034	3.841161	0.159144
38.80258801	3.843456	0.159152
38.90924485	3.84691	0.159295
39.01933385	3.851348	0.159379
39.12942285	3.85646	0.159423
39.23951185	3.862265	0.159539
39.34960084	3.868595	0.159563
39.45845031	3.875637	0.159422
39.56646906	3.883214	0.15927
39.67434419	3.89082	0.159084
39.78159957	3.898332	0.158852
39.88885496	3.906081	0.158517
39.99611034	3.913589	0.158213
40.10336572	3.921367	0.157647
40.2106211	3.928792	0.15699
40.31787649	3.935695	0.156301
40.43677633	3.942368	0.155501
40.58570873	3.948357	0.154624
40.72270431	3.953819	0.153647
40.85683873	3.958949	0.152468
40.99097316	3.963087	0.151144
41.12261009	3.966701	0.14991
41.24103901	3.970193	0.148837
41.36019818	3.973562	0.147811
41.48076482	3.976993	0.14679
41.59930771	3.98082	0.145875
41.71623728	3.984744	0.145062
41.8383158	3.989142	0.14433
41.95848808	3.993436	0.143586
42.07599964	3.997627	0.142701
42.19240539	4.001678	0.141884
42.30493732	4.005018	0.14113
42.42926322	4.00763	0.140489
42.57345636	4.010093	0.139846
42.69156972	4.012866	0.139189
42.80759401	4.016108	0.138612
42.92223607	4.020104	0.13802
43.02839047	4.024954	0.137548
43.11909227	4.0303	0.137057
43.21082423	4.035365	0.136475
43.31378111	4.040157	0.13598
43.41673799	4.045105	0.135538
43.5212252	4.049925	0.135178
43.6257517	4.054568	0.134802
43.74255682	4.059148	0.134289
43.86165706	4.063382	0.133833
43.99012727	4.067094	0.133406
44.10427305	4.069972	0.133137
44.20450296	4.07239	0.132797
44.30286631	4.074627	0.132286
44.39812206	4.076075	0.131773
44.49245598	4.076729	0.131377
44.58276683	4.076863	0.131258
44.67307768	4.076145	0.131203
44.76068206	4.074654	0.131256
44.8478214	4.071987	0.131613
44.93658604	4.068053	0.13212
45.02745817	4.062548	0.132914
45.11665302	4.056479	0.133953
45.19316151	4.050483	0.134907
45.26966999	4.044758	0.135755
45.35011331	4.039214	0.13643
45.4374665	4.033235	0.137038
45.52481969	4.02711	0.137333
45.61351463	4.02078	0.137424
45.70228907	4.01421	0.137471
45.78965338	4.007311	0.137375
45.87595419	4.000575	0.137019
45.96307778	3.993802	0.136525
46.05617317	3.986622	0.13617
46.14926856	3.978904	0.136192
46.25001351	3.97093	0.136382
46.35209924	3.96288	0.136901
46.43639027	3.955005	0.13758
46.51567883	3.94771	0.138154
46.59695057	3.941181	0.138416
46.69348246	3.935484	0.1386
46.7910138	3.93067	0.13893
46.88644276	3.926564	0.139122
46.98144097	3.923195	0.13926
47.07157076	3.920988	0.139232
47.15849198	3.919585	0.139328
47.24622279	3.918676	0.139494
47.34578273	3.917889	0.139789
47.44534268	3.916738	0.140166
47.54224763	3.915752	0.140527
47.63867534	3.914936	0.14098
47.73683494	3.914849	0.141331
47.8363596	3.91508	0.1419
47.93453013	3.915358	0.142609
48.02995774	3.916035	0.143536
48.12538536	3.916942	0.144268
48.22081297	3.918521	0.144768
48.31624058	3.920638	0.145001
48.4116682	3.923264	0.145032
48.50709581	3.926216	0.144803
48.60252342	3.929523	0.144477
48.69795104	3.933037	0.144235
48.79337865	3.936864	0.14398
48.88533675	3.940653	0.143743
48.97662616	3.944348	0.143455
49.06775755	3.947825	0.143261
49.15883944	3.950713	0.14328
49.24863894	3.952973	0.143355
49.33680684	3.955212	0.143276
49.42486814	3.95676	0.143223
49.51049616	3.958067	0.143018
49.59612419	3.958989	0.142775
49.67684435	3.959489	0.142571
49.7657603	3.959673	0.142312
49.86225689	3.959086	0.142125
49.96230804	3.958182	0.141991
50.06309294	3.957023	0.141955
50.16315011	3.955406	0.141931
50.26032895	3.953349	0.14201
50.35750779	3.950876	0.142287
50.45707676	3.947857	0.142698
50.55926385	3.944498	0.143219
50.66145094	3.940921	0.14381
50.77273163	3.937334	0.144375
50.88518005	3.933924	0.144716
50.9943379	3.9303	0.145074
51.10059642	3.926628	0.145489
51.20768389	3.923468	0.145792
51.35779253	3.92044	0.145936
51.5129433	3.917631	0.14606
51.64657085	3.915275	0.146218
51.77920914	3.912775	0.146455
51.90551861	3.910386	0.146687
52.025953	3.908178	0.146907
52.14638739	3.906185	0.147194
52.26062833	3.904194	0.147419
52.37363766	3.901976	0.147687
52.48664699	3.89956	0.147967
52.6060919	3.897252	0.148147
52.72571342	3.895236	0.148338
52.84533495	3.893284	0.148619
52.96495648	3.891478	0.148936
53.08457801	3.889492	0.149252
53.18502645	3.887271	0.149551
53.29107866	3.884929	0.149927
53.39678123	3.882664	0.150382
53.50106097	3.880646	0.150824
53.6053407	3.87875	0.151239
53.70551344	3.876845	0.15155
53.80457027	3.874851	0.151845
53.90305742	3.872926	0.152154
53.99982002	3.870994	0.152529
54.09658261	3.869113	0.152875
54.19406098	3.867234	0.15317
54.2919246	3.865265	0.153473
54.39026786	3.863095	0.153828
54.49404464	3.860897	0.15432
54.59782141	3.858736	0.154901
54.68970033	3.856703	0.155474
54.77642336	3.854872	0.156109
54.86314639	3.852874	0.156722
54.96286476	3.851264	0.157315
55.06778054	3.849764	0.157908
55.17744534	3.848314	0.158401
55.29928265	3.847047	0.158889
55.41527523	3.845847	0.159416
55.50551744	3.844755	0.159962
55.59575966	3.843993	0.160336
55.69176221	3.843041	0.160686
55.79820313	3.841906	0.161012
55.90464405	3.841056	0.161362
55.98938626	3.840343	0.16179
56.07314904	3.839676	0.162248
56.15691181	3.839091	0.162679
56.2361856	3.838588	0.163116
56.31531249	3.838303	0.163586
56.39519198	3.838257	0.164093
56.48314976	3.838174	0.164581
56.57510007	3.838249	0.164989
56.66705037	3.838364	0.16536
56.77698446	3.838433	0.165792
56.88996439	3.838313	0.166294
56.9923838	3.838013	0.166726
57.08666883	3.837945	0.167167
57.18095385	3.838183	0.167762
57.25674395	3.83873	0.168456
57.32848775	3.839183	0.169126
57.40023155	3.839431	0.169723
57.47636907	3.839612	0.170311
57.56866	3.839767	0.170947
57.66095094	3.840082	0.171627
57.75489567	3.84042	0.172277
57.85121882	3.841027	0.172895
57.94799683	3.841828	0.173424
58.02601149	3.842756	0.173929
58.0960784	3.843578	0.174422
58.16614532	3.844283	0.175013
58.23621223	3.845117	0.175615
58.30996243	3.845931	0.176213
58.38397213	3.846876	0.176828
58.45798182	3.847788	0.177496
58.53045455	3.848846	0.178141
58.60002775	3.849827	0.178736
58.66960095	3.850451	0.179296
58.73917415	3.850834	0.179856
58.80874735	3.851144	0.18049
58.87832055	3.851617	0.181116
58.94789375	3.852232	0.181717
59.01746695	3.852956	0.182276
59.09904828	3.853636	0.182893
59.18545415	3.854258	0.18351
59.27186003	3.854829	0.184138
59.3483404	3.855485	0.184786
59.41924615	3.856143	0.185331
59.4901519	3.856685	0.185842
59.56105765	3.857248	0.186347
59.63317036	3.858163	0.186836
59.70883771	3.859022	0.18728
59.78450507	3.859908	0.187698
59.85935775	3.860874	0.188086
59.92893084	3.861839	0.188461
59.99850394	3.863057	0.188932
60.06807703	3.86461	0.189526
60.1390367	3.866489	0.190201
60.24139759	3.868756	0.190962
60.34375848	3.871382	0.19174
60.441008	3.87438	0.192477
60.52381774	3.877489	0.193214
60.60662748	3.880679	0.194014
60.68943722	3.884148	0.194769
60.75980687	3.887927	0.195425
60.82751998	3.891693	0.195986
60.8952331	3.89553	0.196419
60.96294621	3.899569	0.196804
61.03065933	3.904419	0.197132
61.09837244	3.909675	0.197428
61.16608555	3.915218	0.197737
61.23379867	3.92109	0.19793
61.30484247	3.927018	0.198106
61.38110646	3.933081	0.198333
61.45737045	3.939854	0.198529
61.53363444	3.946804	0.198778
61.62387473	3.953808	0.199021
61.71722777	3.960801	0.199071
61.81058082	3.967727	0.198853
61.90393386	3.974169	0.198456
61.99728691	3.979982	0.197997
62.09063995	3.985379	0.197418
62.18399299	3.990691	0.196834
62.27734604	3.995475	0.196309
62.37069908	3.999607	0.195697
62.46443321	4.003321	0.195026
62.55816802	4.006649	0.194354
62.65190282	4.009748	0.193759
62.74563762	4.012263	0.193283
62.83937243	4.014434	0.192868
62.94069958	4.016419	0.192362
63.04465458	4.018426	0.191802
63.14860958	4.02031	0.191191
63.25074835	4.021981	0.19055
63.34623756	4.023482	0.18995
63.44172676	4.024925	0.189472
63.53721597	4.026045	0.189021
63.63270518	4.027062	0.18852
63.72819438	4.02818	0.188002
63.82368359	4.029311	0.187559
63.93680554	4.030287	0.187174
64.05329656	4.03112	0.186756
64.16792741	4.031751	0.186341
64.27621541	4.031762	0.185953
64.38450341	4.031223	0.185553
64.49641741	4.030146	0.185172
64.61342132	4.028911	0.184789
64.72470248	4.027568	0.184369
64.81395727	4.025844	0.183983
64.89848121	4.023318	0.183604
64.98300515	4.020306	0.183252
65.07233954	4.017008	0.182901
65.16811018	4.013656	0.182552
65.26388082	4.010192	0.182336
65.36398102	4.006663	0.182141
65.46962464	4.002987	0.181994
65.57526826	3.999264	0.181818
65.67649948	3.995054	0.181562
65.77608782	3.990613	0.181271
65.87567616	3.986388	0.180954
65.97339949	3.982032	0.180684
66.07080417	3.977595	0.180404
66.16820886	3.973193	0.180142
66.26900693	3.968593	0.17997
66.37012011	3.964052	0.17983
66.47079362	3.959341	0.179668
66.56665864	3.954446	0.179427
66.66252366	3.949495	0.179174
66.76165971	3.944525	0.179013
66.87093297	3.939419	0.178932
66.98020622	3.934238	0.178823
67.07785473	3.929042	0.178658
67.15483852	3.923808	0.178432
67.23182231	3.918345	0.17814
67.3088061	3.912525	0.177885
67.38701503	3.906625	0.17763
67.4665818	3.900659	0.177294
67.54614857	3.894554	0.176844
67.62571534	3.8883	0.176455
