phase,temperature,pressure,gibbs_energy,composition,state,modele_thermodynamique,modele_pression,reference,temperature_max_source
acanthite,298.15,5000.0,-17325.89,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,298.15,10000.0,-225.235,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,298.15,20000.0,33976.073,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,298.15,30000.0,68177.382,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,298.15,50000.0,136579.998,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,400.0,1.0,-52417.752,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,400.0,1000.0,-49001.041,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,400.0,5000.0,-35320.518,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,400.0,10000.0,-18219.864,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,400.0,20000.0,15981.445,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,400.0,30000.0,50182.753,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,400.0,50000.0,118585.37,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,500.0,1.0,-72394.28,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,500.0,1000.0,-68977.57,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,500.0,5000.0,-55297.046,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,500.0,10000.0,-38196.392,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,500.0,20000.0,-3995.084,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,500.0,30000.0,30206.225,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,500.0,50000.0,98608.842,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,600.0,1.0,-94190.544,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,600.0,1000.0,-90773.833,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,600.0,5000.0,-77093.309,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,600.0,10000.0,-59992.655,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,600.0,20000.0,-25791.347,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,600.0,30000.0,8409.962,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,600.0,50000.0,76812.578,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,700.0,1.0,-117500.099,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,700.0,1000.0,-114083.388,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,700.0,5000.0,-100402.865,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,700.0,10000.0,-83302.211,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,700.0,20000.0,-49100.902,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,700.0,30000.0,-14899.594,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,700.0,50000.0,53503.023,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,800.0,1.0,-142105.145,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,800.0,1000.0,-138688.434,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,800.0,5000.0,-125007.911,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,800.0,10000.0,-107907.256,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,800.0,20000.0,-73705.948,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,800.0,30000.0,-39504.64,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,800.0,50000.0,28897.977,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
acanthite,900.0,1.0,-167842.831,Ag2S,cr3,CGL Maier-Kelley,volume constant (cgl.R),HDNB78,1000.0
