Strain	MIC (ng/mL)	Fold-MIC	Progenitor
WT	25	1	NA
1	100	4	NA
2	50	2	NA
3	200	8	NA
5	100	4	NA
6	50	2	NA
8	50	2	NA
A2	200	8	1
A4	200	8	2
A6	100	4	3
A8	100	4	5
A10	800	32	6
A12	400	16	8
B1	800	32	2
B3	100	4	3
B5	100	4	5
B7	200	8	6
B9	50	2	8
B11	200	8	1
C2	100	4	5
C4	100	4	6
C6	400	16	8
C8	100	4	1
C12	200	8	3
D3	100	4	8
D5	200	8	1
D7	100	4	2
D9	100	4	3
D11	100	4	5
E2	200	8	1
E4	100	4	2
E6	100	4	3
E8	100	4	5
E10	100	4	6
E12	100	4	8
F1	800	32	2
F3	100	4	3
F5	100	4	5
F7	50	2	6
F9	100	4	8
F11	100	4	1
G2	400	16	6
G4	100	4	5
G6	50	2	8
G8	200	8	1
G10	100	4	2
G12	100	4	3
H1	100	4	6
H3	50	2	8
H5	100	4	1
H7	100	4	2
H9	100	4	3
H11	100	4	5
