body,rows,all_bound,a_min_au,a_max_au,eccentricity_min,eccentricity_max,inclination_min_rad,inclination_max_rad
Mercury,20001,True,0.38709527490080792,0.38710239717628198,0.12009941807480068,0.31040970415823071,0.0041138306468108841,0.22070114879089914
Venus,20001,True,0.72331685323063721,0.72335467687650601,0.00040940411750406294,0.075100057344390347,0.0001694586384024989,0.084479655869735923
Earth,20001,True,0.99996851482374338,1.0000323231712418,0.00037766501088285008,0.065663299731266195,1.8057477740052654e-06,0.074006623473760233
Mars,20001,True,1.5235572346007284,1.5238443482967199,0.0015113570955857681,0.12255223770279884,0.00011616548462852707,0.14400997403235496
Jupiter,20001,True,5.2012529611746636,5.2049757669252958,0.025306698056124902,0.061789267013533856,0.019140046078437969,0.036020059294671183
Saturn,20001,True,9.513155513743957,9.5920505044618878,0.0077365226963879161,0.088773064011309466,0.0098921173432845073,0.045312388422560551
Uranus,20001,True,19.099891949059199,19.333009032717605,0.00031400439756822075,0.076456836112861373,0.0075257838197797973,0.047343871005926172
Neptune,20001,True,29.911248694401412,30.320033957171137,0.00012140594813196262,0.022406882408144851,0.013741094552478432,0.04126078587617163
