body,rows,all_bound,a_min_au,a_max_au,eccentricity_min,eccentricity_max,inclination_min_rad,inclination_max_rad
Mercury,10001,True,0.38709527472134098,0.38710223659099885,0.12025193056185718,0.30179318933490384,0.0052492232491584715,0.20953916698703717
Venus,10001,True,0.72331790962598153,0.72335298071574883,0.00040935702910114332,0.0700645645146553,0.00016945997492099745,0.084479655866374168
Earth,10001,True,0.99996851426564937,1.0000304830304436,0.00044408833038319816,0.06251396865321221,1.8057477740052654e-06,0.074006623222482457
Mars,10001,True,1.5235572353635272,1.5238439704665612,0.0020443081833552259,0.12255226975422871,0.00011616667258910838,0.14400997421767692
Jupiter,10001,True,5.2012529383825026,5.204974545287179,0.025306695319112619,0.06178162073387039,0.019140046430771721,0.03602005929948051
Saturn,10001,True,9.5131555492258695,9.592045134363099,0.0077365421296660226,0.08877307142627823,0.0098921179616877474,0.045312388407964893
Uranus,10001,True,19.103623465306967,19.331535962456201,0.0015822577655489624,0.075305624116971601,0.0077008741245263345,0.047254979662417061
Neptune,10001,True,29.913840980204167,30.320033925343349,0.00020128408800773896,0.022406886178579864,0.013741094496662921,0.041260786031574022
