PGD ID,Type,Grain Label,Reference,Data Published,Source,Technique,Size a (µm),Size b (µm),Density min (g/cm^3),Density max (g/cm^3),12C/13C,err[12C/13C],14N/15N,err[14N/15N],26Al/27Al,err[26Al/27Al],d(29Si/28Si),err[d(29Si/28Si)],d(30Si/28Si),err[d(30Si/28Si)],44Ti/48Ti,err[44Ti/48Ti]
Gra-1995-HOP-000001,LD,KE1-101,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3,,1.6,2.05,88.4,1.2,214,9,,,,,,,,
Gra-1995-HOP-000002,LD,KE1-102,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3.8,,1.6,2.05,92.5,1.2,264,6,,,,,,,,
Gra-1995-HOP-000003,LD,KE1-112,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3.6,,1.6,2.05,87.7,0.9,220,5,,,,,,,,
Gra-1995-HOP-000004,LD,KE1-121,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3.3,,1.6,2.05,89.3,0.8,267,7,,,,,,,,
Gra-1995-HOP-000005,LD,KE1-133,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,4.1,,1.6,2.05,121.5,0.9,263,10,,,,,,,,
Gra-1995-HOP-000006,LD,KE1-141,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,5.1,,1.6,2.05,89.7,0.6,299,5,,,,,,,,
Gra-1995-HOP-000007,LD,KE1-142,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,12.9,,1.6,2.05,90.6,0.6,221,4,,,,,,,,
Gra-1995-HOP-000008,LD,KE1-143,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,1.6,2.05,721.7,22.4,134,6,,,,,,,,
Gra-1995-HOP-000009,LD,KE1-151,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,1.4,,1.6,2.05,14,0.1,240,28,,,,,,,,
Gra-1995-HOP-000010,LD,KE1-314,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,,,1.6,2.05,86.4,0.8,163,1,,,,,,,,
Gra-1995-HOP-000011,LD,KE1-352,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,4.1,,1.6,2.05,88.3,0.7,285,5,,,,,,,,
Gra-1995-HOP-000012,LD,KE1-551,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,5.9,,1.6,2.05,89,0.6,208,4,,,,,,,,
Gra-1995-HOP-000013,LD,KE1-552,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,4.2,,1.6,2.05,90.7,0.8,223,4,,,,,,,,
Gra-1995-HOP-000014,LD,KE1a-071,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,4,,1.6,2.05,4.923,0.034,500,50,,,,,,,,
Gra-1995-HOP-000015,LD,KE1a-073,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3,,1.6,2.05,94.3,5,274,3,,,,,,,,
Gra-1995-HOP-000016,LD,KE1a-074,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,4,,1.6,2.05,90.7,1.1,288,3,,,,,,,,
Gra-1995-HOP-000017,LD,KE1a-075,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3,,1.6,2.05,113,1.9,184,3,0.1,0.0071,-125,467,-887,155,,
Gra-1995-HOP-000018,LD,KE1a-076,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,4,,1.6,2.05,89.5,0.7,300,9,,,,,,,,
Gra-1995-HOP-000019,LD,KE1a-176,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2.5,,1.6,2.05,89.2,0.8,292,5,,,,,,,,
Gra-1995-HOP-000020,LD,KE1a-178,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,6.5,,1.6,2.05,89.5,1,217,3,,,,,,,,
Gra-1995-HOP-000021,LD,KE1a-272,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,4.5,,1.6,2.05,88.4,1.1,198,2,,,,,,,,
Gra-1995-HOP-000022,LD,KE1a-274,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3.5,,1.6,2.05,90.7,0.7,228,2,,,,,,,,
Gra-1995-HOP-000023,LD,KE1a-411,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,5,,1.6,2.05,88.3,0.9,297,3,,,,,,,,
Gra-1995-HOP-000024,LD,KE1a-413,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,5.5,,1.6,2.05,90.2,0.8,277,2,,,,,,,,
Gra-1995-HOP-000025,LD,KE1a-472,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,,,1.6,2.05,88.7,0.7,388,5,,,,,,,,
Gra-1995-HOP-000026,LD,KE1a-473,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,7,,1.6,2.05,89.2,0.7,215,3,,,,,,,,
Gra-1995-HOP-000027,LD,KE1a-572,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,5,,1.6,2.05,86.6,0.6,295,4,,,,,,,,
Gra-1995-HOP-000028,LD,KE1a-671,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,5.5,,1.6,2.05,89.1,0.7,274,3,,,,,,,,
Gra-1995-HOP-000029,LD,KE1a-672,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,18,,1.6,2.05,86.9,0.9,284,4,,,,,,,,
Gra-1995-HOP-000030,LD,KE1a-711,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,11,,1.6,2.05,92.8,1,242,9,,,,,,,,
Gra-1995-HOP-000031,LD,KE1a-712,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,9,,1.6,2.05,86.7,1,292,2,,,,,,,,
Gra-1995-HOP-000032,LD,KE1a-713,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3.5,,1.6,2.05,87.9,1,292,5,,,,,,,,
Gra-1995-HOP-000033,LD,KE1a-714,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,5,,1.6,2.05,90.4,0.6,266,2,,,,,,,,
Gra-1995-HOP-000034,LD,KE1a-715,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,4,,1.6,2.05,87,0.8,165,2,,,,,,,,
Gra-1995-HOP-000035,LD,KE1a-721,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,6,,1.6,2.05,87,1.3,269,2,,,,,,,,
Gra-1995-HOP-000036,LD,KE1a-722,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,4,,1.6,2.05,89.6,0.8,207,6,,,,,,,,
Gra-1995-HOP-000037,LD,KE1a-741,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,5,,1.6,2.05,93.1,2.5,269,4,,,,,,,,
Gra-1995-HOP-000038,LD,KE1a-742,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,9,,1.6,2.05,87.4,0.7,245,2,,,,,,,,
Gra-1995-HOP-000039,LD,KE1a-743,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,5,,1.6,2.05,87.9,0.6,196,3,,,,,,,,
Gra-1995-HOP-000040,LD,KE1a-744,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,1.6,2.05,12.5,0.2,218,6,,,,,,,,
Gra-1995-HOP-000041,LD,KE1a-751,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,,,1.6,2.05,89.9,0.7,247,4,,,,,,,,
Gra-1995-HOP-000042,LD,KE1a-761,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,6,,1.6,2.05,84.4,1,293,7,,,,,,,,
Gra-1995-HOP-000043,LD,KE1a-762,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,5,,1.6,2.05,88.5,0.7,213,3,,,,,,,,
Gra-1995-HOP-000044,LD,KE1a-763,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,5.5,,1.6,2.05,88.5,0.8,233,3,,,,,,,,
Gra-1995-HOP-000045,LD,KE1a-771,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,5,,1.6,2.05,89,1.8,305,4,,,,,,,,
Gra-1995-HOP-000046,LD,KE1a-772,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,18,,1.6,2.05,87.7,0.6,190,2,,,,,,,,
Gra-1995-HOP-000047,LD,KE1a-841,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,10,,1.6,2.05,88.4,0.6,248,5,,,,,,,,
Gra-1995-HOP-000048,LD,KE1a-842,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,12,,1.6,2.05,88.7,0.6,188,3,,,,,,,,
Gra-1995-HOP-000049,LD,KE1a-843,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,9,,1.6,2.05,88,0.6,210,2,,,,,,,,
Gra-1995-HOP-000050,LD,KE1a-881,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,6,,1.6,2.05,47.5,0.5,168,7,,,,,,,,
Gra-1995-HOP-000051,LD,KE1a-882,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,4,,1.6,2.05,89.2,0.6,262,7,,,,,,,,
Gra-1995-HOP-000052,LD,KE1a-LL1,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,4,,1.6,2.05,89.9,1.6,304,3,,,,,,,,
Gra-1995-HOP-000053,LD,KE1a-LL21,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,7.5,,1.6,2.05,89.5,0.7,297,3,,,,,,,,
Gra-1995-HOP-000054,LD,KE1a-LL22,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,8,,1.6,2.05,88.1,0.9,297,5,,,,,,,,
Gra-1995-HOP-000055,LD,KE1a-LL31,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,10,,1.6,2.05,89.6,0.8,288,5,,,,,,,,
Gra-1995-HOP-000056,LD,KE1a-LL32,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,9.5,,1.6,2.05,92.5,0.6,272,5,,,,,,,,
Gra-1995-HOP-000057,LD,KE1a-LL33,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,14,,1.6,2.05,89.1,0.7,210,3,,,,,,,,
Gra-1995-HOP-000058,LD,KE1a-LL34,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,8.5,,1.6,2.05,86,0.6,267,3,,,,,,,,
Gra-1995-HOP-000059,LD,KE1a-LL41,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,5,,1.6,2.05,74.2,0.7,244,5,,,,,,,,
Gra-1995-HOP-000060,LD,KE1a-LL42,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,28,,1.6,2.05,87.3,0.8,206,2,,,,,,,,
Gra-1995-HOP-000061,LD,KE1a-LL43,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,9.5,,1.6,2.05,88.1,0.7,271,3,,,,,,,,
Gra-1995-HOP-000062,LD,KE1a-LL51,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,6.5,,1.6,2.05,88.3,0.8,239,4,,,,,,,,
Gra-1995-HOP-000063,LD,KE1a-LL52,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,6,,1.6,2.05,88,0.7,297,3,,,,,,,,
Gra-1995-HOP-000064,LD,KE1a-LL53,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,4,,1.6,2.05,59.8,0.4,284,7,,,,,,,,
Gra-1995-HOP-000065,LD,KE1a-LL54,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3,,1.6,2.05,10.2,0.4,233,6,,,,,,,,
Gra-1995-HOP-000066,LD,KE1a-LL61,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3.5,,1.6,2.05,88.7,1.4,304,9,,,,,,,,
Gra-1995-HOP-000067,LD,KE1a-LL81,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,8,,1.6,2.05,86.4,0.6,197,3,,,,,,,,
Gra-1995-HOP-000068,LD,KE1a-LL83,Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,4.5,,1.6,2.05,11.9,0.2,214,3,,,,,,,,
Gra-1995-HOP-000069,MD,KFA1a-111 (KFA1a2-111),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3,,2.05,2.1,90.94,1.01,265.696336560313,13.930837729611,,,,,,,,
Gra-1995-HOP-000070,MD,KFA1a-121 (KFA1a2-121),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3,,2.05,2.1,89.94,1.38,289.591527385932,21.7783810118168,,,,,,,,
Gra-1995-HOP-000071,MD,KFA1a-122 (KFA1a2-122),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2.5,,2.05,2.1,9.36,0.09,287.159139230142,28.5954673571539,,,,,,,,
Gra-1995-HOP-000072,MD,KFA1a-123 (KFA1a2-123),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,108.3,1.48,252.935256744082,11.0376102736912,0.0154,0.0021,183.74,81.44,-71.79,70.52,,
Gra-1995-HOP-000073,MD,KFA1a-124 (KFA1a2-124),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2.5,,2.05,2.1,15.54,0.46,278.210704546352,5.61307282196847,,,51.9,37.35,18.87,38.69,,
Gra-1995-HOP-000074,MD,KFA1a-131 (KFA1a2-131),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,63.47,0.57,265.802602654028,10.330083980155,,,,,,,,
Gra-1995-HOP-000075,MD,KFA1a-132 (KFA1a2-132),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,37.84,0.45,248.910252247392,13.8906241125736,,,,,,,,
Gra-1995-HOP-000076,MD,KFA1a-141 (KFA1a2-141),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3,,2.05,2.1,596.7,25.45,257.218774161685,6.42482395884019,,,,,,,,
Gra-1995-HOP-000077,MD,KFA1a-142 (KFA1a2-142),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3,,2.05,2.1,60.77,1.23,258.254884968626,3.41213282069856,,,,,,,,
Gra-1995-HOP-000078,MD,KFA1a-143 (KFA1a2-143),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,16.16,0.25,314.209762604155,15.9063280000028,,,,,,,,
Gra-1995-HOP-000079,MD,KFA1a-151 (KFA1a2-151),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,94.71,0.89,270.690301142148,10.7403767373833,,,,,,,,
Gra-1995-HOP-000080,MD,KFA1a-161 (KFA1a2-161),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,7.41,0.08,291.802741580134,32.2339874424284,,,,,,,,
Gra-1995-HOP-000081,MD,KFA1a-171 (KFA1a2-171),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,140.67,4.69,297.016060816771,26.4837351342525,,,,,,,,
Gra-1995-HOP-000082,MD,KFA1a-201 (KFA1a2-201),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3,,2.05,2.1,92.44,1.05,302.040242573351,12.582080538178,,,,,,,,
Gra-1995-HOP-000083,MD,KFA1a-202 (KFA1a2-202),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,91.83,1.64,275.579837201211,17.3472455801804,,,,,,,,
Gra-1995-HOP-000084,MD,KFA1a-211 (KFA1a2-211),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3,,2.05,2.1,94.22,1.78,269.490909842544,2.78795647959431,,,,,,,,
Gra-1995-HOP-000085,MD,KFA1a-212 (KFA1a2-212),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3,,2.05,2.1,857.59,15.87,247.416293501042,14.8791256865287,,,,,,,,
Gra-1995-HOP-000086,MD,KFA1a-213 (KFA1a2-213),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,151.87,2.4,278.128350838222,5.52174302463373,,,,,,,,
Gra-1995-HOP-000087,MD,KFA1a-214 (KFA1a2-214),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,17.98,0.27,270.615026500112,20.2728117757684,,,,,,,,
Gra-1995-HOP-000088,MD,KFA1a-221 (KFA1a2-221),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,89.93,1.99,298.284123562051,8.00004491266488,,,,,,,,
Gra-1995-HOP-000089,MD,KFA1a-231 (KFA1a2-231),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,3,,2.05,2.1,91.95,1.73,273.870827838115,5.1668027967288,,,,,,,,
Gra-1995-HOP-000090,MD,KFA1a-232 (KFA1a2-232),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2.5,,2.05,2.1,94.08,0.84,257.79796966053,4.851318999525,,,,,,,,
Gra-1995-HOP-000091,MD,KFA1a-242 (KFA1a2-242),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2.5,,2.05,2.1,24.54,0.23,243.502738188291,17.6066188979577,,,,,,,,
Gra-1995-HOP-000092,MD,KFA1a-251 (KFA1a2-251),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2.5,,2.05,2.1,94.87,1.16,275.931466680875,15.728951442006,,,,,,,,
Gra-1995-HOP-000093,MD,KFA1a-261 (KFA1a2-261),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,91.08,1.17,268.717518769919,7.67196466310567,,,,,,,,
Gra-1995-HOP-000094,MD,KFA1a-262 (KFA1a2-262),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2.5,,2.05,2.1,10.09,0.14,279.644044451546,11.2072291465679,,,,,,,,
Gra-1995-HOP-000095,MD,KFA1a-311 (KFA1a2-311),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,89.4,2.38,272.370615786383,16.4418847334463,,,,,,,,
Gra-1995-HOP-000096,MD,KFA1a-312 (KFA1a2-312),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,95.28,2.3,257.615168793323,9.9714143995449,,,,,,,,
Gra-1995-HOP-000097,MD,KFA1a-313 (KFA1a2-313),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,4,,2.05,2.1,92.96,1.66,259.625505266932,21.2101750546319,,,,,,,,
Gra-1995-HOP-000098,MD,KFA1a-314 (KFA1a2-314),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,110.27,2.54,256.239128094094,8.50130380405841,,,,,,,,
Gra-1995-HOP-000099,MD,KFA1a-315 (KFA1a2-315),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2.5,,2.05,2.1,94.03,0.97,268.59037539695,2.97586529006162,,,,,,,,
Gra-1995-HOP-000100,MD,KFA1a-321 (KFA1a2-321),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,48.34,0.5,259.534007727262,3.83907031280182,,,,,,,,
Gra-1995-HOP-000101,MD,KFA1a-323 (KFA1a2-323),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,94.05,2.77,278.700151412218,4.72063917374431,,,,,,,,
Gra-1995-HOP-000102,MD,KFA1a-324 (KFA1a2-324),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,91.7,1.19,308.172050976835,16.1095163837107,,,,,,,,
Gra-1995-HOP-000103,MD,KFA1a-325 (KFA1a2-325),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,1.5,,2.05,2.1,92.08,0.84,271.037643767853,12.7091021040232,,,,,,,,
Gra-1995-HOP-000104,MD,KFA1a-331 (KFA1a2-331),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,1.5,,2.05,2.1,16.49,0.53,266.6192724248,18.8202453205788,,,,,,,,
Gra-1995-HOP-000105,MD,KFA1a-334 (KFA1a2-334),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2.5,,2.05,2.1,361.75,6.94,274.912540011802,49.2410061325684,,,,,,,,
Gra-1995-HOP-000106,MD,KFA1a-335 (KFA1a2-335),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2.5,,2.05,2.1,87.43,1.41,287.887291894913,11.2571936787156,,,,,,,,
Gra-1995-HOP-000107,MD,KFA1a-337 (KFA1a2-337),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,89.81,1.09,245.645274271301,10.893306265015,,,,,,,,
Gra-1995-HOP-000108,MD,KFA1a-341 (KFA1a2-341),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,1.5,,2.05,2.1,90.31,0.88,236.268980136914,4.13633587305924,,,,,,,,
Gra-1995-HOP-000109,MD,KFA1a-342 (KFA1a2-342),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2.5,,2.05,2.1,382.58,16.18,286.525020539546,25.0586615473239,,,,,,,,
Gra-1995-HOP-000110,MD,KFA1a-343 (KFA1a2-343),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,,,2.05,2.1,25.08,0.51,263.046709046297,6.08949093789722,,,,,,,,
Gra-1995-HOP-000111,MD,KFA1a-351 (KFA1a2-351),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,22.05,0.31,306.101783985685,14.6352250454197,,,,,,,,
Gra-1995-HOP-000112,MD,KFA1a-361 (KFA1a2-361),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2.5,,2.05,2.1,91.68,0.99,262.095346408012,24.6938681255312,,,,,,,,
Gra-1995-HOP-000113,MD,KFA1a-362 (KFA1a2-362),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2.5,,2.05,2.1,719.13,32.77,321.836393310849,6.4204581439812,,,,,,,,
Gra-1995-HOP-000114,MD,KFA1a-401 (KFA1a2-401),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,9.87,0.1,224.274090928521,8.20163782569855,,,,,,,,
Gra-1995-HOP-000115,MD,KFA1a-402 (KFA1a2-402),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,89.3,1.22,240.972420104088,4.13430462084396,,,,,,,,
Gra-1995-HOP-000116,MD,KFA1a-411 (KFA1a2-411),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,185.19,7.18,279.431827911126,8.80316858789667,,,,,,,,
Gra-1995-HOP-000117,MD,KFA1a-412 (KFA1a2-412),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,93.05,1.26,273.009201884353,21.4236425581453,,,,,,,,
Gra-1995-HOP-000118,MD,KFA1a-421 (KFA1a1-421),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,,,2.05,2.1,49.48,0.36,,,,,,,,,,
Gra-1995-HOP-000119,MD,KFA1a-422 (KFA1a1-422),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,,,2.05,2.1,57.79,1.51,,,,,,,,,,
Gra-1995-HOP-000120,MD,KFA1a-424 (KFA1a1-424),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2.4,,2.05,2.1,89.02,0.69,,,,,,,,,,
Gra-1995-HOP-000121,MD,KFA1a-425 (KFA1a1-425),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,1.4,,2.05,2.1,380.7,13.45,,,,,,,,,,
Gra-1995-HOP-000122,MD,KFA1a-426 (KFA1a1-426),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,1.5,,2.05,2.1,11.15,0.16,,,,,,,,,,
Gra-1995-HOP-000123,MD,KFA1a-431 (KFA1a1-431),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,5.4,,2.05,2.1,442.9,20.19,,,,,484.23,272.91,224.94,236.58,,
Gra-1995-HOP-000124,MD,KFA1a-432 (KFA1a1-432),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2.7,,2.05,2.1,18.13,0.12,,,,,113.83,89.75,185.34,91.79,,
Gra-1995-HOP-000125,MD,KFA1a-433 (KFA1a1-433),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2.1,,2.05,2.1,91.09,0.71,,,,,,,,,,
Gra-1995-HOP-000126,MD,KFA1a-434 (KFA1a1-434),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2.8,,2.05,2.1,47.48,1.72,,,0.014,0.003,2.68,36.33,28.18,36.83,,
Gra-1995-HOP-000127,MD,KFA1a-435 (KFA1a1-435),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,1.5,,2.05,2.1,88.33,0.85,,,,,,,,,,
Gra-1995-HOP-000128,MD,KFA1a-436 (KFA1a1-436),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,1.7,,2.05,2.1,93.25,0.87,,,,,,,,,,
Gra-1995-HOP-000129,MD,KFA1a-437 (KFA1a1-437),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2.5,,2.05,2.1,11.98,0.24,,,,,,,,,,
Gra-1995-HOP-000130,MD,KFA1a-438 (KFA1a1-438),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2.5,,2.05,2.1,32.41,0.24,,,,,,,,,,
Gra-1995-HOP-000131,MD,KFA1a-439 (KFA1a1-439),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2.6,,2.05,2.1,24.38,0.31,,,,,,,,,,
Gra-1995-HOP-000132,MD,KFA1a-4310 (KFA1a1-4310),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2.5,,2.05,2.1,85.38,0.67,,,,,,,,,,
Gra-1995-HOP-000133,MD,KFA1a-441 (KFA1a2-441),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,4.5,,2.05,2.1,91.97,1.68,253.311484035715,9.39612354441885,,,,,,,,
Gra-1995-HOP-000134,MD,KFA1a-442 (KFA1a2-442),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,27.49,0.56,254.154989303887,6.17074374739314,,,,,,,,
Gra-1995-HOP-000135,MD,KFA1a-443 (KFA1a2-443),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2,,2.05,2.1,20.56,0.18,274.920861280872,10.9844076466245,,,,,,,,
Gra-1995-HOP-000136,MD,KFA1a-461 (KFA1a2-461),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,1.5,,2.05,2.1,91.37,1.36,282.529125009278,10.8039713927835,,,,,,,,
Gra-1995-HOP-000137,MD,KFA1a-462 (KFA1a2-462),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,1.5,,2.05,2.1,94.65,2.11,257.413171126654,22.5962720575598,,,,,,,,
Gra-1995-HOP-000138,MD,KFA1a-463 (KFA1a2-463),Hoppe et al. (1995) GCA 59:4029,full,Murchison,WU 3f,2.5,,2.05,2.1,90.6,1.15,266.765448133674,7.93960332014617,,,,,,,,
