PGD ID,PGD Type,PGD Subtype,Type,Grain Label,Reference,Data Published,Source,Technique,Size a (µm),Size b (µm),12C/13C,err+[12C/13C],err-[12C/13C],14N/15N,err+[14N/15N],err-[14N/15N],26Al/27Al,err[26Al/27Al],d(29Si/28Si),err[d(29Si/28Si)],d(30Si/28Si),err[d(30Si/28Si)],44Ti/48Ti,err[44Ti/48Ti]
SiC-2018-NGU-000605,M,,M,MUR52B-91-6,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,49.03484,1.436386,1.356888,,,,,,31.6242,17.8465561444764,63.24184,24.5846548379787,,
SiC-2018-NGU-000606,M,,M,MUR52B-91-7,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,44.66316,4.010502,3.399914,,,,,,18.85474,36.6864336858331,-36.71849,49.1292695793859,,
SiC-2018-NGU-000607,M,,M,MUR52B-92-1,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,48.34393,1.404385,1.327274,,,,,,-2.531171,15.7358964937878,6.821275,16.0240014830284,,
SiC-2018-NGU-000608,M,,M,MUR52B-92-2,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,75.98561,2.837944,2.640694,,,,,,44.69681,16.6550433005099,29.05726,18.4747510172949,,
SiC-2018-NGU-000609,M,,M,MUR52B-92-5,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,49.54729,2.497845,2.269062,,,,,,31.24404,17.167188659732,14.45019,15.4577220326596,,
SiC-2018-NGU-000610,M,,M,MUR52B-93-1,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,41.50974,0.9424591,0.9015198,,,,,,140.7099,10.6332746697151,88.4397,11.9187007268282,,
SiC-2018-NGU-000611,M,,M,MUR52B-93-4,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,47.71448,1.816906,1.688324,,,,,,-13.94975,14.7301354844723,-10.95486,14.6306589882886,,
SiC-2018-NGU-000612,M,,M,MUR52B-93-5,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,61.11672,1.493511,1.42392,,,,,,69.44311,27.0122625450533,115.2457,19.5789037557165,,
SiC-2018-NGU-000613,M,,M,MUR52B-94-1,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,40.16634,1.295975,1.217411,,,,,,25.47562,6.15214659238331,38.53047,9.35103136479001,,
SiC-2018-NGU-000614,M,,M,MUR52B-94-3,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,65.60333,1.324516,1.273102,,,,,,47.66441,8.98404636616009,53.58398,23.4200855848365,,
SiC-2018-NGU-000615,M,,M,MUR52B-94-7,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,51.26836,2.871223,2.582016,,,,,,-14.89115,16.6908304912234,58.99906,49.4372362436671,,
SiC-2018-NGU-000616,M,,M,MUR52B-94-9,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,47.40537,1.792992,1.666901,,,,,,36.92913,21.40548493778,43.83802,21.397400089737,,
SiC-2018-NGU-000617,M,,M,MUR52B-95-1,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,44.27573,0.4317589,0.4234962,,,,,,28.79882,6.99608370637279,44.30032,8.1932087715574,,
SiC-2018-NGU-000618,M,,M,MUR52B-95-4,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,59.57954,1.84853,1.740524,,,,,,49.35288,25.145631715304,72.78526,24.539290327866,,
SiC-2018-NGU-000619,M,,M,MUR52B-95-5,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,47.34608,2.719044,2.438911,,,,,,100.4432,22.3244549876408,94.43784,45.9088808623049,,
SiC-2018-NGU-000620,M,,M,MUR52B-95-7,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,34.60361,1.224571,1.143631,,,,,,58.17246,30.2381939041204,87.82268,35.8405026950909,,
SiC-2018-NGU-000621,M,,M,MUR52B-95-8,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,48.16267,1.241196,1.180359,,,,,,76.40266,16.2442606205229,52.18851,26.3776111290907,,
SiC-2018-NGU-000622,M,,M,MUR52B-95-9,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,90.70065,3.07621,2.880798,,,,,,-20.69062,8.29565302322121,3.319263,14.0793108995485,,
SiC-2018-NGU-000623,M,,M,MUR52B-95-13,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,76.12948,2.577675,2.414192,,,,,,29.47748,8.25069473187429,21.6136,11.3860822327079,,
SiC-2018-NGU-000624,M,,M,MUR52B-96-1,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,63.50017,3.002056,2.742725,,,,,,-11.36369,11.1618772900229,-16.97248,23.7923949501699,,
SiC-2018-NGU-000625,M,,M,MUR52B-96-3,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,37.74677,1.674366,1.537926,,,,,,73.83156,17.4582973451924,70.90652,27.4557003101459,,
SiC-2018-NGU-000626,Y,,Y,MUR52B-96-6,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,104.8829,4.424011,4.079834,,,,,,-19.82951,13.0572119769636,39.15608,16.2661134417487,,
SiC-2018-NGU-000627,Y,,Y,MUR52B-96-7,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,126.248,9.495338,8.253777,,,,,,-30.09444,23.6270485784379,34.47866,23.9722235269099,,
SiC-2018-NGU-000628,M,,M,MUR52B-96-9,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,55.39449,2.745682,2.498047,,,,,,97.60153,18.6223141240732,106.836,27.9850133643696,,
SiC-2018-NGU-000629,M,,M,MUR52B-97-1,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,52.99139,2.202686,2.033627,,,,,,-20.21795,28.9423411089034,-46.97031,28.2969774971724,,
SiC-2018-NGU-000630,AB,,AB,MUR52B-97-7,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,2.312968,0.07266617,0.06837034,,,,,,52.60479,18.2862412942233,50.06111,14.5851135781502,,
SiC-2018-NGU-000631,M,,M,MUR52B-98-1,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,73.50363,1.378754,1.328896,,,,,,-5.631804,13.7020882853343,18.93401,15.6728584383611,,
SiC-2018-NGU-000632,M,,M,MUR52B-98-2,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,58.6409,1.558548,1.479881,,,,,,36.33916,10.5900761520976,35.38942,11.6225243671491,,
SiC-2018-NGU-000633,M,,M,MUR52B-98-3,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,42.99493,2.183842,1.982452,,,,,,30.65503,14.1339572023408,71.80357,20.1254885742731,,
SiC-2018-NGU-000634,M,,M,MUR52B-98-4,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,48.57969,0.8256226,0.798481,,,,,,108.543,11.8571923446096,92.88644,18.8442512567476,,
SiC-2018-NGU-000635,M,,M,MUR52B-98-5,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,58.67424,3.582119,3.192329,,,,,,42.60671,16.5441284563359,60.24945,24.7216650717535,,
SiC-2018-NGU-000636,M,,M,MUR52B-98-6,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,66.57315,5.598824,4.79269,,,,,,30.55644,19.683720798255,44.1829,28.0908677740088,,
SiC-2018-NGU-000637,M,,M,MUR52B-99-1,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,71.27543,1.217133,1.176933,,,,,,32.20117,9.10459887252945,24.39594,10.3143087786818,,
SiC-2018-NGU-000638,AB,,AB,MUR52B-99-2,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,5.082654,0.087358,0.08445454,,,,,,122.2613,32.9701737754595,69.21101,26.0426557064233,,
SiC-2018-NGU-000639,M,,M,MUR52B-100-1,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,54.6914,1.655857,1.561314,,,,,,-9.302795,15.5512643620498,21.00372,24.5060546147221,,
SiC-2018-NGU-000640,M,,M,MUR52B-100-2,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,68.7925,1.633965,1.559868,,,,,,-38.61678,19.5229512925071,-21.97641,16.1501984942661,,
SiC-2018-NGU-000641,M,,M,MUR52B-100-3,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,60.42318,3.120861,2.828663,,,,,,-36.66991,17.7202948619665,9.650469,21.5518559785593,,
SiC-2018-NGU-000642,M,,M,MUR52B-100-6,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,70.34395,2.413673,2.258675,,,,,,40.18152,14.2214635854576,27.8635,15.3867483852178,,
SiC-2018-NGU-000643,M,,M,MUR52B-100-7,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,61.4186,1.637085,1.55423,,,,,,-2.920032,19.8305444470255,42.20533,28.2962621260043,,
SiC-2018-NGU-000644,M,,M,MUR52B-100-8,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,62.09516,2.412888,2.238895,,,,,,90.20924,27.2849950094206,70.59777,24.7508144414359,,
SiC-2018-NGU-000645,M,,M,MUR52B-101-1,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,15.23619,0.4318647,0.4086962,,,,,,6.808996,10.1628510917707,-11.27845,16.1637841205516,,
SiC-2018-NGU-000646,M,,M,MUR52B-101-2,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,50.69135,1.27364,1.2127,,,,,,134.9179,18.3593307097663,109.6836,14.9309229767029,,
SiC-2018-NGU-000647,M,,M,MUR52B-101-3,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,96.53863,4.200005,3.8638,,,,,,0.6877184,15.8021442318892,7.451296,19.5404233982678,,
SiC-2018-NGU-000648,M,,M,MUR52B-101-4,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,65.18209,1.957085,1.846214,,,,,,62.02293,27.8704986200581,47.47212,17.1289277667646,,
SiC-2018-NGU-000649,M,,M,MUR52B-102-1,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,37.93845,0.7080345,0.6825562,,,,,,6.324053,11.0652319954299,3.765583,19.712050286102,,
SiC-2018-NGU-000650,M,,M,MUR52B-103-1,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,42.6989,0.4837914,0.4730721,,,,,,174.7036,9.322008832251,121.9115,8.8455165644115,,
SiC-2018-NGU-000651,M,,M,MUR52B-103-2,Nguyen et al. (2018) GCA 221:162,full,Murchison,CIW NanoSIMS & CIW 6f,,,71.49007,1.661476,1.587677,,,,,,20.6182,10.1290583507374,17.01665,11.079294958284,,
