context,mineral,spot,d17O,d17O_2sigma,d18O,d18O_2sigma,Delta17O,Delta17O_2sigma
"Isolated spinel grain, OREX-803114-0 particle #1",spinel,308,-47.87026067735734,1.4372043695876224,-45.06094879440204,0.8913386095813712,-24.438567304268275,1.5019378062660649
"Isolated spinel grain, OREX-803114-0 particle #1",spinel,309,-48.3342373745268,1.6317784984987782,-46.72453203651039,0.8913386095813712,-24.0374807155414,1.689816270345227
"HKBC01, OREX-803114-0 particle #1",hibonite,511,-50.18026299185474,3.3182650411379,-50.92715704374373,1.738148935175771,-23.698141329107997,3.53102757688136
"HKBC02, OREX-803114-0 particle #2",diopside,284,-2.6646572633379773,1.614046810232737,2.456420312267893,0.690029208882529,-3.9419958257172816,1.7835937899628043
"HKBC03, OREX-803114-0 particle #1",olivine,265,-48.72953239425082,1.2041257525569586,-45.894620526218624,0.8813738611199384,-24.864329720617132,1.2926933927567534
"HKBC03, OREX-803114-0 particle #1",olivine,266,-47.615172950113745,1.5283187159336977,-46.65306314639439,0.8813738611199384,-23.355580113988662,1.5071662791919973
"HKBC03, OREX-803114-0 particle #1",spinel,342,-50.74119372317121,2.9919379352574738,-49.215361774281654,1.6864356825144076,-25.149205600544747,3.0017138167124497
"HKBC03, OREX-803114-0 particle #1",spinel,349,-49.509067194598245,2.9241784718880997,-47.91695194721801,1.6864356825144076,-24.59225218204488,3.1581461739460157
"HKBA01, OREX-803114-0 particle #1",olivine,61,-46.53104756569149,1.5415917778599393,-45.748921586702295,0.8570254300559954,-22.741608340606295,1.7562430095591934
"HKBA01, OREX-803114-0 particle #1",olivine,62,-46.54105065332892,1.585230574080838,-45.41288438869273,0.8570254300559954,-22.926350771208696,1.7562430095591934
"HKBA01, OREX-803114-0 particle #1",olivine,63,-48.39652962700502,1.5415917778599393,-45.4768664981573,0.8570254300559954,-24.748559047963226,1.7562430095591934
"HKBA02, OREX-803114-0 particle #1",olivine,58,-47.785672768538845,1.5595725675939012,-46.66471111644044,0.8570254300559954,-23.52002298798982,1.7562430095591934
"HKBA02, OREX-803114-0 particle #1",olivine,59,-47.69128566573988,1.5415917778599393,-46.219994653797784,0.8570254300559954,-23.656888445765034,1.7562430095591934
"HKBA02, OREX-803114-0 particle #1",olivine,132,-46.76433005119629,1.3111896359937802,-47.38644195224906,0.7187007849856422,-22.12338023602678,1.3357606656161443
"HKBA02, OREX-803114-0 particle #1",olivine,133,-48.21571516298751,1.6143450702488122,-46.5340490375955,0.6474899320122981,-24.018009663437844,1.6080104147141157
"HKBA03, OREX-803114-0 particle #1",olivine,65,-48.11910383001206,1.5415917778599393,-46.800007103800276,0.8570254300559954,-23.783100136035912,1.7562430095591934
"HKBA03, OREX-803114-0 particle #1",olivine,66,-46.80314780952344,1.5415917778599393,-45.49879260068468,0.8570254300559954,-23.143775657167403,1.7562430095591934
"HKBA03, OREX-803114-0 particle #1",olivine,134,-46.37789516492252,1.2878717595374765,-45.95771861331832,0.7064868206626103,-22.479881485996994,1.2994562753753325
