group,lab_id,sample_name,sample_note,epsilon46Ti,epsilon46Ti_2sigma,epsilon48Ti,epsilon48Ti_2sigma,epsilon50Ti,epsilon50Ti_2sigma,Ti_reference,epsilon53Cr,epsilon53Cr_2sigma,epsilon54Cr,epsilon54Cr_2sigma,Cr_reference,epsilon94Mo,epsilon94Mo_2sigma,epsilon95Mo,epsilon95Mo_2sigma,Mo_reference
Ureilites,EW17,DaG 999,,-0.3451859684508055,0.06677978533732165,-0.012735713366922903,0.08778580788680751,-1.8776030398119445,0.09320725014633453,this study,,,,,,,,,,
Ureilites,EW18,Sahara 98501,,-0.3475461609094473,0.04651594639047328,0.07670082869908652,0.11185697014402184,-1.9802922474017528,0.08077038700800718,this study,,,,,,,,,,
Ureilites,EW19,Dho 132,,-0.3351114099684557,0.055764442771511706,0.08828700880438344,0.07982809450889931,-2.0678268735424132,0.07741134991376265,this study,0.09,0.04,-0.97,0.09,Yamakawa+10 (APJ),0.65,0.22,0.35,0.15,-4
Ureilites,EW20,HaH 064,,-0.34389638350546775,0.09407192735068326,0.0717482798375167,0.09031342757011002,-2.002575989711042,0.1056895748657235,this study,,,,,,,,,,
Ureilites,UR62,Almahata Sitta (MS-MU-16),,-0.4322495651184107,0.11732281432320717,-0.040088350684485234,0.04527877863868035,-2.0204217420585007,0.08437710601053526,this study,0.25,0.06,-0.71,0.12,this study,,,,,
Ureilites,UR63,Almahata Sitta (MS-MU-17),,-0.3523964227737375,0.05995383602041405,0.002460483050266878,0.03232603423793203,-1.9868840466423048,0.11362941590215508,this study,,,,,,0.93,0.22,0.42,0.15,-13
Ureilites,UR64,Almahata Sitta (MS-MU-20),,-0.4437929056821943,0.06576670243318254,-0.05074510172004503,0.03162602057189131,-2.096116651642908,0.07749937948887621,this study,0.2,0.04,-0.74,0.08,this study,1.15,0.22,0.51,0.15,-18
Ureilites,UR67,ALM-A (MS-MU-011),,-0.43698208490122736,0.09599401640828248,0.032050281713139984,0.03283779316911317,-1.9441021498552609,0.07215672802146081,this study,0.45,0.05,-0.68,0.09,Zhu+20 (APJ),,,,,
Prim. enstatite achondrites,DI13,NWA 2526,,-0.03454749961144069,0.0512280953897748,0.07477816439899815,0.0614639820085417,-0.01351839597788204,0.13227259518636142,this study,0.17,0.05,0.08,0.11,this study,0.6,0.13,0.39,0.13,3
Ungrouped achondrites,DI16,NWA 1058,(WIN-like),-0.19571537520826884,0.036973547909075755,-0.06402752748122721,0.05077748526276568,-0.6759094015461699,0.09666468611816816,this study,0.5009511816189693,0.06643883612820137,-0.3850253163179789,0.06230450195122226,this study,1.31,0.11,0.68,0.09,-10
Ungrouped achondrites,DI 58,GRA 06128,(BRA-like),-0.19971906903295272,0.056793850420325795,-0.26450415771608893,0.1277084510729822,-1.71234815799582,0.05956883592029182,this study,1.2440222306932889,0.050313791743933356,-0.6303367407511917,0.14494876698599482,this study,1.03,0.22,0.6,0.15,-1
Ungrouped achondrites,DI60,NWA 6112,(BRA-like),-0.26896172271898927,0.10040414017792579,-0.072352860931435,0.0439636701296769,-1.442668992080731,0.08939989600792589,this study,0.23919693682798263,0.04388167730798743,-0.5972475589383868,0.1312095694478908,this study,1.55,0.22,0.79,0.15,-13
Ungrouped achondrites,DI61,NWA 5400,(BRA-like),-0.19365950712746383,0.09278722260616758,-0.07805373922622282,0.04314906374382266,-0.9956073022227008,0.06748508489271765,this study,0.17776711717043536,0.03734242140883991,-0.45933034926448624,0.06910521244142055,this study,0.66,0.22,0.31,0.15,-8
