sample_id,group,tracer,value,uncertainty
S4_1. Ivuna H2 dolomite #7-1,Ivuna_CI,delta53Cr_permil,2410.5035165159293,595.7014888693947
S4_2. Ivuna H2 dolomite #7-2,Ivuna_CI,delta53Cr_permil,20.801826512854895,20.09852538586602
S4_3. Ivuna H2 dolomite #7-3,Ivuna_CI,delta53Cr_permil,1268.112215361067,787.2862508994325
S4_4. Ivuna H2 dolomite #7-4,Ivuna_CI,delta53Cr_permil,1577.8557713328544,1171.8412920448657
S4_5. Ivuna H2 dolomite #7-5,Ivuna_CI,delta53Cr_permil,418.70950579441325,234.3466926384528
S4_6. Ivuna H2 dolomite #7-6,Ivuna_CI,delta53Cr_permil,114.0433602212887,158.6237061325524
S4_7. Ivuna H2 dolomite #7-7,Ivuna_CI,delta53Cr_permil,2374.541928405946,536.3024867592881
S4_8. Ivuna H2 dolomite #3-1,Ivuna_CI,delta53Cr_permil,2023.94827716725,420.0351548323877
S4_9. Ivuna H2 dolomite #3-2,Ivuna_CI,delta53Cr_permil,689.2140522994032,211.26644429849907
