source_file,condition,generation,well,well_index,time_seconds,temperature_c,turbidity_A400
FR_inc.xlsx,FR,gen0,H7,91,13.0,22.1,0.549
FR_inc.xlsx,FR,gen0,H8,92,13.0,22.1,0.604
FR_inc.xlsx,FR,gen0,H9,93,13.0,22.1,0.425
FR_inc.xlsx,FR,gen0,H10,94,13.0,22.1,0.618
FR_inc.xlsx,FR,gen0,H11,95,13.0,22.1,0.645
FR_inc.xlsx,FR,gen0,H12,96,13.0,22.1,0.414
FR_inc.xlsx,FR,gen0,A1,1,613.0,22.1,0.479
FR_inc.xlsx,FR,gen0,A2,2,613.0,22.1,0.455
FR_inc.xlsx,FR,gen0,A3,3,613.0,22.1,0.305
FR_inc.xlsx,FR,gen0,A4,4,613.0,22.1,0.669
FR_inc.xlsx,FR,gen0,A5,5,613.0,22.1,0.375
FR_inc.xlsx,FR,gen0,A6,6,613.0,22.1,0.431
FR_inc.xlsx,FR,gen0,A7,7,613.0,22.1,0.468
FR_inc.xlsx,FR,gen0,A8,8,613.0,22.1,0.373
FR_inc.xlsx,FR,gen0,A9,9,613.0,22.1,0.388
FR_inc.xlsx,FR,gen0,A10,10,613.0,22.1,0.473
FR_inc.xlsx,FR,gen0,A11,11,613.0,22.1,0.535
FR_inc.xlsx,FR,gen0,A12,12,613.0,22.1,0.326
FR_inc.xlsx,FR,gen0,B1,13,613.0,22.1,0.575
FR_inc.xlsx,FR,gen0,B2,14,613.0,22.1,0.451
FR_inc.xlsx,FR,gen0,B3,15,613.0,22.1,0.509
FR_inc.xlsx,FR,gen0,B4,16,613.0,22.1,0.409
FR_inc.xlsx,FR,gen0,B5,17,613.0,22.1,0.551
FR_inc.xlsx,FR,gen0,B6,18,613.0,22.1,0.513
FR_inc.xlsx,FR,gen0,B7,19,613.0,22.1,0.469
FR_inc.xlsx,FR,gen0,B8,20,613.0,22.1,0.501
FR_inc.xlsx,FR,gen0,B9,21,613.0,22.1,0.469
FR_inc.xlsx,FR,gen0,B10,22,613.0,22.1,0.608
FR_inc.xlsx,FR,gen0,B11,23,613.0,22.1,0.591
FR_inc.xlsx,FR,gen0,B12,24,613.0,22.1,0.466
FR_inc.xlsx,FR,gen0,C1,25,613.0,22.1,0.456
FR_inc.xlsx,FR,gen0,C2,26,613.0,22.1,0.329
FR_inc.xlsx,FR,gen0,C3,27,613.0,22.1,0.455
FR_inc.xlsx,FR,gen0,C4,28,613.0,22.1,0.409
FR_inc.xlsx,FR,gen0,C5,29,613.0,22.1,0.534
FR_inc.xlsx,FR,gen0,C6,30,613.0,22.1,0.681
FR_inc.xlsx,FR,gen0,C7,31,613.0,22.1,0.46
FR_inc.xlsx,FR,gen0,C8,32,613.0,22.1,0.418
FR_inc.xlsx,FR,gen0,C9,33,613.0,22.1,0.443
FR_inc.xlsx,FR,gen0,C10,34,613.0,22.1,0.619
FR_inc.xlsx,FR,gen0,C11,35,613.0,22.1,0.456
FR_inc.xlsx,FR,gen0,C12,36,613.0,22.1,0.559
FR_inc.xlsx,FR,gen0,D1,37,613.0,22.1,0.554
FR_inc.xlsx,FR,gen0,D2,38,613.0,22.1,0.517
FR_inc.xlsx,FR,gen0,D3,39,613.0,22.1,0.45
FR_inc.xlsx,FR,gen0,D4,40,613.0,22.1,0.607
FR_inc.xlsx,FR,gen0,D5,41,613.0,22.1,0.538
FR_inc.xlsx,FR,gen0,D6,42,613.0,22.1,0.642
FR_inc.xlsx,FR,gen0,D7,43,613.0,22.1,0.404
FR_inc.xlsx,FR,gen0,D8,44,613.0,22.1,0.431
FR_inc.xlsx,FR,gen0,D9,45,613.0,22.1,0.527
FR_inc.xlsx,FR,gen0,D10,46,613.0,22.1,0.387
FR_inc.xlsx,FR,gen0,D11,47,613.0,22.1,0.609
FR_inc.xlsx,FR,gen0,D12,48,613.0,22.1,0.485
FR_inc.xlsx,FR,gen0,E1,49,613.0,22.1,0.414
FR_inc.xlsx,FR,gen0,E2,50,613.0,22.1,0.587
FR_inc.xlsx,FR,gen0,E3,51,613.0,22.1,0.641
FR_inc.xlsx,FR,gen0,E4,52,613.0,22.1,0.551
FR_inc.xlsx,FR,gen0,E5,53,613.0,22.1,0.59
FR_inc.xlsx,FR,gen0,E6,54,613.0,22.1,0.489
FR_inc.xlsx,FR,gen0,E7,55,613.0,22.1,0.578
FR_inc.xlsx,FR,gen0,E8,56,613.0,22.1,0.517
FR_inc.xlsx,FR,gen0,E9,57,613.0,22.1,0.614
FR_inc.xlsx,FR,gen0,E10,58,613.0,22.1,0.493
FR_inc.xlsx,FR,gen0,E11,59,613.0,22.1,0.436
FR_inc.xlsx,FR,gen0,E12,60,613.0,22.1,0.394
FR_inc.xlsx,FR,gen0,F1,61,613.0,22.1,0.43
FR_inc.xlsx,FR,gen0,F2,62,613.0,22.1,0.525
FR_inc.xlsx,FR,gen0,F3,63,613.0,22.1,0.464
FR_inc.xlsx,FR,gen0,F4,64,613.0,22.1,0.573
FR_inc.xlsx,FR,gen0,F5,65,613.0,22.1,0.487
FR_inc.xlsx,FR,gen0,F6,66,613.0,22.1,0.386
FR_inc.xlsx,FR,gen0,F7,67,613.0,22.1,0.45
FR_inc.xlsx,FR,gen0,F8,68,613.0,22.1,0.464
FR_inc.xlsx,FR,gen0,F9,69,613.0,22.1,0.501
FR_inc.xlsx,FR,gen0,F10,70,613.0,22.1,0.527
FR_inc.xlsx,FR,gen0,F11,71,613.0,22.1,0.604
FR_inc.xlsx,FR,gen0,F12,72,613.0,22.1,0.529
FR_inc.xlsx,FR,gen0,G1,73,613.0,22.1,0.609
FR_inc.xlsx,FR,gen0,G2,74,613.0,22.1,0.459
FR_inc.xlsx,FR,gen0,G3,75,613.0,22.1,0.566
FR_inc.xlsx,FR,gen0,G4,76,613.0,22.1,0.463
FR_inc.xlsx,FR,gen0,G5,77,613.0,22.1,0.461
FR_inc.xlsx,FR,gen0,G6,78,613.0,22.1,0.549
FR_inc.xlsx,FR,gen0,G7,79,613.0,22.1,0.634
FR_inc.xlsx,FR,gen0,G8,80,613.0,22.1,0.538
FR_inc.xlsx,FR,gen0,G9,81,613.0,22.1,0.35
FR_inc.xlsx,FR,gen0,G10,82,613.0,22.1,0.467
FR_inc.xlsx,FR,gen0,G11,83,613.0,22.1,0.448
FR_inc.xlsx,FR,gen0,G12,84,613.0,22.1,0.435
FR_inc.xlsx,FR,gen0,H1,85,613.0,22.1,0.42
FR_inc.xlsx,FR,gen0,H2,86,613.0,22.1,0.521
FR_inc.xlsx,FR,gen0,H3,87,613.0,22.1,0.427
FR_inc.xlsx,FR,gen0,H4,88,613.0,22.1,0.556
FR_inc.xlsx,FR,gen0,H5,89,613.0,22.1,0.542
FR_inc.xlsx,FR,gen0,H6,90,613.0,22.1,0.531
FR_inc.xlsx,FR,gen0,H7,91,613.0,22.1,0.552
FR_inc.xlsx,FR,gen0,H8,92,613.0,22.1,0.601
FR_inc.xlsx,FR,gen0,H9,93,613.0,22.1,0.401
FR_inc.xlsx,FR,gen0,H10,94,613.0,22.1,0.612
FR_inc.xlsx,FR,gen0,H11,95,613.0,22.1,0.649
FR_inc.xlsx,FR,gen0,H12,96,613.0,22.1,0.41
FR_inc.xlsx,FR,gen0,A1,1,1213.0,22.1,0.453
FR_inc.xlsx,FR,gen0,A2,2,1213.0,22.1,0.47
FR_inc.xlsx,FR,gen0,A3,3,1213.0,22.1,0.332
FR_inc.xlsx,FR,gen0,A4,4,1213.0,22.1,0.66
FR_inc.xlsx,FR,gen0,A5,5,1213.0,22.1,0.403
FR_inc.xlsx,FR,gen0,A6,6,1213.0,22.1,0.445
FR_inc.xlsx,FR,gen0,A7,7,1213.0,22.1,0.476
FR_inc.xlsx,FR,gen0,A8,8,1213.0,22.1,0.401
