scenario,temperature_k,pressure_mpa,species,mole_fraction,source_file
vacuum,1950.0,1e-10,HF(g),3.28e-06,Murchison-vacc-Zn-GAS.csv
vacuum,1950.0,1e-10,NaCl(g),1.79e-10,Murchison-vacc-Zn-GAS.csv
vacuum,1950.0,1e-10,Co(g),0.000223,Murchison-vacc-Zn-GAS.csv
vacuum,1950.0,1e-10,K(g),0.000178,Murchison-vacc-Zn-GAS.csv
vacuum,1950.0,1e-10,CrO2(g),2.82e-08,Murchison-vacc-Zn-GAS.csv
vacuum,1950.0,1e-10,FeO(g),3.32e-06,Murchison-vacc-Zn-GAS.csv
vacuum,1950.0,1e-10,Mg(g),0.103,Murchison-vacc-Zn-GAS.csv
vacuum,1950.0,1e-10,Mn(g),0.000589,Murchison-vacc-Zn-GAS.csv
vacuum,1950.0,1e-10,PO2(g),4.3e-07,Murchison-vacc-Zn-GAS.csv
vacuum,1950.0,1e-10,PO(g),0.000576,Murchison-vacc-Zn-GAS.csv
vacuum,1950.0,1e-10,Ar(g),0.0,Murchison-vacc-Zn-GAS.csv
vacuum,1950.0,1e-10,Zn(g),5.53e-05,Murchison-vacc-Zn-GAS.csv
vacuum,1950.0,1e-10,ZnS(g),5.25e-15,Murchison-vacc-Zn-GAS.csv
vacuum,1950.0,1e-10,ZnOH(g),6.67e-18,Murchison-vacc-Zn-GAS.csv
vacuum,1950.0,1e-10,ZnO(g),2.66e-12,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,H2(g),8.71e-05,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,C(g),2.05e-15,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,N(g),1.91e-07,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,CH4(g),2.85e-33,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,H2O(g),8.85e-07,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,CO(g),0.0369,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,O2(g),0.00173,Murchison-vacc-Zn-GAS.csv
vacuum,1900.0,1e-10,H2S(g),8.13e-13,Murchison-vacc-Zn-GAS.csv
