scenario,temperature_k,pressure_mpa,species,mole_fraction,source_file
vacuum,800.0,1e-10,SiO(g),4.46e-18,Murchison-vacc-Zn-GAS.csv
vacuum,800.0,1e-10,Na(g),2.54e-06,Murchison-vacc-Zn-GAS.csv
vacuum,800.0,1e-10,OH(g),2.28e-11,Murchison-vacc-Zn-GAS.csv
vacuum,800.0,1e-10,O(g),5.72e-18,Murchison-vacc-Zn-GAS.csv
vacuum,800.0,1e-10,SO(g),1.29e-06,Murchison-vacc-Zn-GAS.csv
vacuum,800.0,1e-10,S2(g),0.00162,Murchison-vacc-Zn-GAS.csv
vacuum,800.0,1e-10,KCl(g),0.000221,Murchison-vacc-Zn-GAS.csv
vacuum,800.0,1e-10,HF(g),0.000214,Murchison-vacc-Zn-GAS.csv
vacuum,800.0,1e-10,NaCl(g),0.000377,Murchison-vacc-Zn-GAS.csv
vacuum,800.0,1e-10,Co(g),4.82e-12,Murchison-vacc-Zn-GAS.csv
vacuum,800.0,1e-10,K(g),1.19e-07,Murchison-vacc-Zn-GAS.csv
vacuum,800.0,1e-10,CrO2(g),1.63e-20,Murchison-vacc-Zn-GAS.csv
vacuum,800.0,1e-10,FeO(g),1.59e-17,Murchison-vacc-Zn-GAS.csv
vacuum,800.0,1e-10,Mg(g),1.66e-17,Murchison-vacc-Zn-GAS.csv
vacuum,800.0,1e-10,Mn(g),2.38e-12,Murchison-vacc-Zn-GAS.csv
vacuum,800.0,1e-10,PO2(g),4.34e-17,Murchison-vacc-Zn-GAS.csv
vacuum,800.0,1e-10,PO(g),1.09e-16,Murchison-vacc-Zn-GAS.csv
vacuum,800.0,1e-10,Ar(g),0.0,Murchison-vacc-Zn-GAS.csv
vacuum,800.0,1e-10,Zn(g),0.000356,Murchison-vacc-Zn-GAS.csv
vacuum,800.0,1e-10,ZnS(g),1.1e-12,Murchison-vacc-Zn-GAS.csv
vacuum,800.0,1e-10,ZnOH(g),6.05e-16,Murchison-vacc-Zn-GAS.csv
vacuum,800.0,1e-10,ZnO(g),8.3e-19,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,H2(g),0.321,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,C(g),2.6799999999999996e-42,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,N(g),3.7600000000000004e-27,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,CH4(g),5.74e-19,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,H2O(g),0.432,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,CO(g),0.0258,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,O2(g),3.49e-20,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,H2S(g),0.000812,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,NaOH(g),6.2e-12,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,KH(g),1.04e-18,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,CO2(g),0.212,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,N2(g),0.00604,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,Fe(g),3.84e-14,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,H(g),5.67e-09,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,SO2(g),4.17e-05,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,Ni(g),3.86e-14,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,SiO(g),2.92e-20,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,Na(g),1.62e-08,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,OH(g),1.28e-12,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,O(g),3.78e-20,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,SO(g),7.59e-08,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,S2(g),0.00025,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,KCl(g),5.66e-05,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,HF(g),6.27e-05,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,NaCl(g),0.000105,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,Co(g),3.5e-14,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,K(g),6.07e-10,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,CrO2(g),5.36e-23,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,FeO(g),5.63e-20,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,Mg(g),6.47e-20,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,Mn(g),2.2e-14,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,PO2(g),7.83e-19,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,PO(g),1.85e-18,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,Ar(g),0.0,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,Zn(g),0.000357,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,ZnS(g),3.82e-13,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,ZnOH(g),2.61e-16,Murchison-vacc-Zn-GAS.csv
vacuum,750.0,1e-10,ZnO(g),6.45e-20,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,H2(g),0.329,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,C(g),2.42e-45,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,N(g),1.63e-29,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,CH4(g),5.48e-18,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,H2O(g),0.426,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,CO(g),0.018,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,O2(g),1.16e-22,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,H2S(g),0.000557,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,NaOH(g),2.16e-13,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,KH(g),1.13e-20,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,CO2(g),0.22,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,N2(g),0.00604,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,Fe(g),2.44e-16,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,H(g),4.58e-10,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,SO2(g),2.12e-06,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,Ni(g),2.12e-16,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,SiO(g),4.6099999999999997e-23,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,Na(g),3.38e-10,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,OH(g),4.78e-14,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,O(g),1.22e-22,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,SO(g),2.1e-09,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,S2(g),1.47e-05,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,KCl(g),1.25e-05,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,HF(g),9.22e-06,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,NaCl(g),2.53e-05,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,Co(g),1.7e-16,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,K(g),9.82e-12,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,CrO2(g),6.47e-26,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,FeO(g),1.2500000000000001e-22,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,Mg(g),1.61e-22,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,Mn(g),1.46e-16,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,PO2(g),1.65e-21,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,PO(g),3.64e-21,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,Ar(g),0.0,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,Zn(g),0.000357,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,ZnS(g),8.12e-14,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,ZnOH(g),9.93e-17,Murchison-vacc-Zn-GAS.csv
vacuum,700.0,1e-10,ZnO(g),3.47e-21,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,H2(g),0.335,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,C(g),7.17e-49,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,N(g),3.06e-32,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,CH4(g),6.95e-17,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,H2O(g),0.419,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,CO(g),0.0116,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,O2(g),1.64e-25,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,H2S(g),0.000361,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,NaOH(g),4.54e-15,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,KH(g),6.099999999999999e-23,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,CO2(g),0.227,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,N2(g),0.00604,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,Fe(g),6.98e-19,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,H(g),2.52e-11,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,SO2(g),7.11e-08,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,Ni(g),5.13e-19,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,SiO(g),2.62e-26,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,Na(g),3.89e-12,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,OH(g),1.08e-15,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,O(g),1.66e-25,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,SO(g),3.43e-11,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,S2(g),5.73e-07,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,KCl(g),1.8e-06,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,HF(g),1.02e-06,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,NaCl(g),4.04e-06,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,Co(g),3.6e-19,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,K(g),8.42e-14,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,CrO2(g),2.77e-29,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,FeO(g),1.08e-25,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,Mg(g),1.55e-25,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,Mn(g),4.42e-19,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,PO2(g),1.31e-24,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,PO(g),2.64e-24,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,Ar(g),0.0,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,Zn(g),4.69e-05,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,ZnS(g),1.82e-15,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,ZnOH(g),4.35e-18,Murchison-vacc-Zn-GAS.csv
vacuum,650.0,1e-10,ZnO(g),1.5899999999999998e-23,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,H2(g),0.34,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,C(g),5.2e-53,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,N(g),2.0300000000000002e-35,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,CH4(g),1.23e-15,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,H2O(g),0.414,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,CO(g),0.00672,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,O2(g),8.160000000000001e-29,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,H2S(g),0.000218,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,NaOH(g),5.07e-17,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,KH(g),1.37e-25,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,CO2(g),0.232,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,N2(g),0.00604,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,Fe(g),7.290000000000001e-22,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,H(g),8.52e-13,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,SO2(g),1.43e-09,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,Ni(g),4.4800000000000005e-22,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,SiO(g),4.14e-30,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,Na(g),2.11e-14,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,OH(g),1.33e-17,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,O(g),7.67e-29,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,SO(g),2.93e-13,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,S2(g),1.34e-08,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,KCl(g),1.79e-07,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,HF(g),7.75e-08,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,NaCl(g),4.53e-07,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,Co(g),2.67e-22,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,K(g),3.25e-16,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,CrO2(g),3.2500000000000004e-33,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,FeO(g),2.83e-29,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,Mg(g),4.6000000000000004e-29,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,Mn(g),4.91e-22,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,PO2(g),3.05e-28,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,PO(g),5.44e-28,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,Ar(g),0.0,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,Zn(g),6.24e-07,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,ZnS(g),3.15e-18,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,ZnOH(g),1.63e-20,Murchison-vacc-Zn-GAS.csv
vacuum,600.0,1e-10,ZnO(g),4.28e-27,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,H2(g),0.344,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,C(g),6.3400000000000005e-58,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,N(g),3.57e-39,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,CH4(g),3.36e-14,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,H2O(g),0.411,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,CO(g),0.0034,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,O2(g),1.0600000000000001e-32,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,H2S(g),0.000118,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,NaOH(g),2.54e-19,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,KH(g),1.01e-28,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,CO2(g),0.235,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,N2(g),0.00604,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,Fe(g),2.12e-25,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,H(g),1.56e-14,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,SO2(g),1.49e-11,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,Ni(g),1.07e-25,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,SiO(g),1.28e-34,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,Na(g),4.43e-17,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,OH(g),7.45e-20,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,O(g),9.05e-33,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,SO(g),1.08e-15,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,S2(g),1.59e-10,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,KCl(g),1.17e-08,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,HF(g),3.7e-09,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,NaCl(g),3.39e-08,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,Co(g),5.3e-26,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,K(g),4.58e-19,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,CrO2(g),7.34e-38,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,FeO(g),1.65e-33,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,Mg(g),3.02e-33,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,Mn(g),1.54e-25,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,PO2(g),1.5e-32,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,PO(g),2.2600000000000001e-32,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,Ar(g),0.0,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,Zn(g),3.65e-09,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,ZnS(g),1.6700000000000002e-21,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,ZnOH(g),2.1699999999999998e-23,Murchison-vacc-Zn-GAS.csv
vacuum,550.0,1e-10,ZnO(g),2.56e-31,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,H2(g),0.346,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,C(g),7.7e-64,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,N(g),1.12e-43,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,CH4(g),1.63e-12,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,H2O(g),0.409,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,CO(g),0.00146,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,O2(g),2.4000000000000003e-37,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,H2S(g),5.56e-05,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,NaOH(g),4.5e-22,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,KH(g),1.7500000000000002e-32,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,CO2(g),0.237,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,N2(g),0.00604,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,Fe(g),1.1800000000000001e-29,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,H(g),1.29e-16,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,SO2(g),6.39e-14,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,Ni(g),4.8199999999999996e-30,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,SiO(g),4.7499999999999995e-40,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,Na(g),2.7e-20,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,OH(g),1.5e-22,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,O(g),1.79e-37,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,SO(g),1.31e-18,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,S2(g),7.63e-13,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,KCl(g),4.44e-10,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,HF(g),9.52e-11,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,NaCl(g),1.51e-09,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,Co(g),1.9099999999999997e-30,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,K(g),1.73e-22,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,CrO2(g),1.9400000000000003e-43,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,FeO(g),1.35e-38,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,Mg(g),2.8099999999999997e-38,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,Mn(g),9.31e-30,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,PO2(g),9.85e-38,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,PO(g),1.1900000000000002e-37,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,Ar(g),0.0,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,Zn(g),7.37e-12,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,ZnS(g),1.88e-25,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,ZnOH(g),7.540000000000001e-27,Murchison-vacc-Zn-GAS.csv
vacuum,500.0,1e-10,ZnO(g),2.15e-36,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,H2(g),0.347,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,C(g),4.37e-71,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,N(g),3.56e-49,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,CH4(g),1.71e-10,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,H2O(g),0.408,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,CO(g),0.000505,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,O2(g),5.260000000000001e-43,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,H2S(g),2.16e-05,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,NaOH(g),1.98e-25,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,KH(g),4.41e-37,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,CO2(g),0.238,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,N2(g),0.00604,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,Fe(g),7.130000000000001e-35,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,H(g),3.71e-19,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,SO2(g),8.43e-17,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,Ni(g),2.33e-35,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,SiO(g),1.05e-46,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,Na(g),3.17e-24,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,OH(g),7.78e-26,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,O(g),3.3e-43,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,SO(g),3.6300000000000003e-22,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,S2(g),1.1e-15,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,KCl(g),8.21e-12,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,HF(g),1.07e-12,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,NaCl(g),3.39e-11,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,Co(g),7.05e-36,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,K(g),1.1400000000000001e-26,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,CrO2(g),2.92e-50,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,FeO(g),8.089999999999999e-45,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,Mg(g),1.94e-44,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,Mn(g),6.29e-35,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,PO2(g),4.4e-44,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,PO(g),3.99e-44,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,Ar(g),0.0,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,Zn(g),3.59e-15,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,ZnS(g),2.7e-30,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,ZnOH(g),4.37e-31,Murchison-vacc-Zn-GAS.csv
vacuum,450.0,1e-10,ZnO(g),1.3199999999999999e-42,Murchison-vacc-Zn-GAS.csv
intermediate_oxidizing,2000.0,0.1,H2(g),0.000744,Murch-50airZn-GAS.csv
intermediate_oxidizing,2000.0,0.1,C(g),1.14e-20,Murch-50airZn-GAS.csv
intermediate_oxidizing,2000.0,0.1,N(g),7.04e-10,Murch-50airZn-GAS.csv
intermediate_oxidizing,2000.0,0.1,CH4(g),9.04e-20,Murch-50airZn-GAS.csv
intermediate_oxidizing,2000.0,0.1,H2O(g),0.251,Murch-50airZn-GAS.csv
intermediate_oxidizing,2000.0,0.1,CO(g),0.00108,Murch-50airZn-GAS.csv
intermediate_oxidizing,2000.0,0.1,O2(g),0.00939,Murch-50airZn-GAS.csv
intermediate_oxidizing,2000.0,0.1,H2S(g),4.81e-09,Murch-50airZn-GAS.csv
intermediate_oxidizing,2000.0,0.1,NaOH(g),0.00142,Murch-50airZn-GAS.csv
intermediate_oxidizing,2000.0,0.1,KH(g),2.87e-09,Murch-50airZn-GAS.csv
intermediate_oxidizing,2000.0,0.1,CO2(g),0.0792,Murch-50airZn-GAS.csv
