time,eccentricity,obliquity,precession
-0.0,0.016702362219234237,,1.7962567794425013
-1.0,0.017161060616215779,,1.7415492755566955
-2.0,0.017496889425003503,,1.6861238202231237
-3.0,0.017845633572780406,,1.6310772269825686
-4.0,0.01821114062520008,,1.5795032266638926
-5.0,0.018453562691045734,,1.5233014109974174
-6.0,0.018748770608518088,,1.4712735702522701
-7.0,0.018938216936490313,,1.4203899872735835
-8.0,0.019180956248766631,,1.3668062476216072
-9.0,0.019327632094950913,,1.315372700370383
-10.0,0.019427318024699738,,1.2676299080286997
-11.0,0.019601470181589829,,1.2151686455563095
-12.0,0.019617394184637479,,1.1686489387660692
-13.0,0.019656966974692536,,1.1195115825601625
-14.0,0.019688318611945532,,1.0742048027836308
-15.0,0.019642365997195023,,1.0277451466558234
-16.0,0.019574588238120506,,0.9820303125707982
-17.0,0.019497046103358909,,0.94048475347402916
-18.0,0.019362267009947486,,0.89677865305466897
-19.0,0.019238803693780601,,0.8541673666869416
-20.0,0.019016296147453846,,0.81650750460869626
-21.0,0.018856539308728857,,0.77573587960568968
-22.0,0.018635116877926343,,0.73852171403339817
-23.0,0.018364217285562236,,0.70252776672075168
-24.0,0.018120802415665448,,0.66792194510974934
-25.0,0.017897713549765586,,0.63577971423978319
-26.0,0.017541625384457089,,0.60206090496254827
-27.0,0.017317303552111009,,0.57663879473837554
-28.0,0.017011784044672726,,0.54782198695644713
-29.0,0.0167005286737506,,0.5221487705635548
-30.0,0.016421636825055035,,0.50182674608124334
-31.0,0.016107036850513776,,0.48194717684286736
-32.0,0.015846204551155128,,0.4614204947383227
-33.0,0.015524684095282348,,0.44994791234957887
-34.0,0.015256350976125981,,0.43566130168427453
-35.0,0.01503090692530698,,0.42561802645310198
-36.0,0.014747390229404609,,0.41800162729822787
-37.0,0.014528936817692366,,0.41237374082551881
-38.0,0.014379035573504364,,0.41137294365114663
-39.0,0.014157433917499872,,0.40725742031013645
-40.0,0.014051086366719662,,0.41052361808044147
-41.0,0.013954802162568209,,0.41412385892391335
-42.0,0.013867782118180984,,0.41506091816851765
-43.0,0.013860957822781291,,0.42153717605984209
-44.0,0.013846565133054297,,0.42939148600101351
-45.0,0.013943940482573499,,0.42989885715791409
-46.0,0.013991213809600464,,0.43872656847084635
-47.0,0.014142022120033225,,0.44305447659757036
-48.0,0.014340128694085616,,0.44514894434349905
-49.0,0.014542625566158703,,0.45002672321138881
-50.0,0.014763425788702331,,0.44881070402383649
-51.0,0.015119640391123587,,0.45240434688034448
-52.0,0.015380353556890771,,0.4479892043780902
-53.0,0.015736080323894647,,0.44534828071050736
-54.0,0.016125194664570613,,0.44318033432627857
-55.0,0.016495929291630507,,0.43379877363193131
-56.0,0.016903290386639302,,0.42584975919853463
-57.0,0.017323623876314639,,0.41957910855489189
-58.0,0.017767881766486276,,0.40412658944644964
-59.0,0.018210619617741165,,0.39399495008602248
-60.0,0.018627061290176668,,0.37989222695325431
-61.0,0.019140447206748609,,0.36414004177551718
-62.0,0.019567569329792738,,0.3476385147516865
-63.0,0.020010843452855347,,0.33031824629557782
-64.0,0.020532375782387969,,0.31088401230728291
-65.0,0.020960399824670298,,0.29206071682869705
-66.0,0.021448659375460338,,0.26880890495515875
-67.0,0.021925366830616976,,0.24971838976368943
-68.0,0.022424110960843194,,0.22554388913719503
-69.0,0.02290662323423925,,0.20139169390568767
-70.0,0.023403424504269847,,0.17940333852828338
-71.0,0.02391765471424382,,0.1535147573085629
-72.0,0.024467245378889318,,0.12795599315016126
-73.0,0.024933138539902363,,0.10343331990986826
-74.0,0.025530147976301047,,0.07714107563555217
-75.0,0.026078084481362142,,0.049948245161857585
-76.0,0.026589355413971338,,0.02387776136553299
-77.0,0.027208651255266676,,6.2794629887695965
-78.0,0.027766087024003051,,6.2524394400133758
-79.0,0.028339210356892176,,6.2230529890454269
-80.0,0.028930177162865091,,6.1958098886741979
-81.0,0.029529714338809257,,6.1672511732063215
-82.0,0.030116264751522247,,6.1356917037270913
-83.0,0.030705140050462276,,6.1080111253838103
-84.0,0.031288853878138428,,6.0764472824916416
-85.0,0.031924143222902823,,6.0448057489051434
-86.0,0.032475113640400649,,6.0131809796274949
-87.0,0.033064916962591735,,5.9808444797572831
-88.0,0.033725040722147194,,5.9472815017095391
-89.0,0.034234496033698304,,5.9134948067303803
-90.0,0.034873760968825419,,5.8789212621326934
-91.0,0.03544785893475224,,5.845023205427947
-92.0,0.036006809955278676,,5.807798179136876
-93.0,0.036580741117534878,,5.77267428548154
-94.0,0.037130998962549615,,5.736435776690203
-95.0,0.037681791747777221,,5.6975473145093218
-96.0,0.038227400691423892,,5.6609286087960839
-97.0,0.038705329818360813,,5.6221958214295222
-98.0,0.039303760088745109,,5.5835906262661865
-99.0,0.039747200135081102,,5.54448004684967
-100.0,0.040234052379652427,,5.5050444618035268
-101.0,0.040733331728098836,,5.4663462975205661
-102.0,0.041139761081534595,,5.425741125447983
-103.0,0.04155105435060872,,5.385175901035602
-104.0,0.041947187886111834,,5.3465100010213416
-105.0,0.042299419923075607,,5.3036689706205609
-106.0,0.042631025882848131,,5.2636262631550625
-107.0,0.0429045657041566,,5.2224673229467946
-108.0,0.043209967337343815,,5.1806087021375244
-109.0,0.043437133783688284,,5.1388022345132232
-110.0,0.043600354481848687,,5.0973512847758791
-111.0,0.043838606635038094,,5.0553337609305409
-112.0,0.043922434476632591,,5.0134481477547261
-113.0,0.044032859522385136,,4.9710450029959681
