source_file,condition,generation,well,well_index,n,initial,maximum,final,linear_slope_per_hour,peak_gain,post_peak_loss
FR_inc.xlsx,FR,gen0,E2,50,103,0.577,0.587,0.176,-0.016533343583886154,0.010000000000000009,0.411
FR_inc.xlsx,FR,gen0,E3,51,103,0.648,0.648,0.205,-0.019897882528664965,0.0,0.44300000000000006
FR_inc.xlsx,FR,gen0,E4,52,103,0.577,0.577,0.18,-0.016318455388129892,0.0,0.39699999999999996
FR_inc.xlsx,FR,gen0,E5,53,103,0.559,0.647,0.179,-0.023754667662434673,0.08799999999999997,0.468
FR_inc.xlsx,FR,gen0,E6,54,103,0.496,0.496,0.151,-0.016228045512454433,0.0,0.345
FR_inc.xlsx,FR,gen0,E7,55,103,0.583,0.583,0.169,-0.019098822650792973,0.0,0.4139999999999999
FR_inc.xlsx,FR,gen0,E8,56,103,0.533,0.533,0.15,-0.016471466854105356,0.0,0.383
FR_inc.xlsx,FR,gen0,E9,57,103,1.157,1.157,0.155,-0.0202529323902825,0.0,1.002
FR_inc.xlsx,FR,gen0,F1,61,103,0.438,0.438,0.13,-0.012716162193032562,0.0,0.308
FR_inc.xlsx,FR,gen0,F10,70,103,0.515,0.527,0.176,-0.01620003953784652,0.01200000000000001,0.35100000000000003
FR_inc.xlsx,FR,gen0,F11,71,103,0.588,0.604,0.134,-0.021033145894653625,0.016000000000000014,0.47
FR_inc.xlsx,FR,gen0,F12,72,103,0.49,0.529,0.15,-0.01708048148310857,0.039000000000000035,0.379
FR_inc.xlsx,FR,gen0,F2,62,103,0.517,0.528,0.139,-0.018073672187321546,0.01100000000000001,0.389
FR_inc.xlsx,FR,gen0,F3,63,103,0.473,0.473,0.141,-0.016685564292931533,0.0,0.33199999999999996
FR_inc.xlsx,FR,gen0,F4,64,103,0.572,0.573,0.152,-0.019390743750823707,0.0010000000000000009,0.42099999999999993
FR_inc.xlsx,FR,gen0,F5,65,103,0.489,0.489,0.14,-0.016402012037077734,0.0,0.349
FR_inc.xlsx,FR,gen0,F6,66,103,0.386,0.386,0.139,-0.012851842902956568,0.0,0.247
FR_inc.xlsx,FR,gen0,F7,67,103,0.452,0.452,0.131,-0.015299037912401708,0.0,0.321
FR_inc.xlsx,FR,gen0,F8,68,103,0.46,0.464,0.134,-0.01595503668233539,0.0040000000000000036,0.33
FR_inc.xlsx,FR,gen0,F9,69,103,0.509,0.509,0.147,-0.016270944075912668,0.0,0.362
FR_inc.xlsx,FR,gen0,G1,73,103,0.613,0.613,0.163,-0.018258906998198855,0.0,0.44999999999999996
FR_inc.xlsx,FR,gen0,G10,82,103,0.487,0.487,0.135,-0.016779993849668343,0.0,0.352
FR_inc.xlsx,FR,gen0,G11,83,103,0.463,0.463,0.123,-0.015122106049290528,0.0,0.34
