panel,group,row_label,replicate_index,value,source_file
Rhodamine B,after resuspending,575.0,43,7642.0,Fig3-data.xlsx
Rhodamine B,after resuspending,575.0,44,8535.0,Fig3-data.xlsx
Rhodamine B,after resuspending,575.0,45,6898.0,Fig3-data.xlsx
Rhodamine B,after resuspending,575.0,46,3929.0,Fig3-data.xlsx
Rhodamine B,after resuspending,575.0,47,3599.0,Fig3-data.xlsx
Rhodamine B,after resuspending,575.0,48,6217.0,Fig3-data.xlsx
Eu SDIP,unresuspended transfer,769.0,1,743.0,Fig3-data.xlsx
Eu SDIP,unresuspended transfer,769.0,2,771.0,Fig3-data.xlsx
Eu SDIP,resuspended transfer,769.0,3,847.0,Fig3-data.xlsx
Eu SDIP,resuspended transfer,769.0,4,833.0,Fig3-data.xlsx
Eu SDIP,resuspended transfer,769.0,5,873.0,Fig3-data.xlsx
Nile Red,before resuspension,152.0,1,101.0,Fig3-data.xlsx
Nile Red,before resuspension,152.0,2,83.0,Fig3-data.xlsx
