panel,group,row_label,replicate_index,value,source_file
Turbidity,before resuspending,0.161,46,0.099,Fig3-data.xlsx
Turbidity,before resuspending,0.161,47,0.12,Fig3-data.xlsx
Turbidity,before resuspending,0.161,48,0.081,Fig3-data.xlsx
Turbidity,before resuspending,0.161,49,0.117,Fig3-data.xlsx
Turbidity,before resuspending,0.161,50,0.075,Fig3-data.xlsx
Turbidity,before resuspending,0.161,51,0.107,Fig3-data.xlsx
Turbidity,before resuspending,0.161,52,0.122,Fig3-data.xlsx
Turbidity,before resuspending,0.161,53,0.106,Fig3-data.xlsx
Turbidity,before resuspending,0.161,54,0.096,Fig3-data.xlsx
Turbidity,before resuspending,0.161,55,0.081,Fig3-data.xlsx
Turbidity,before resuspending,0.161,56,0.103,Fig3-data.xlsx
Turbidity,before resuspending,0.161,57,0.065,Fig3-data.xlsx
Turbidity,before resuspending,0.161,58,0.101,Fig3-data.xlsx
Turbidity,before resuspending,0.161,59,0.092,Fig3-data.xlsx
Turbidity,before resuspending,0.161,60,0.073,Fig3-data.xlsx
Turbidity,before resuspending,0.161,61,0.099,Fig3-data.xlsx
Turbidity,before resuspending,0.161,62,0.169,Fig3-data.xlsx
Turbidity,before resuspending,0.161,63,0.105,Fig3-data.xlsx
Turbidity,before resuspending,0.161,64,0.132,Fig3-data.xlsx
Turbidity,before resuspending,0.161,65,0.103,Fig3-data.xlsx
Turbidity,before resuspending,0.161,66,0.191,Fig3-data.xlsx
Turbidity,before resuspending,0.161,67,0.104,Fig3-data.xlsx
Turbidity,before resuspending,0.161,68,0.085,Fig3-data.xlsx
Turbidity,before resuspending,0.161,69,0.077,Fig3-data.xlsx
Turbidity,before resuspending,0.161,70,0.088,Fig3-data.xlsx
Turbidity,before resuspending,0.161,71,0.105,Fig3-data.xlsx
Turbidity,before resuspending,0.161,72,0.089,Fig3-data.xlsx
Turbidity,before resuspending,0.161,73,0.11,Fig3-data.xlsx
Turbidity,before resuspending,0.161,74,0.06,Fig3-data.xlsx
Turbidity,before resuspending,0.161,75,0.096,Fig3-data.xlsx
Turbidity,before resuspending,0.161,76,0.094,Fig3-data.xlsx
Turbidity,before resuspending,0.161,77,0.084,Fig3-data.xlsx
Turbidity,before resuspending,0.161,78,0.087,Fig3-data.xlsx
Turbidity,before resuspending,0.161,79,0.076,Fig3-data.xlsx
Turbidity,before resuspending,0.161,80,0.065,Fig3-data.xlsx
Turbidity,before resuspending,0.161,81,0.093,Fig3-data.xlsx
