sample_id,tracer,final_value,uncertainty,candidate_source,unit,compilation,reference
s_D2 [20691],W,0.7,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[20691]
s_16-SF-214 [24837],W,1.049404,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[24837]
s_16-RM-308 [24837],W,0.873313,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[24837]
s_ET-1 [25716],W,0.170291,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[25716]
s_ET-2 [25716],W,0.247256,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[25716]
s_ET-3 [25716],W,0.8927,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[25716]
s_ET-4 [25716],W,0.782508,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[25716]
s_ET-5 [25716],W,0.604471,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[25716]
s_ET-6 [25716],W,0.531825,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[25716]
s_ET 1 [25797],W,0.171,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[25797]
s_ET 2 [25797],W,0.247,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[25797]
s_ET 3 [25797],W,0.893,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[25797]
s_ET 4 [25797],W,0.783,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[25797]
s_1L [16433],W,2.0,,VOL | COMPLEX VOLCANIC SETTINGS,ppm,georoc_contextes_volcaniques_complexes,[16433]
