branch,round,sequence_id,cluster,frequency,relative_frequency,source_table
71-89,4,Seq15,Seq15,3.8e-06,0.0001048853,Papastavrou_23_fig_3_data.xlsx:Fig 3B Frequency Data
71-89,5,Seq15,Seq15,1.28e-05,0.0003532979,Papastavrou_23_fig_3_data.xlsx:Fig 3B Frequency Data
71-89,6,Seq15,Seq15,0.00021133,0.005833003,Papastavrou_23_fig_3_data.xlsx:Fig 3B Frequency Data
71-89,7,Seq15,Seq15,0.00186941,0.05159833,Papastavrou_23_fig_3_data.xlsx:Fig 3B Frequency Data
71-89,8,Seq15,Seq15,0.01640764,0.4528738,Papastavrou_23_fig_3_data.xlsx:Fig 3B Frequency Data
71-89,1,Seq35,Seq35,1.037e-05,0.0001714646,Papastavrou_23_fig_3_data.xlsx:Fig 3B Frequency Data
71-89,2,Seq35,Seq35,4.898e-05,0.0008098683,Papastavrou_23_fig_3_data.xlsx:Fig 3B Frequency Data
71-89,3,Seq35,Seq35,0.0001811,0.002994429,Papastavrou_23_fig_3_data.xlsx:Fig 3B Frequency Data
71-89,4,Seq35,Seq35,0.00055,0.00909407,Papastavrou_23_fig_3_data.xlsx:Fig 3B Frequency Data
71-89,5,Seq35,Seq35,0.00150561,0.02489477,Papastavrou_23_fig_3_data.xlsx:Fig 3B Frequency Data
71-89,6,Seq35,Seq35,0.00327124,0.05408888,Papastavrou_23_fig_3_data.xlsx:Fig 3B Frequency Data
71-89,7,Seq35,Seq35,0.00515593,0.08525162,Papastavrou_23_fig_3_data.xlsx:Fig 3B Frequency Data
71-89,8,Seq35,Seq35,0.00756462,0.1250785,Papastavrou_23_fig_3_data.xlsx:Fig 3B Frequency Data
52-2,1,Seq0,Seq2,0.04113012,0.1361222933,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,2,Seq0,Seq2,0.00599881,0.0198533769,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,3,Seq0,Seq2,0.00084999,0.0028130866,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,4,Seq0,Seq2,0.00046336,0.0015335143,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,5,Seq0,Seq2,0.00130132,0.0043067869,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,6,Seq0,Seq2,0.00092479,0.0030606411,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,7,Seq0,Seq2,0.00074931,0.0024798808,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,8,Seq0,Seq2,0.00024088,0.000797205,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,1,Seq2,Seq2,0.00011433,0.0003783811,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,2,Seq2,Seq2,0.00035229,0.0011659223,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,3,Seq2,Seq2,0.00073749,0.0024407619,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,4,Seq2,Seq2,0.0020851,0.006900748,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,5,Seq2,Seq2,0.00499323,0.016525357,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,6,Seq2,Seq2,0.01230728,0.0407315898,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,7,Seq2,Seq2,0.01948354,0.0644817994,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,8,Seq2,Seq2,0.00739761,0.024482779,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
52-2,1,Seq5,Seq5,0.01080505,0.0904193278,Papastavrou_23_fig_S3_data.xlsx:Fig S3B Frequency Data
