time,variable,value,region
1856.03833,hadcrut5_surface_temperature_anomaly_C,-0.0827842737239999,global
1856.123203,hadcrut5_surface_temperature_anomaly_C,-0.3471899428000001,global
1856.202601,hadcrut5_surface_temperature_anomaly_C,-0.3712111094500001,global
1856.287474,hadcrut5_surface_temperature_anomaly_C,-0.3144879565,global
1856.36961,hadcrut5_surface_temperature_anomaly_C,-0.2925330018250001,global
1856.454483,hadcrut5_surface_temperature_anomaly_C,-0.225215819415,global
1856.536619,hadcrut5_surface_temperature_anomaly_C,-0.22290183521,global
1856.621492,hadcrut5_surface_temperature_anomaly_C,-0.2485538548449999,global
1856.706366,hadcrut5_surface_temperature_anomaly_C,-0.4017519189000003,global
1856.788501,hadcrut5_surface_temperature_anomaly_C,-0.4460411680499996,global
1856.873374,hadcrut5_surface_temperature_anomaly_C,-0.5613175570500001,global
1856.95551,hadcrut5_surface_temperature_anomaly_C,-0.42309566455,global
1857.03833,hadcrut5_surface_temperature_anomaly_C,-0.4942921195999997,global
1857.123203,hadcrut5_surface_temperature_anomaly_C,-0.4418784985,global
1857.199863,hadcrut5_surface_temperature_anomaly_C,-0.4883308371500001,global
1857.284736,hadcrut5_surface_temperature_anomaly_C,-0.6748064472,global
1857.366872,hadcrut5_surface_temperature_anomaly_C,-0.65390847825,global
1857.451745,hadcrut5_surface_temperature_anomaly_C,-0.29117428187,global
1857.533881,hadcrut5_surface_temperature_anomaly_C,-0.4041043710999999,global
1857.618754,hadcrut5_surface_temperature_anomaly_C,-0.3555938415500002,global
1857.703628,hadcrut5_surface_temperature_anomaly_C,-0.3682939739499999,global
1857.785763,hadcrut5_surface_temperature_anomaly_C,-0.4669889942999997,global
1857.870637,hadcrut5_surface_temperature_anomaly_C,-0.6621181262999997,global
1857.952772,hadcrut5_surface_temperature_anomaly_C,-0.288781070145,global
1858.03833,hadcrut5_surface_temperature_anomaly_C,-0.33611944935,global
1858.123203,hadcrut5_surface_temperature_anomaly_C,-0.4876385911999999,global
1858.199863,hadcrut5_surface_temperature_anomaly_C,-0.5660632776499999,global
1858.284736,hadcrut5_surface_temperature_anomaly_C,-0.4297229090499997,global
1858.366872,hadcrut5_surface_temperature_anomaly_C,-0.5225210983000003,global
1858.451745,hadcrut5_surface_temperature_anomaly_C,-0.3600061957300001,global
1858.533881,hadcrut5_surface_temperature_anomaly_C,-0.3405266820999999,global
1858.618754,hadcrut5_surface_temperature_anomaly_C,-0.28751694375,global
1858.703628,hadcrut5_surface_temperature_anomaly_C,-0.280097892975,global
1858.785763,hadcrut5_surface_temperature_anomaly_C,-0.2918050265499998,global
1858.870637,hadcrut5_surface_temperature_anomaly_C,-0.4044499701499998,global
1858.952772,hadcrut5_surface_temperature_anomaly_C,-0.4546053044000002,global
1859.03833,hadcrut5_surface_temperature_anomaly_C,-0.4054150841499999,global
1859.123203,hadcrut5_surface_temperature_anomaly_C,-0.35083188612,global
1859.199863,hadcrut5_surface_temperature_anomaly_C,-0.32237455508,global
1859.284736,hadcrut5_surface_temperature_anomaly_C,-0.1889671532150001,global
1859.366872,hadcrut5_surface_temperature_anomaly_C,-0.169870696153,global
1859.451745,hadcrut5_surface_temperature_anomaly_C,-0.2400706827135,global
1859.533881,hadcrut5_surface_temperature_anomaly_C,-0.290495715525,global
1859.618754,hadcrut5_surface_temperature_anomaly_C,-0.26642037732,global
1859.703628,hadcrut5_surface_temperature_anomaly_C,-0.4007376342500002,global
1859.785763,hadcrut5_surface_temperature_anomaly_C,-0.2471042242799999,global
1859.870637,hadcrut5_surface_temperature_anomaly_C,-0.3100562265250001,global
1859.952772,hadcrut5_surface_temperature_anomaly_C,-0.3113834495750001,global
1860.03833,hadcrut5_surface_temperature_anomaly_C,-0.3903601644000001,global
