experiment_id,element,pressure_gpa,temperature_k,delta_iw,logD,uncertainty,D_original,pressure_min_gpa,pressure_max_gpa,temperature_min_k,temperature_max_k,oxygen_fugacity_original,condition_original,source_id,value_type,source_status,nbo_t,h2o,source_file
D-N-30GPA,N,30.5,3000.0,-3.1,1.4913616938342726,,31.0,30.5,30.5,3000.0,3000.0,IW-3.1,"statistique de coordination locale, systeme biphase",S28,point,calcul_appuye_experience,,,
D-N-37GPA,N,37.1,4000.0,-2.2,1.255272505103306,,18.0,37.1,37.1,4000.0,4000.0,IW-2.2,"statistique de coordination locale, systeme biphase",S28,point,calcul_appuye_experience,,,
D-N-131GPA,N,131.0,5000.0,-2.1,1.380211241711606,,24.0,131.0,131.0,5000.0,5000.0,IW-2.1,"statistique de coordination locale, systeme biphase",S28,point,calcul_appuye_experience,,,
D-H-MIN,H,45.0,3850.0,,1.462397997898956,,29.0,30.0,60.0,3100.0,4600.0,,"borne inferieure, fer fondu et silicate fondu",S29,borne_inferieure,experience,,,
D-S-MIN,S,68.5,3600.0,,0.9030899869919436,,8.0,46.0,91.0,3100.0,4100.0,,borne basse en cellule a enclumes de diamant,S30,point,experience,,,
D-S-MAX,S,68.5,3600.0,,1.740362689494244,,55.0,46.0,91.0,3100.0,4100.0,,borne haute en cellule a enclumes de diamant,S30,point,experience,,,
D-C-BSE,C,1.5,1798.0,,1.5314789170422551,0.1335389083702174,34.0,1.5,1.5,1573.0,2023.0,,"NBO/T de 2.6, valeur retenue pour la Terre silicatee, +/-9",S31,point,experience,,,
D-C-MIN,C,1.5,1798.0,,1.146128035678238,0.104735350520013,14.0,1.5,1.5,1573.0,2023.0,,"NBO/T de 3.11, silicate le plus depolymerise, +/-3",S31,point,experience,,,
D-C-MAX,C,1.5,1798.0,,2.806179973983887,0.0345924931026315,640.0,1.5,1.5,1573.0,2023.0,,"NBO/T de 1.04, silicate le plus polymerise, +/-49",S31,point,experience,,,
YT2009,C,54.0,4060.0,-0.595881234,1.140662693,0.116075806,,,,,,,,this study,,,2.236308043,0.0,Dataset_Fig4_FigS1_FigS2_DC_1.csv
YT2151,C,43.0,3930.0,-0.928857945,1.887997914,0.195923433,,,,,,,,this study,,,1.768101529,0.0,Dataset_Fig4_FigS1_FigS2_DC_1.csv
YT2152,C,33.0,4060.0,-1.252991937,1.923286308,0.127066507,,,,,,,,this study,,,1.463861579,0.0,Dataset_Fig4_FigS1_FigS2_DC_1.csv
YT2208,C,46.0,3980.0,-2.093425036,2.56686471,0.382038747,,,,,,,,this study,,,0.510648917,0.0,Dataset_Fig4_FigS1_FigS2_DC_1.csv
YT2209,C,41.0,3660.0,-1.259544229,2.148330443,0.19176052,,,,,,,,this study,,,1.014099023,0.0,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Blanchard 21:row2,C,60.0,3800.0,-1.26604,2.280709115,0.030766822,,,,,,,,Blanchard 21,,,0.95341,,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Blanchard 21:row3,C,71.0,4000.0,-1.35226,1.906984793,0.076754042,,,,,,,,Blanchard 21,,,0.58094,,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Blanchard 21:row4,C,49.0,3600.0,-1.19603,1.540201832,0.045974848,,,,,,,,Blanchard 21,,,1.34119,,Dataset_Fig4_FigS1_FigS2_DC_1.csv
Blanchard 21:row5,C,56.0,3700.0,-1.74626,2.325277869,0.036232777,,,,,,,,Blanchard 21,,,0.55538,,Dataset_Fig4_FigS1_FigS2_DC_1.csv
