series,window_start_years_before_j2000,window_end_years_before_j2000,peak_period_years,relative_period_error,normalized_band_power
ORI-C reduced,0.0,5000000.0,384692.3076923077,0.050142450142450154,0.5304028940710057
La2010a,0.0,5000000.0,384692.3076923077,0.050142450142450154,0.5229581172274875
ORI-C reduced,1000000.0,6000000.0,357214.2857142857,0.11798941798941807,0.531528009419349
La2010a,1000000.0,6000000.0,357214.2857142857,0.11798941798941807,0.5260049092879906
ORI-C reduced,2000000.0,7000000.0,416750.0,0.029012345679012345,0.5406098704115788
La2010a,2000000.0,7000000.0,416750.0,0.029012345679012345,0.5281283031346377
ORI-C reduced,3000000.0,8000000.0,416750.0,0.029012345679012345,0.5255645261038697
La2010a,3000000.0,8000000.0,416750.0,0.029012345679012345,0.5237410253268446
ORI-C reduced,4000000.0,9000000.0,357214.2857142857,0.11798941798941807,0.5354572850423309
La2010a,4000000.0,9000000.0,416750.0,0.029012345679012345,0.5338594443090152
ORI-C reduced,5000000.0,10000000.0,384692.3076923077,0.050142450142450154,0.527933312585038
La2010a,5000000.0,10000000.0,384692.3076923077,0.050142450142450154,0.5212698704619624
ORI-C reduced,6000000.0,11000000.0,357214.2857142857,0.11798941798941807,0.5221549043195426
La2010a,6000000.0,11000000.0,357214.2857142857,0.11798941798941807,0.5222085504388722
ORI-C reduced,7000000.0,12000000.0,384692.3076923077,0.050142450142450154,0.5353006455411641
La2010a,7000000.0,12000000.0,416750.0,0.029012345679012345,0.5294059850327812
ORI-C reduced,8000000.0,13000000.0,384692.3076923077,0.050142450142450154,0.5352642293130268
La2010a,8000000.0,13000000.0,384692.3076923077,0.050142450142450154,0.5293362703340516
ORI-C reduced,9000000.0,14000000.0,416750.0,0.029012345679012345,0.5327097868572767
La2010a,9000000.0,14000000.0,384692.3076923077,0.050142450142450154,0.5270079111562067
ORI-C reduced,10000000.0,15000000.0,416750.0,0.029012345679012345,0.5341972836882056
La2010a,10000000.0,15000000.0,454636.36363636365,0.12255892255892259,0.5316727769055075
ORI-C reduced,11000000.0,16000000.0,454636.36363636365,0.12255892255892259,0.5384127817295213
La2010a,11000000.0,16000000.0,454636.36363636365,0.12255892255892259,0.530082214103193
ORI-C reduced,12000000.0,17000000.0,454636.36363636365,0.12255892255892259,0.5325774027439042
La2010a,12000000.0,17000000.0,454636.36363636365,0.12255892255892259,0.5215047979936988
ORI-C reduced,13000000.0,18000000.0,454636.36363636365,0.12255892255892259,0.5248516182270542
La2010a,13000000.0,18000000.0,454636.36363636365,0.12255892255892259,0.5264545609390533
ORI-C reduced,14000000.0,19000000.0,454636.36363636365,0.12255892255892259,0.5394236528293354
La2010a,14000000.0,19000000.0,454636.36363636365,0.12255892255892259,0.5233183477619282
ORI-C reduced,15000000.0,20000000.0,454636.36363636365,0.12255892255892259,0.5210578222316432
La2010a,15000000.0,20000000.0,454636.36363636365,0.12255892255892259,0.5219738838609473
