frequency_per_year,period_years,power,log10_prominence
2.449877506124694e-06,408183.67346938775,76.01983189647225,2.5574250707782364
1.0499475026248687e-05,95242.85714285714,47.02325843737206,2.991858355861676
7.999600019999e-06,125006.24999999999,27.9153133509915,2.04650700338762
1.0099495025248738e-05,99014.85148514851,22.1631431157825,0.17847821362215144
7.799610019499025e-06,128211.53846153847,16.26576424825162,0.5999630160930434
4.4997750112494376e-07,2222333.3333333335,7.556004611173747,0.07659799752341845
1.0499475026248687e-06,952428.5714285715,6.186137095472918,0.9433378555409322
9.549522523873805e-06,104717.277486911,3.953945652152867,0.17716372223391097
9.449527523623818e-06,105825.39682539683,3.929699478421554,0.05979020461427742
1.4499275036248187e-06,689689.6551724138,3.551806640261799,0.5373743065565845
1.9499025048747563e-06,512846.1538461539,3.476184278352716,0.23284302260084622
2.199890005499725e-06,454568.1818181819,3.423358608529535,0.0617306180554702
