frequency_per_year,period_years,power
9.995002498750624e-07,1000500.0000000001,16.82801696839331
1.4992503748125936e-06,667000.0,17.001289033527694
1.999000499750125e-06,500250.00000000006,16.99768473888408
2.4987506246876562e-06,400200.0,17.041672902525516
2.9985007496251872e-06,333500.0,15.845069319557533
3.498250874562718e-06,285857.1428571429,15.32598260065715
3.99800099950025e-06,250125.00000000003,15.551272554318944
4.497751124437781e-06,222333.33333333334,1.4672634179004316
4.9975012493753125e-06,200100.0,0.8249600969700183
5.497251374312843e-06,181909.09090909094,0.8617130397922477
5.9970014992503744e-06,166750.0,1.7052036423258643
6.496751624187906e-06,153923.07692307694,5.3832363845426885
6.996501749125436e-06,142928.57142857145,5.118062702131625
7.496251874062968e-06,133400.0,4.868304258655682
7.9960019990005e-06,125062.50000000001,6.098273042093235
8.49575212393803e-06,117705.88235294119,7.28482141375801
8.995502248875562e-06,111166.66666666667,8.715312234202274
9.495252373813093e-06,105315.78947368421,8.075992298434688
9.995002498750625e-06,100050.0,5.236540779066744
1.0494752623688155e-05,95285.71428571429,4.234615393021199
1.0994502748625686e-05,90954.54545454547,4.182795354703691
1.1494252873563218e-05,87000.0,4.021188127093252
1.1994002998500749e-05,83375.0,2.8769466626486
1.249375312343828e-05,80040.00000000001,0.7263911805462849
1.2993503248375812e-05,76961.53846153847,0.3095417678154755
1.3493253373313342e-05,74111.11111111112,0.2753846780123255
1.3993003498250873e-05,71464.28571428572,0.24614760059601323
1.4492753623188405e-05,69000.0,0.2128388351780742
1.4992503748125936e-05,66700.0,0.10871981471554469
1.5492253873063468e-05,64548.3870967742,0.07476935169262047
1.5992003998001e-05,62531.25000000001,0.12634522598768386
1.649175412293853e-05,60636.36363636364,0.11003154555313406
1.699150424787606e-05,58852.941176470595,0.1550052760309742
1.7491254372813594e-05,57171.42857142857,0.14403198969904338
1.7991004497751124e-05,55583.333333333336,0.13091841423183875
1.8490754622688655e-05,54081.08108108109,0.12744180187493076
1.8990504747626185e-05,52657.89473684211,0.11522136178003947
1.9490254872563716e-05,51307.69230769231,0.11165757913095188
1.999000499750125e-05,50025.0,0.05775621168337876
2.048975512243878e-05,48804.87804878049,0.0206948626231404
2.098950524737631e-05,47642.857142857145,0.010582920208116903
2.148925537231384e-05,46534.88372093024,0.005829719944356715
2.1989005497251372e-05,45477.272727272735,0.005744532376317771
2.2488755622188903e-05,44466.66666666667,0.006780380775750621
2.2988505747126437e-05,43500.0,0.005803722514855983
2.3488255872063967e-05,42574.46808510638,0.006044199356886394
2.3988005997001498e-05,41687.5,0.008340719879513637
2.4487756121939028e-05,40836.73469387755,0.009649915161056595
2.498750624687656e-05,40020.00000000001,0.009460440769433809
2.5487256371814093e-05,39235.294117647056,0.010935244744913749
2.5987006496751623e-05,38480.769230769234,0.007407842024061121
2.6486756621689154e-05,37754.71698113208,0.008678394492953014
2.6986506746626685e-05,37055.55555555556,0.008806398291083838
2.7486256871564215e-05,36381.818181818184,0.007691621666483283
2.7986006996501746e-05,35732.14285714286,0.00989459393540419
2.848575712143928e-05,35105.26315789474,0.005404088393213846
2.898550724637681e-05,34500.0,0.0060293303837816265
2.948525737131434e-05,33915.254237288136,0.005980673969100571
2.998500749625187e-05,33350.0,0.006334061458478523
3.0484757621189402e-05,32803.278688524595,0.005486317513232239
3.0984507746126936e-05,32274.1935483871,0.00404933259388004
3.1484257871064466e-05,31761.904761904763,0.0031904019527015585
3.1984007996002e-05,31265.625000000004,0.0026530563627978295
3.248375812093953e-05,30784.615384615387,0.002991999409007566
3.298350824587706e-05,30318.18181818182,0.002570461697106562
3.348325837081459e-05,29865.671641791047,0.0022307570300943978
3.398300849575212e-05,29426.470588235297,0.001807743878748436
3.448275862068965e-05,29000.000000000004,0.002047724133541196
3.498250874562719e-05,28585.714285714286,0.0018755831204191778
3.548225887056472e-05,28183.098591549297,0.001935285147749717
3.598200899550225e-05,27791.666666666668,0.0015647194266744237
3.648175912043978e-05,27410.95890410959,0.0014301997371690186
3.698150924537731e-05,27040.540540540544,0.0012831005865649192
3.748125937031484e-05,26680.000000000004,0.0009703396610464
3.798100949525237e-05,26328.947368421053,0.0010214747145501865
3.84807596201899e-05,25987.01298701299,0.0004564389282307058
3.898050974512743e-05,25653.846153846156,0.00036739519050601945
3.948025987006496e-05,25329.113924050635,0.0005916358284425086
3.99800099950025e-05,25012.5,0.0006293144317956717
4.047976011994003e-05,24703.703703703704,0.0005977718669376384
4.097951024487756e-05,24402.439024390245,0.0006673812140456404
4.147926036981509e-05,24108.43373493976,0.00047973825745539317
4.197901049475262e-05,23821.428571428572,0.0005615319547187828
4.247876061969015e-05,23541.176470588238,0.0007595267552011718
4.297851074462768e-05,23267.44186046512,0.0007530035128468157
4.3478260869565214e-05,23000.000000000004,0.0009253783197810905
4.3978010994502744e-05,22738.636363636368,0.0006723811822861961
4.4477761119440275e-05,22483.14606741573,0.0005826244529975345
4.4977511244377805e-05,22233.333333333336,0.0005709913590760268
4.547726136931534e-05,21989.01098901099,0.0006673710998126157
4.597701149425287e-05,21750.0,0.0007389564084684233
4.6476761619190404e-05,21516.129032258064,0.0006507474470313603
4.6976511744127934e-05,21287.23404255319,0.0003267968392283935
4.7476261869065465e-05,21063.157894736843,0.00038181318718345244
4.7976011994002995e-05,20843.75,0.0004752092686325216
4.8475762118940526e-05,20628.865979381444,0.00042765719680296077
4.8975512243878057e-05,20418.367346938776,0.00042360355262919066
4.947526236881559e-05,20212.121212121216,0.0002720234946431366
4.997501249375312e-05,20010.000000000004,0.000266146364913129
5.047476261869065e-05,19811.881188118816,0.0002918439340297498
5.0974512743628186e-05,19617.647058823528,0.00032830422150688116
5.1474262868565716e-05,19427.18446601942,0.0003110014119959171
5.197401299350325e-05,19240.384615384617,0.00020688430276002441
5.247376311844078e-05,19057.14285714286,0.00019974893306533075
5.297351324337831e-05,18877.35849056604,0.0001813781260733928
5.347326336831584e-05,18700.934579439254,0.00024052215637522994
5.397301349325337e-05,18527.77777777778,0.00024022128277483503
5.44727636181909e-05,18357.798165137618,0.00023548061286310745
5.497251374312843e-05,18190.909090909092,0.00024332100014058647
5.547226386806596e-05,18027.02702702703,0.00016084842598389646
