bin_start_years,elapsed_mid_years,ensemble_std_rms,difference_rms,difference_median
0.0,124500.0,4.0234008151530996e-11,4.35591892164887e-11,1.1605124847213766e-11
250000.0,374500.0,1.7413504138740912e-10,1.8159054425277292e-10,9.771702631083956e-11
500000.0,624500.0,3.740141415094759e-10,3.930752146168782e-10,2.112203224824416e-10
750000.0,874500.0,6.820162983038488e-10,7.567185176520976e-10,3.6622562491275823e-10
1000000.0,1124500.0,1.1615722113320001e-09,1.3068442933874031e-09,6.459055269802949e-10
1250000.0,1374500.0,1.7395589424213774e-09,1.9468575308856677e-09,1.0029530261856934e-09
1500000.0,1624500.0,2.0996351750942706e-09,2.3195631133582716e-09,1.2883662990625933e-09
1750000.0,1874500.0,2.3572689776716202e-09,2.610320236286516e-09,1.5416916996496832e-09
2000000.0,2124500.0,2.7096434636177467e-09,3.052990926229877e-09,1.7825619487432665e-09
2250000.0,2374500.0,2.9021463353873156e-09,3.3153430801119423e-09,1.898893624806275e-09
2500000.0,2624500.0,3.2123678376224087e-09,3.715538761989391e-09,2.1104262235352444e-09
2750000.0,2874500.0,3.734766479919372e-09,4.310704124791756e-09,2.2147584740565135e-09
3000000.0,3124500.0,4.569025386926596e-09,5.220610169697365e-09,2.5751811759400223e-09
3250000.0,3374500.0,5.778478837387504e-09,6.64673944846551e-09,3.128875049676627e-09
3500000.0,3624500.0,6.741420931810495e-09,7.758454329250587e-09,3.92067647445038e-09
3750000.0,3874500.0,7.155107837980185e-09,8.30514759333455e-09,3.790377676006831e-09
4000000.0,4124500.0,7.4041408620070675e-09,8.721877310280979e-09,4.379512174787492e-09
4250000.0,4374500.0,7.176014015982597e-09,8.541742272599864e-09,4.426597849990083e-09
4500000.0,4624500.0,7.388924839508673e-09,8.840974998690183e-09,5.117978872301587e-09
4750000.0,4874500.0,7.977567401633182e-09,9.56077152171659e-09,5.622028701086912e-09
5000000.0,5124500.0,9.16758219044825e-09,1.0967438817390815e-08,6.7897585479329e-09
5250000.0,5374500.0,1.0674352002814986e-08,1.2767800829086757e-08,7.32881724882159e-09
5500000.0,5624500.0,1.2433896327817238e-08,1.4772900396395204e-08,8.868368601110121e-09
5750000.0,5874500.0,1.3970098093184012e-08,1.654102871465409e-08,9.419307124645254e-09
6000000.0,6124500.0,1.5660518796181734e-08,1.8729204181492784e-08,1.1056721924314339e-08
6250000.0,6374500.0,1.5090727810391323e-08,1.8215647597769967e-08,1.0087158124408302e-08
6500000.0,6624500.0,1.4545241690260064e-08,1.765667643363915e-08,1.001933932516649e-08
6750000.0,6874500.0,1.4658830713582537e-08,1.7882906290824116e-08,1.028958302416727e-08
7000000.0,7124500.0,1.4666288560483049e-08,1.812110684449698e-08,1.0203059975025242e-08
7250000.0,7374500.0,1.4836959393686123e-08,1.8403498270126936e-08,1.1038228050347376e-08
7500000.0,7624500.0,1.5982503951911146e-08,2.0111703888842407e-08,1.1783840099879872e-08
7750000.0,7874500.0,1.763079019269944e-08,2.241272628186013e-08,1.1956091500522903e-08
8000000.0,8124500.0,2.0617884568829617e-08,2.657800274207845e-08,1.3446513450442177e-08
8250000.0,8374500.0,2.3891888038676868e-08,3.098091872629363e-08,1.5604940898500397e-08
8500000.0,8624500.0,2.4973533889238798e-08,3.27038735477209e-08,1.7102770777724374e-08
8750000.0,8874500.0,2.4571608878564398e-08,3.232102237893598e-08,1.6561492099595454e-08
9000000.0,9124500.0,2.2639171144647416e-08,2.9890357764715284e-08,1.6644792450587476e-08
9250000.0,9374500.0,2.1126318462281167e-08,2.8180468904867922e-08,1.6027405600610445e-08
9500000.0,9624500.0,2.152675933547993e-08,2.870505424307479e-08,1.7109532099261748e-08
9750000.0,9874500.0,2.369407546245264e-08,3.163914742914404e-08,1.775723592473133e-08
10000000.0,10000000.0,2.983023369864972e-08,4.1010040488625634e-08,2.4871540646453916e-08
