frequency_per_year,period_years,power
9.995002498750624e-07,1000500.0000000001,6.975696197064841
1.4992503748125936e-06,667000.0,7.237803319267333
1.999000499750125e-06,500250.00000000006,7.344755438270222
2.4987506246876562e-06,400200.0,7.360937753652432
2.9985007496251872e-06,333500.0,6.186110354422796
3.498250874562718e-06,285857.1428571429,5.497074266859704
3.99800099950025e-06,250125.00000000003,5.591911413489816
4.497751124437781e-06,222333.33333333334,0.49026814345791303
4.9975012493753125e-06,200100.0,0.35029782270787935
5.497251374312843e-06,181909.09090909094,0.3695862506304567
5.9970014992503744e-06,166750.0,2.898338777570814
6.496751624187906e-06,153923.07692307694,6.789230524897712
6.996501749125436e-06,142928.57142857145,7.3154256182679225
7.496251874062968e-06,133400.0,7.925729208819994
7.9960019990005e-06,125062.50000000001,7.776897462937098
8.49575212393803e-06,117705.88235294119,14.45354381179108
8.995502248875562e-06,111166.66666666667,16.906093370585033
9.495252373813093e-06,105315.78947368421,17.29546316779979
9.995002498750625e-06,100050.0,9.94785169006794
1.0494752623688155e-05,95285.71428571429,9.910407257739404
1.0994502748625686e-05,90954.54545454547,9.417346464442227
1.1494252873563218e-05,87000.0,9.382378203889873
1.1994002998500749e-05,83375.0,7.987241965622236
1.249375312343828e-05,80040.00000000001,0.45361500102693914
1.2993503248375812e-05,76961.53846153847,0.3378992945526624
1.3493253373313342e-05,74111.11111111112,0.2558820287886133
1.3993003498250873e-05,71464.28571428572,0.26330524873026195
1.4492753623188405e-05,69000.0,0.2696104221488873
1.4992503748125936e-05,66700.0,0.182293848275415
1.5492253873063468e-05,64548.3870967742,0.17984049121879683
1.5992003998001e-05,62531.25000000001,0.1471809450852494
1.649175412293853e-05,60636.36363636364,0.3822640732193997
1.699150424787606e-05,58852.941176470595,0.3903802638663903
1.7491254372813594e-05,57171.42857142857,0.41464147490767683
1.7991004497751124e-05,55583.333333333336,0.4211489192764513
1.8490754622688655e-05,54081.08108108109,0.36685002289176266
1.8990504747626185e-05,52657.89473684211,0.3765361804578652
1.9490254872563716e-05,51307.69230769231,0.37332785279187564
1.999000499750125e-05,50025.0,0.2752242803163547
2.048975512243878e-05,48804.87804878049,0.09319545132305875
2.098950524737631e-05,47642.857142857145,0.0892493260601989
2.148925537231384e-05,46534.88372093024,0.062208544546835214
