frequency_per_year,period_years,power
2.4998750062496877e-07,4000199.9999999995,8.280024304882147
2.999850007499625e-07,3333500.0,10.171919154894164
3.499825008749562e-07,2857285.7142857146,10.32807199301262
3.9998000099995e-07,2500125.0,10.342912092022475
4.4997750112494376e-07,2222333.3333333335,10.466994940345684
4.999750012499375e-07,2000099.9999999998,10.504391821281434
5.499725013749312e-07,1818272.7272727275,9.834154033146236
5.99970001499925e-07,1666750.0,8.266853465486758
6.499675016249188e-07,1538538.4615384615,0.7569978780668564
6.999650017499124e-07,1428642.8571428573,0.9508010065295615
7.499625018749062e-07,1333400.0,0.9278938400287163
7.999600019999e-07,1250062.5,0.9708435340263705
8.499575021248938e-07,1176529.4117647058,5.69464607572261
8.999550022498875e-07,1111166.6666666667,6.240513946768023
9.499525023748812e-07,1052684.210526316,6.3695863070113905
9.99950002499875e-07,1000049.9999999999,6.4013399816342
1.0499475026248687e-06,952428.5714285715,6.176314329034331
1.0999450027498624e-06,909136.3636363638,6.031534970323547
1.1499425028748563e-06,869608.6956521738,4.782086688938649
1.19994000299985e-06,833375.0,3.576419376026348
1.2499375031248436e-06,800040.0000000001,2.0235143426902344
1.2999350032498375e-06,769269.2307692308,2.191660697661453
1.3499325033748312e-06,740777.7777777779,3.478856545093092
1.3999300034998249e-06,714321.4285714286,3.5574912500397433
1.4499275036248187e-06,689689.6551724138,3.5978595259495245
1.4999250037498124e-06,666700.0,3.4678994283165365
1.5499225038748063e-06,645193.5483870967,3.0013863847989186
1.5999200039998e-06,625031.25,2.6867342985368334
1.6499175041247936e-06,606090.9090909092,1.066769435896817
1.6999150042497875e-06,588264.7058823529,0.46782204185592363
1.7499125043747812e-06,571457.1428571428,0.17391003052637363
1.799910004499775e-06,555583.3333333334,0.160063496748502
1.8499075046247687e-06,540567.5675675676,0.9260798595721688
1.8999050047497624e-06,526342.105263158,1.2877361779973353
1.9499025048747563e-06,512846.1538461539,1.8818824451990934
1.99990000499975e-06,500024.99999999994,1.9650669963791336
2.0498975051247436e-06,487829.26829268294,1.9890315832123944
2.0998950052497375e-06,476214.28571428574,1.9254799747982336
2.1498925053747314e-06,465139.5348837209,2.1016126752945032
2.199890005499725e-06,454568.1818181819,1.7618255513929808
2.2498875056247187e-06,444466.6666666667,22.52458144002832
2.2998850057497126e-06,434804.3478260869,73.93852304223819
2.349882505874706e-06,425553.19148936175,79.21166101686428
2.3998800059997e-06,416687.5,79.42248394198384
2.449877506124694e-06,408183.67346938775,79.93388874766511
2.4998750062496873e-06,400020.00000000006,79.49656485441116
2.549872506374681e-06,392176.4705882353,78.51916818982254
2.599870006499675e-06,384634.6153846154,78.41154726396132
2.6498675066246685e-06,377377.3584905661,5.6734704750309275
2.6998650067496624e-06,370388.88888888893,1.4215571509077414
2.7498625068746562e-06,363654.54545454547,1.167571404942235
2.7998600069996497e-06,357160.7142857143,1.2202976457412194
2.8498575071246436e-06,350894.7368421053,1.2946283280561666
2.8998550072496375e-06,344844.8275862069,1.2973315674743322
2.9498525073746313e-06,339000.0,1.2556976021666517
2.999850007499625e-06,333350.0,1.1888581230467952
3.0498475076246187e-06,327885.24590163934,1.0211882333228632
3.0998450077496126e-06,322596.77419354836,0.2330110676042301
3.149842507874606e-06,317476.1904761905,0.24762223390347474
3.1998400079996e-06,312515.625,0.3345439438733958
3.2498375081245938e-06,307707.6923076923,0.2961539544248707
3.2998350082495872e-06,303045.4545454546,0.4243724105989469
3.349832508374581e-06,298522.3880597015,0.4264320982644338
3.399830008499575e-06,294132.35294117645,0.389111545787639
3.4498275086245685e-06,289869.56521739135,0.3665638033768377
3.4998250087495623e-06,285728.5714285714,0.3482520057174053
3.5498225088745562e-06,281704.22535211267,0.25846714829254425
3.59982000899955e-06,277791.6666666667,0.23643349862601046
3.6498175091245436e-06,273986.30136986304,0.2198964101162239
3.6998150092495374e-06,270283.7837837838,0.12736998670955843
3.7498125093745313e-06,266680.0,0.08026268999445756
3.7998100094995248e-06,263171.052631579,0.14152075642111298
3.849807509624518e-06,259753.24675324679,0.16528627932970036
3.8998050097495125e-06,256423.07692307694,0.1546133304188649
3.949802509874506e-06,253177.21518987344,0.157819587384447
3.9998000099995e-06,250012.49999999997,0.1428569946463866
4.049797510124494e-06,246925.92592592593,0.15576995823861362
4.099795010249487e-06,243914.63414634147,0.1188693445556656
4.1497925103744815e-06,240975.9036144578,0.060294893572899334
4.199790010499475e-06,238107.14285714287,0.0562999749304151
4.2497875106244684e-06,235305.8823529412,0.04934075597040011
4.299785010749463e-06,232569.76744186046,0.17004106369821925
4.349782510874456e-06,229896.55172413794,0.16939866425502048
4.39978001099945e-06,227284.09090909094,0.17106223484131514
4.449777511124444e-06,224730.33707865168,0.17853224199128
4.499775011249437e-06,222233.33333333334,0.18502014128345648
4.549772511374431e-06,219791.2087912088,0.18925721022303024
4.599770011499425e-06,217402.17391304346,0.18550952863679407
4.649767511624419e-06,215064.51612903227,0.10823306799384368
4.699765011749412e-06,212776.59574468088,0.23483055503632994
4.749762511874406e-06,210536.84210526315,0.33148655569004176
4.7997600119994e-06,208343.75,0.34832444391475076
4.849757512124393e-06,206195.8762886598,0.32805380861107786
4.899755012249388e-06,204091.83673469388,0.33739717310816186
4.949752512374381e-06,202030.30303030304,0.33927020183532003
4.9997500124993745e-06,200010.00000000003,0.3460094132154895
5.049747512624369e-06,198029.70297029702,0.5029475714646805
5.099745012749362e-06,196088.23529411765,0.39669852954423535
5.149742512874356e-06,194184.4660194175,0.5033863384930841
5.19974001299935e-06,192317.3076923077,0.537107917500478
5.2497375131243435e-06,190485.7142857143,0.5499962840710364
