horizon_years,samples,correlation,rmse,mae,bias,max_abs_error,candidate_std,reference_std
100.0,2,1.0,2.2314885717213924e-07,1.5779259480118435e-07,1.577875453993155e-07,3.1558014020049985e-07,3.182204966130017e-05,3.166425706649899e-05
500.0,6,0.999970024086295,5.975988549455419e-07,4.416286644003814e-07,-2.2501060320014032e-07,1.2942800547005584e-06,6.134128492434372e-05,6.162390014605968e-05
1000.0,11,0.999995111648342,4.425760381054365e-07,2.6196551954576536e-07,-1.1023118143650322e-07,1.2942800547005584e-06,0.00013678131662362122,0.00013675219655938533
2000.0,21,0.9999991512697765,3.298564192246062e-07,1.8246649760462566e-07,-2.966428509098985e-08,1.2942800547005584e-06,0.0002428523741477484,0.00024276377268500783
5000.0,51,0.9999998181223955,3.555053288494538e-07,2.396960381058137e-07,1.0284156556055267e-07,1.2942800547005584e-06,0.0005215759929201418,0.0005214460861098019
6000.0,61,0.9999998095408391,4.826436049436027e-07,3.2043191932928606e-07,2.0601260621767437e-07,2.0232881311997575e-06,0.0005992386682705441,0.0005990067765353247
