job,all_bodies_bound,body_count,completed_years,computation_seconds,earth_eccentricity_max,earth_eccentricity_mean,earth_eccentricity_min,earth_eccentricity_std,earth_initial_eccentricity,kind,max_abs_angmom_rel_error,max_abs_energy_rel_error,max_abs_output_time_error_years,output_count,row_count,earth_combined_relative_state_error,max_combined_relative_state_error,return_abs_angmom_rel_error,return_abs_energy_rel_error,turn_abs_angmom_rel_error,turn_abs_energy_rel_error
baseline_20myr_dt10,True,8.0,20000000.0,2973.7482820819996,0.0656632997312662,0.02784692459527121,0.0003776650108828501,0.013239080892703066,0.016702362219234237,nbody,2.898953790540547e-12,1.1084408861111295e-11,0.009999999163028406,20001.0,160008.0,,,,,,
baseline_2myr_dt5,True,8.0,2000000.0,597.809234198,0.05771373356585444,0.029505192105489905,0.0006165802788217816,0.013518396536032342,0.016702362219234237,nbody,1.3526472783036137e-12,3.5797439484724435e-12,0.004999994214813341,2001.0,16008.0,,,,,,
baseline_2myr_dt4p8828125,True,8.0,2000000.0,613.4436342159997,0.05771305099241633,0.02950519150294485,0.000618116501465885,0.013518384108461854,0.016702362219234237,nbody,7.888490246751591e-13,2.2115593148374088e-12,0.0,2001.0,16008.0,,,,,,
baseline_2myr_no_gr_dt5,True,8.0,2000000.0,596.9415288079999,0.06379880594522745,0.02998404042106203,0.0009257421631320923,0.013526521646314807,0.016702362219234237,nbody,1.1375918225566935e-12,3.407742522268667e-12,0.004999994214813341,2001.0,16008.0,,,,,,
baseline_2myr_elements_dt5,True,8.0,2000000.0,595.7856541249994,0.05782582287471604,0.029016795992027403,0.0009841593208628806,0.013366802668830042,0.016711229999999987,nbody,1.1420312303913967e-12,2.5026798783161876e-12,0.004999994214813341,2001.0,16008.0,,,,,,
full_la2010_bodies_2myr_dt5,True,14.0,2000000.0,1167.1917601059995,0.0577131944461386,0.029504928138447947,0.0006247784783768845,0.013518290167496274,0.01670236221923459,nbody,1.0502758463755311e-12,1.8732272630483243e-12,0.004999994214813341,2001.0,28014.0,,,,,,
whfast_grpot_20kyr,True,8.0,20000.0,5.454339408999658,0.019720737795662305,0.018922860957091742,0.016702362219234237,0.0008324106365291151,0.016702362219234237,nbody,1.364985245626785e-13,4.1914351905695714e-13,0.004999999945297873,201.0,1608.0,,,,,,
ias15_grpot_20kyr,True,8.0,20000.0,89.3466606460006,0.019720737527754616,0.018922865412558523,0.016702362219234237,0.0008323907634038627,0.016702362219234237,nbody,3.123536031182574e-16,2.152464383579145e-15,0.0,201.0,1608.0,,,,,,
ias15_grfull_20kyr,True,8.0,20000.0,883.975325159,0.019721177613570135,0.01892292744193925,0.016702362219234237,0.0008324283180872817,0.016702362219234237,nbody,5.276233334369168e-10,2.152464436336892e-15,0.0,201.0,1608.0,,,,,,
jupiter_mass_minus_5pct_2myr,True,8.0,2000000.0,317.78175129600004,0.06562926133879522,0.030394932402400543,0.0002637100238583813,0.013821811555185533,0.016702362219234237,nbody,1.9368625226206208e-12,5.651048962584331e-12,0.009999999163028406,2001.0,16008.0,,,,,,
jupiter_mass_plus_5pct_2myr,True,8.0,2000000.0,314.6383430730002,0.05711651818866285,0.026865639803339666,0.0009008415905947836,0.01283334242061907,0.01670236221923459,nbody,1.2269015477162388e-12,2.724991000246482e-12,0.009999999163028406,2001.0,16008.0,,,,,,
saturn_mass_minus_5pct_2myr,True,8.0,2000000.0,313.43519012700017,0.05842191134499267,0.028481634639538136,0.0007548102810689405,0.012949700222339681,0.016702362219234417,nbody,6.86364010681581e-13,2.295603528960093e-12,0.009999999163028406,2001.0,16008.0,,,,,,
saturn_mass_plus_5pct_2myr,True,8.0,2000000.0,311.56209494700033,0.06174247062775383,0.030684101751968233,0.00015221684263798222,0.013892265528762318,0.01670236221923477,nbody,1.7291852617863052e-12,4.8182384135215016e-12,0.009999999163028406,2001.0,16008.0,,,,,,
jupiter_a_minus_0p5pct_2myr,True,8.0,2000000.0,313.34865342600006,0.06574565238112179,0.030923232150719075,0.0017676114059706899,0.01391681472237076,0.016702362219234587,nbody,1.467353818760825e-12,3.125273170415199e-12,0.009999999163028406,2001.0,16008.0,,,,,,
jupiter_a_plus_0p5pct_2myr,True,8.0,2000000.0,313.850406775,0.06223738943072984,0.03010908474966228,0.0010456406423988705,0.013611735945089045,0.016702362219234768,nbody,6.033214510315929e-13,2.1913053977908446e-12,0.009999999163028406,2001.0,16008.0,,,,,,
ensemble_10myr_r00,True,8.0,10000000.0,1579.9560671089994,0.0625139651689035,0.027783318413755715,0.000444086734166399,0.013161200207407369,0.01670236221923436,nbody,1.650320262075241e-12,6.751302378386246e-12,0.009999999163028406,10001.0,80008.0,,,,,,
ensemble_10myr_r01,True,8.0,10000000.0,1573.4286912240004,0.06251390822269415,0.027783318410280873,0.00044407742536773384,0.013161200250839729,0.016702362219234518,nbody,1.5189755719642212e-12,5.563924752971893e-12,0.009999999163028406,10001.0,80008.0,,,,,,
ensemble_10myr_r02,True,8.0,10000000.0,1578.6116080290003,0.06251390829846748,0.02778331841781325,0.0004440746743870631,0.013161200234551675,0.016702362219235087,nbody,4.327659171203274e-12,1.272810893584405e-11,0.009999999163028406,10001.0,80008.0,,,,,,
ensemble_10myr_r03,True,8.0,10000000.0,1571.3411242739994,0.06251394663363506,0.027783318399480898,0.0004440827008445582,0.013161200239778065,0.016702362219234414,nbody,2.327815227238902e-12,5.1978101291829156e-12,0.009999999163028406,10001.0,80008.0,,,,,,
ensemble_10myr_r04,True,8.0,10000000.0,1570.3684301830008,0.06251395358331024,0.02778331840887937,0.00044408987335663115,0.013161200233954283,0.01670236221923383,nbody,1.8183665005529867e-12,7.844558606664467e-12,0.009999999163028406,10001.0,80008.0,,,,,,
ensemble_10myr_r05,True,8.0,10000000.0,1571.7337701230008,0.06251392498332113,0.02778331840989637,0.0004440805364067702,0.013161200236718545,0.01670236221923426,nbody,2.7543340722968165e-12,3.892438319831944e-12,0.009999999163028406,10001.0,80008.0,,,,,,
ensemble_10myr_r06,True,8.0,10000000.0,1573.1505649969995,0.06251396865321221,0.0277833184083355,0.00044408833038319816,0.013161200218550282,0.016702362219234275,nbody,3.734187325278854e-12,1.3251353459634007e-11,0.009999999163028406,10001.0,80008.0,,,,,,
ensemble_10myr_r07,True,8.0,10000000.0,1483.757957799,0.06251392556651876,0.0277833184076331,0.0004440769048336131,0.013161200232050328,0.01670236221923425,nbody,2.0459161004244495e-12,5.609713540767911e-12,0.009999999163028406,10001.0,80008.0,,,,,,
roundtrip_100kyr_dt10,True,,100000.0,26.30009318500015,,,,,,roundtrip,,,,,,3.1740712491669786e-06,2.7628025558976285e-05,2.4800876087589636e-13,6.815484952732874e-13,1.8788069227563184e-13,1.7043604346340322e-13
roundtrip_100kyr_dt5,True,,100000.0,50.265937795000355,,,,,,roundtrip,,,,,,5.069216774775751e-07,7.539589433650647e-06,3.2141185760868687e-13,9.519762932829582e-13,6.731220147198447e-14,8.003253935307911e-14
